Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2024-03-17,726.325,2024-07-21,803.65,2024-03-10,Buy,18 Weeks,10.65%,Rise by 15.91%,10.65%,Normal Case,
2024-03-24,721.425,2024-07-21,803.65,2024-03-17,Buy,17 Weeks,11.4%,Rise by 16.7%,22.04%,Normal Case,
2024-04-21,765.65,2024-07-21,803.65,2024-04-07,Buy,13 Weeks,4.96%,Rise by 9.96%,27.01%,Normal Case,
2024-05-19,732.05,2024-07-21,803.65,2024-05-12,Buy,9 Weeks,9.78%,Rise by 19.71%,36.79%,Normal Case,
2024-06-09,786.675,2024-10-13,825.5,2024-03-31,Buy,18 Weeks,4.94%,Rise by 11.4%,41.72%,Local Extrema Case,
2024-06-09,786.675,2024-10-13,825.5,2024-05-26,Buy,18 Weeks,4.94%,Rise by 11.4%,46.66%,Normal Case,
2024-06-30,841.9,2024-10-13,825.5,2024-06-23,Buy,15 Weeks,-1.95%,Rise by 4.09%,44.71%,Normal Case,
2024-08-11,825.1,2024-10-13,825.5,2024-07-28,Buy,9 Weeks,0.05%,Rise by 6.21%,44.76%,Normal Case,
2024-08-18,816.05,2024-12-29,899.125,2024-08-04,Buy,19 Weeks,10.18%,Rise by 14.68%,54.94%,Normal Case,
2024-09-08,818.475,2024-12-29,899.125,2024-09-01,Buy,16 Weeks,9.85%,Rise by 14.34%,64.79%,Normal Case,
2024-09-15,832.975,2024-12-29,899.125,2024-09-08,Buy,15 Weeks,7.94%,Rise by 12.35%,72.73%,Normal Case,
2024-10-20,840.925,2024-12-29,899.125,2024-10-13,Buy,10 Weeks,6.92%,Rise by 11.29%,79.65%,Normal Case,
2024-10-27,871.7,2024-12-29,899.125,2024-10-20,Buy,9 Weeks,3.15%,Rise by 7.36%,82.8%,Normal Case,
2024-11-24,872.8,2025-04-13,903.375,2024-11-17,Buy,20 Weeks,3.5%,Rise by 15.43%,86.3%,Normal Case,
2024-12-22,885.75,2025-04-13,903.375,2024-12-01,Buy,16 Weeks,1.99%,Rise by 13.74%,88.29%,Normal Case,
2024-12-29,899.125,2025-04-13,903.375,2024-12-08,Buy,15 Weeks,0.47%,Rise by 12.05%,88.77%,Normal Case,
2025-01-26,824.9,2025-04-13,903.375,2025-01-19,Buy,11 Weeks,9.51%,Rise by 22.13%,98.28%,Normal Case,
2025-02-02,845.475,2025-04-13,903.375,2025-01-26,Buy,10 Weeks,6.85%,Rise by 19.16%,105.13%,Normal Case,
2025-02-16,847.425,2025-05-11,944.85,2025-02-09,Buy,12 Weeks,11.5%,Rise by 18.88%,116.62%,Normal Case,
2025-03-09,844.625,2025-05-11,944.85,2025-03-02,Buy,9 Weeks,11.87%,Rise by 19.28%,128.49%,Normal Case,
2025-04-13,903.375,2025-06-22,982.35,2025-03-23,Buy,10 Weeks,8.74%,Rise by 11.52%,137.23%,Normal Case,
2025-04-20,953.35,2025-06-22,982.35,2025-03-30,Buy,9 Weeks,3.04%,Rise by 5.67%,140.28%,Normal Case,
2025-06-08,989.35,2025-08-10,986.95,2025-06-01,Buy,9 Weeks,-0.24%,Rise by 0.33%,140.03%,Normal Case,
2025-06-15,958.8,2025-11-03,992.65,2025-06-08,Buy,21 Weeks,3.53%,Rise by 3.53%,143.56%,Normal Case,
2025-07-27,1002.3,2025-11-03,992.65,2025-07-20,Buy,15 Weeks,-0.96%,Rise by -0.96%,142.6%,Normal Case,
2025-08-03,1006.1,2025-11-03,992.65,2025-07-27,Buy,14 Weeks,-1.34%,Rise by -1.34%,141.26%,Normal Case,
2025-08-31,951.6,2025-11-03,992.65,2025-05-11,Buy,10 Weeks,4.31%,Rise by 4.31%,145.58%,Local Extrema Case,
2025-10-12,980.9,2025-10-12,980.9,2025-09-21,Buy,0 Weeks,0.0%,Rise by 0%,145.58%,Normal Case,
2025-11-03,992.65,2025-11-03,992.65,2025-11-02,Buy,0 Weeks,0.0%,Rise by 0%,145.58%,Normal Case,
