Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2024-03-10,39.55,2024-06-23,36.58,2024-03-03,Buy,15 Weeks,-7.51%,Rise by -10.49%,-7.51%,Normal Case,
2024-04-14,38.14,2024-06-23,36.58,2024-04-07,Buy,10 Weeks,-4.09%,Rise by -10.49%,-11.6%,Normal Case,
2024-06-02,38.55,2024-08-18,34.03,2024-05-19,Buy,11 Weeks,-11.73%,Rise by -10.25%,-23.32%,Normal Case,
2024-06-09,39.42,2024-08-18,34.03,2024-05-26,Buy,10 Weeks,-13.67%,Rise by -12.23%,-37.0%,Normal Case,
2024-07-21,38.4,2024-10-13,35.94,2024-07-14,Buy,12 Weeks,-6.41%,Rise by -20.81%,-43.4%,Normal Case,
2024-07-28,38.79,2024-10-13,35.94,2024-07-21,Buy,11 Weeks,-7.35%,Rise by -12.25%,-50.75%,Normal Case,
2024-10-27,38.01,2025-01-05,55.96,2024-10-20,Buy,10 Weeks,47.22%,Rise by 52.35%,-3.53%,Normal Case,
2024-11-03,39.37,2025-01-05,55.96,2024-10-27,Buy,9 Weeks,42.14%,Rise by 51.64%,38.61%,Normal Case,
2024-12-15,57.91,2025-06-08,59.26,2024-12-08,Buy,25 Weeks,2.33%,Rise by -17.29%,40.94%,Normal Case,
2024-12-22,54.81,2025-06-08,59.26,2024-12-15,Buy,24 Weeks,8.12%,Rise by -12.61%,49.06%,Normal Case,
2025-01-12,53.84,2025-06-08,59.26,2025-01-05,Buy,21 Weeks,10.07%,Rise by -11.03%,59.13%,Normal Case,
2025-02-02,57.71,2025-06-08,59.26,2024-01-21,Buy,18 Weeks,2.69%,Rise by -17.35%,61.81%,Tangent Case,
2025-03-09,49.43,2025-06-08,59.26,2024-10-13,Buy,13 Weeks,19.89%,Rise by 25.09%,81.7%,Local Extrema Case,
2025-03-09,49.43,2025-06-08,59.26,2025-03-02,Buy,13 Weeks,19.89%,Rise by 25.09%,101.59%,Normal Case,
2025-03-30,47.56,2025-06-08,59.26,2025-03-23,Buy,10 Weeks,24.6%,Rise by 30.0%,126.19%,Normal Case,
2025-04-27,54.27,2025-08-03,64.22,2025-04-20,Buy,14 Weeks,18.33%,Rise by 23.84%,144.52%,Normal Case,
2025-05-04,55.19,2025-08-03,64.22,2025-01-19,Buy,13 Weeks,16.36%,Rise by 21.78%,160.88%,Local Extrema Case,
2025-05-25,61.83,2025-08-03,64.22,2025-05-18,Buy,10 Weeks,3.87%,Rise by 8.7%,164.75%,Normal Case,
2025-09-07,63.42,2025-09-07,63.42,2025-08-31,Buy,0 Weeks,0.0%,Rise by 0%,164.75%,Normal Case,
2025-10-12,66.2,2025-10-12,66.2,2025-10-05,Buy,0 Weeks,0.0%,Rise by 0%,164.75%,Normal Case,
2025-10-19,60.47,2025-10-19,60.47,2024-02-04,Buy,0 Weeks,0.0%,Rise by 0%,164.75%,Tangent Case,
2025-10-26,62.83,2025-10-26,62.83,2024-02-11,Buy,0 Weeks,0.0%,Rise by 0%,164.75%,Tangent Case,
