Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2016-05-08,110.91,2016-10-09,122.83,2016-04-17,Buy,22 Weeks,10.75%,Rise by 12.53%,10.75%,Normal Case,
2016-08-07,122.3,2016-10-09,122.83,2016-07-24,Buy,9 Weeks,0.43%,Rise by 2.05%,11.18%,Normal Case,
2016-08-21,122.94,2016-12-25,136.04,2016-08-14,Buy,18 Weeks,10.66%,Rise by 12.5%,21.84%,Normal Case,
2016-08-28,123.06,2016-12-25,136.04,2016-08-21,Buy,17 Weeks,10.55%,Rise by 12.39%,32.38%,Normal Case,
2016-10-16,120.43,2016-12-25,136.04,2016-07-03,Buy,10 Weeks,12.96%,Rise by 14.85%,45.35%,Local Extrema Case,
2017-04-16,133.72,2017-06-25,140.91,2017-03-26,Buy,10 Weeks,5.38%,Rise by 5.9%,50.72%,Normal Case,
2017-07-02,140.92,2017-10-29,149.79,2017-06-25,Buy,17 Weeks,6.29%,Rise by 6.48%,57.02%,Normal Case,
2017-08-27,136.88,2017-10-29,149.79,2017-08-20,Buy,9 Weeks,9.43%,Rise by 16.6%,66.45%,Normal Case,
2017-09-03,140.52,2017-12-24,153.19,2017-08-13,Buy,16 Weeks,9.02%,Rise by 13.58%,75.47%,Normal Case,
2017-10-01,148.18,2017-12-24,153.19,2017-09-24,Buy,12 Weeks,3.38%,Rise by 7.71%,78.85%,Normal Case,
2018-03-25,150.05,2018-07-08,168.25,2018-03-04,Buy,15 Weeks,12.13%,Rise by 12.28%,90.98%,Normal Case,
2018-04-08,150.36,2018-07-08,168.25,2017-11-19,Buy,13 Weeks,11.9%,Rise by 12.05%,102.87%,Local Extrema Case,
2018-05-06,155.73,2018-07-08,168.25,2018-04-15,Buy,9 Weeks,8.04%,Rise by 8.19%,110.91%,Normal Case,
2018-05-13,159.84,2018-09-16,171.38,2018-04-22,Buy,18 Weeks,7.22%,Rise by 5.41%,118.13%,Normal Case,
2018-06-03,163.84,2018-09-16,171.38,2018-05-20,Buy,15 Weeks,4.6%,Rise by 2.83%,122.74%,Normal Case,
2018-06-24,167.82,2018-09-16,171.38,2018-06-17,Buy,12 Weeks,2.12%,Rise by 3.1%,124.86%,Normal Case,
