Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2015-11-29,29.95,2016-04-03,26.76,2015-11-08,Buy,18 Weeks,-10.65%,Rise by -13.09%,-10.65%,Normal Case,
2015-12-06,32.25,2016-04-03,26.76,2015-11-29,Buy,17 Weeks,-17.02%,Rise by -15.44%,-27.67%,Normal Case,
2015-12-13,30.55,2016-04-03,26.76,2015-11-22,Buy,16 Weeks,-12.41%,Rise by -14.8%,-40.08%,Absolute Extrema Case,
2015-12-13,30.55,2016-04-03,26.76,2015-12-06,Buy,16 Weeks,-12.41%,Rise by -14.8%,-52.49%,Normal Case,
2015-12-27,32.58,2016-04-03,26.76,2015-12-13,Buy,14 Weeks,-17.86%,Rise by -29.01%,-70.35%,Normal Case,
2016-02-21,25.54,2016-05-01,25.56,2016-02-07,Buy,10 Weeks,0.08%,Rise by 16.99%,-70.27%,Normal Case,
2016-05-22,23.45,2016-09-25,26.84,2016-05-15,Buy,18 Weeks,14.46%,Rise by -11.64%,-55.82%,Normal Case,
2016-06-26,20.64,2016-09-25,26.84,2016-06-19,Buy,13 Weeks,30.04%,Rise by 30.96%,-25.78%,Normal Case,
2016-08-21,25.91,2016-10-23,26.87,2016-08-14,Buy,9 Weeks,3.71%,Rise by 4.32%,-22.07%,Normal Case,
2016-08-28,25.79,2016-12-18,25.61,2016-08-21,Buy,16 Weeks,-0.7%,Rise by 59.21%,-22.77%,Normal Case,
2016-09-11,26.37,2016-12-18,25.61,2016-09-04,Buy,14 Weeks,-2.88%,Rise by 55.71%,-25.65%,Normal Case,
2016-10-16,26.5,2016-12-18,25.61,2016-08-07,Buy,9 Weeks,-3.36%,Rise by 54.94%,-29.01%,Local Extrema Case,
2016-10-23,26.87,2017-03-19,31.56,2016-10-09,Buy,21 Weeks,17.45%,Rise by 52.81%,-11.56%,Normal Case,
2017-01-01,25.44,2017-03-19,31.56,2016-12-25,Buy,11 Weeks,24.06%,Rise by 61.4%,12.5%,Normal Case,
2017-01-29,28.36,2017-06-25,42.95,2017-01-22,Buy,21 Weeks,51.45%,Rise by 44.78%,63.95%,Normal Case,
2017-03-19,31.56,2017-06-25,42.95,2017-03-05,Buy,14 Weeks,36.09%,Rise by 30.1%,100.04%,Normal Case,
2017-04-02,31.11,2017-06-25,42.95,2017-03-26,Buy,12 Weeks,38.06%,Rise by 31.98%,138.1%,Normal Case,
2017-04-09,32.01,2017-06-25,42.95,2017-03-19,Buy,11 Weeks,34.18%,Rise by 44.95%,172.27%,Normal Case,
2017-04-16,32.47,2017-06-25,42.95,2017-04-09,Buy,10 Weeks,32.28%,Rise by 42.9%,204.55%,Normal Case,
2017-05-21,41.06,2017-08-27,40.87,2017-05-14,Buy,14 Weeks,-0.46%,Rise by 13.01%,204.09%,Normal Case,
2017-07-02,39.22,2017-12-03,37.27,2017-06-18,Buy,22 Weeks,-4.97%,Rise by 28.76%,199.11%,Normal Case,
2017-07-16,42.01,2017-12-03,37.27,2017-06-25,Buy,20 Weeks,-11.28%,Rise by -11.07%,187.83%,Normal Case,
2017-08-13,45.9,2017-12-03,37.27,2017-08-06,Buy,16 Weeks,-18.8%,Rise by -16.78%,169.03%,Normal Case,
2017-08-27,40.87,2017-12-03,37.27,2017-08-20,Buy,14 Weeks,-8.81%,Rise by 23.56%,160.22%,Normal Case,
2017-11-19,40.25,2018-02-18,46.42,2017-11-05,Buy,13 Weeks,15.33%,Rise by 25.47%,175.55%,Normal Case,
2018-02-04,46.03,2018-07-08,39.46,2018-01-28,Buy,22 Weeks,-14.27%,Rise by -11.21%,161.28%,Normal Case,
2018-02-11,42.93,2018-07-08,39.46,2017-10-29,Buy,21 Weeks,-8.08%,Rise by -12.79%,153.19%,Local Extrema Case,
2018-02-25,48.35,2018-07-08,39.46,2018-02-04,Buy,19 Weeks,-18.39%,Rise by -17.68%,134.81%,Normal Case,
2018-04-08,39.23,2018-07-08,39.46,2017-12-10,Buy,13 Weeks,0.59%,Rise by 11.11%,135.39%,Local Extrema Case,
2018-05-06,37.67,2018-07-08,39.46,2018-04-29,Buy,9 Weeks,4.75%,Rise by -14.47%,140.14%,Normal Case,
2018-05-13,36.95,2019-01-27,23.63,2018-04-22,Buy,37 Weeks,-36.05%,Rise by -12.8%,104.1%,Normal Case,
2018-06-24,40.82,2019-01-27,23.63,2018-06-17,Buy,31 Weeks,-42.11%,Rise by -12.32%,61.98%,Normal Case,
2018-07-01,38.95,2019-01-27,23.63,2018-06-10,Buy,30 Weeks,-39.33%,Rise by -17.28%,22.65%,Normal Case,
2018-10-14,24.45,2019-01-27,23.63,2015-12-27,Buy,15 Weeks,-3.35%,Rise by -13.17%,19.3%,Tangent Case,
2018-11-04,24.05,2019-01-27,23.63,2018-10-28,Buy,12 Weeks,-1.75%,Rise by -12.35%,17.55%,Normal Case,
2018-12-09,20.93,2019-02-24,25.95,2018-12-02,Buy,11 Weeks,23.98%,Rise by 49.26%,41.54%,Normal Case,
2018-12-16,22.17,2019-02-24,25.95,2018-12-09,Buy,10 Weeks,17.05%,Rise by 40.91%,58.59%,Normal Case,
2019-01-06,22.27,2019-03-24,28.0,2018-12-16,Buy,11 Weeks,25.73%,Rise by 40.28%,84.32%,Normal Case,
2019-03-10,27.05,2019-07-21,30.99,2019-03-03,Buy,19 Weeks,14.57%,Rise by 16.64%,98.88%,Normal Case,
2019-05-19,29.31,2019-07-21,30.99,2019-05-12,Buy,9 Weeks,5.73%,Rise by 7.64%,104.61%,Normal Case,
2019-06-09,26.8,2019-08-11,27.1,2019-06-02,Buy,9 Weeks,1.12%,Rise by 17.72%,105.73%,Normal Case,
2019-08-25,28.77,2019-12-01,32.65,2019-08-04,Buy,14 Weeks,13.49%,Rise by 46.54%,119.22%,Normal Case,
2019-10-06,28.99,2020-02-09,39.99,2019-09-29,Buy,18 Weeks,37.94%,Rise by 45.43%,157.16%,Normal Case,
2019-12-08,32.93,2020-02-09,39.99,2016-01-17,Buy,9 Weeks,21.44%,Rise by 28.03%,178.6%,Tangent Case,
2020-01-12,39.11,2020-03-22,37.66,2019-12-29,Buy,10 Weeks,-3.71%,Rise by 7.8%,174.9%,Normal Case,
2020-03-01,38.51,2020-05-03,41.38,2019-12-08,Buy,9 Weeks,7.45%,Rise by 70.37%,182.35%,Local Extrema Case,
2020-03-08,42.16,2020-07-05,61.39,2020-02-16,Buy,17 Weeks,45.61%,Rise by 55.62%,227.96%,Normal Case,
2020-03-15,39.71,2020-07-05,61.39,2020-03-01,Buy,16 Weeks,54.6%,Rise by 65.22%,282.56%,Normal Case,
2020-03-29,40.15,2020-07-05,61.39,2020-03-22,Buy,14 Weeks,52.9%,Rise by 63.41%,335.46%,Normal Case,
2020-04-05,39.89,2020-07-05,61.39,2020-03-15,Buy,13 Weeks,53.9%,Rise by 64.48%,389.36%,Normal Case,
2020-04-12,42.16,2020-07-05,61.39,2020-02-02,Buy,12 Weeks,45.61%,Rise by 55.62%,434.97%,Local Extrema Case,
2020-05-10,46.78,2020-07-26,60.88,2020-05-03,Buy,11 Weeks,30.14%,Rise by 40.25%,465.11%,Normal Case,
2020-05-17,50.85,2020-07-26,60.88,2020-05-10,Buy,10 Weeks,19.72%,Rise by 29.03%,484.83%,Normal Case,
2020-06-14,57.99,2020-09-20,74.5,2020-06-07,Buy,14 Weeks,28.47%,Rise by 37.95%,513.3%,Normal Case,
2020-06-21,58.64,2020-09-20,74.5,2020-06-14,Buy,13 Weeks,27.05%,Rise by 36.43%,540.35%,Normal Case,
2020-07-05,61.39,2020-09-20,74.5,2020-06-28,Buy,11 Weeks,21.36%,Rise by 30.31%,561.71%,Normal Case,
2020-09-06,80.0,2020-11-22,87.74,2020-08-30,Buy,11 Weeks,9.67%,Rise by 15.61%,571.38%,Normal Case,
2020-09-13,74.18,2020-11-22,87.74,2020-08-23,Buy,10 Weeks,18.28%,Rise by 24.68%,589.66%,Normal Case,
2020-10-25,81.34,2021-01-24,94.91,2020-10-18,Buy,13 Weeks,16.68%,Rise by 30.43%,606.34%,Normal Case,
2020-11-01,81.52,2021-01-24,94.91,2020-10-25,Buy,12 Weeks,16.43%,Rise by 30.14%,622.77%,Normal Case,
2020-12-27,84.49,2021-03-07,90.62,2020-12-20,Buy,10 Weeks,7.26%,Rise by 25.57%,630.02%,Normal Case,
2021-01-10,91.54,2021-07-18,75.59,2021-01-03,Buy,27 Weeks,-17.42%,Rise by -10.35%,612.6%,Normal Case,
