Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2015-12-27,102.18,2016-04-03,102.42,2015-12-13,Buy,14 Weeks,0.23%,Rise by 3.64%,0.23%,Normal Case,
2016-01-10,100.44,2016-04-03,102.42,2015-12-20,Buy,12 Weeks,1.97%,Rise by 5.44%,2.21%,Absolute Extrema Case,
2016-01-10,100.44,2016-04-03,102.42,2015-12-27,Buy,12 Weeks,1.97%,Rise by 5.44%,4.18%,Normal Case,
2016-05-01,105.9,2016-07-31,108.18,2016-04-24,Buy,13 Weeks,2.15%,Rise by 4.36%,6.33%,Normal Case,
2016-05-22,104.97,2016-07-31,108.18,2016-05-15,Buy,10 Weeks,3.06%,Rise by 5.29%,9.39%,Normal Case,
2016-06-26,105.3,2016-09-18,108.42,2016-06-19,Buy,12 Weeks,2.96%,Rise by 4.96%,12.35%,Normal Case,
2016-08-21,109.62,2016-11-13,105.39,2016-08-14,Buy,12 Weeks,-3.86%,Rise by 0.82%,8.49%,Normal Case,
2016-08-28,109.62,2016-11-13,105.39,2016-08-21,Buy,11 Weeks,-3.86%,Rise by 0.82%,4.63%,Normal Case,
2016-10-16,109.74,2017-02-12,110.7,2016-08-07,Buy,17 Weeks,0.87%,Rise by 1.56%,5.51%,Local Extrema Case,
2016-10-16,109.74,2017-02-12,110.7,2016-10-02,Buy,17 Weeks,0.87%,Rise by 1.56%,6.38%,Normal Case,
2016-10-23,110.52,2017-02-12,110.7,2016-10-09,Buy,16 Weeks,0.16%,Rise by 0.84%,6.55%,Normal Case,
2017-01-01,109.35,2017-03-19,109.89,2016-12-25,Buy,11 Weeks,0.49%,Rise by 1.92%,7.04%,Normal Case,
2017-01-29,111.0,2017-05-14,111.27,2017-01-22,Buy,15 Weeks,0.24%,Rise by 0.89%,7.28%,Normal Case,
2017-03-12,108.99,2017-05-14,111.27,2015-11-08,Buy,9 Weeks,2.09%,Rise by 2.75%,9.38%,Tangent Case,
2017-04-02,110.79,2017-06-18,111.21,2017-03-26,Buy,11 Weeks,0.38%,Rise by 1.08%,9.75%,Normal Case,
2017-04-09,110.28,2017-06-18,111.21,2017-03-19,Buy,10 Weeks,0.84%,Rise by 1.55%,10.6%,Normal Case,
2017-04-23,110.61,2017-08-13,110.31,2017-04-09,Buy,16 Weeks,-0.27%,Rise by 1.46%,10.33%,Normal Case,
2017-05-21,111.54,2017-08-13,110.31,2017-05-14,Buy,12 Weeks,-1.1%,Rise by 0.62%,9.22%,Normal Case,
2017-07-02,111.6,2017-10-15,111.54,2017-06-25,Buy,15 Weeks,-0.05%,Rise by 0.32%,9.17%,Normal Case,
2017-08-20,110.43,2017-11-12,110.04,2017-08-13,Buy,12 Weeks,-0.35%,Rise by 1.39%,8.82%,Normal Case,
2017-08-27,111.39,2017-11-12,110.04,2017-08-20,Buy,11 Weeks,-1.21%,Rise by 0.51%,7.6%,Normal Case,
2017-10-01,111.96,2018-01-21,110.46,2017-09-24,Buy,16 Weeks,-1.34%,Rise by -0.78%,6.27%,Normal Case,
2017-12-31,110.16,2018-05-06,107.13,2017-12-24,Buy,18 Weeks,-2.75%,Rise by -2.1%,3.51%,Normal Case,
2018-06-24,107.58,2018-09-16,108.06,2018-06-17,Buy,12 Weeks,0.45%,Rise by 0.53%,3.96%,Normal Case,
2019-08-25,108.02,2020-01-05,109.9,2019-08-04,Buy,19 Weeks,1.74%,Rise by 1.99%,5.7%,Normal Case,
2020-01-05,109.9,2020-06-21,103.06,2019-12-29,Buy,24 Weeks,-6.22%,Rise by -21.62%,-0.52%,Normal Case,
2020-06-21,103.06,2020-11-01,104.3,2020-06-14,Buy,19 Weeks,1.2%,Rise by 6.38%,0.68%,Normal Case,
2020-09-20,104.85,2020-11-29,107.66,2020-09-13,Buy,10 Weeks,2.68%,Rise by 4.57%,3.36%,Normal Case,
2020-10-25,105.51,2021-02-28,108.16,2020-10-18,Buy,18 Weeks,2.51%,Rise by 3.91%,5.87%,Normal Case,
2021-01-31,108.4,2021-05-16,108.82,2021-01-17,Buy,15 Weeks,0.39%,Rise by 0.75%,6.26%,Normal Case,
2021-03-28,108.51,2021-07-25,109.88,2021-03-21,Buy,17 Weeks,1.26%,Rise by 1.34%,7.52%,Normal Case,
