Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2015-11-15,122.56,2017-01-01,116.267,2015-11-08,Buy,59 Weeks,-5.13%,Rise by -11.53%,-5.13%,Absolute Extrema Case,
2015-12-06,122.653,2017-01-01,116.267,2015-11-29,Buy,56 Weeks,-5.21%,Rise by -11.6%,-10.34%,Normal Case,
2016-01-31,118.93,2017-01-01,116.267,2016-01-10,Buy,48 Weeks,-2.24%,Rise by -11.93%,-12.58%,Normal Case,
2016-05-15,109.1,2017-01-01,116.267,2016-05-01,Buy,33 Weeks,6.57%,Rise by 8.38%,-6.01%,Normal Case,
2016-05-22,109.881,2017-01-01,116.267,2016-05-15,Buy,32 Weeks,5.81%,Rise by 7.61%,-0.2%,Normal Case,
2016-07-03,103.073,2017-01-01,116.267,2016-06-26,Buy,26 Weeks,12.8%,Rise by 14.72%,12.6%,Normal Case,
2016-08-28,100.555,2017-01-01,116.267,2016-08-21,Buy,18 Weeks,15.63%,Rise by 17.59%,28.23%,Normal Case,
2016-09-04,103.258,2017-01-01,116.267,2016-08-28,Buy,17 Weeks,12.6%,Rise by 14.51%,40.83%,Normal Case,
2016-09-18,102.008,2017-01-01,116.267,2016-09-11,Buy,15 Weeks,13.98%,Rise by 15.91%,54.8%,Normal Case,
2016-10-16,103.722,2017-01-01,116.267,2016-10-09,Buy,11 Weeks,12.09%,Rise by 14.0%,66.9%,Normal Case,
2016-10-30,105.209,2017-01-01,116.267,2016-10-23,Buy,9 Weeks,10.51%,Rise by 12.39%,77.41%,Normal Case,
2017-01-01,116.267,2017-03-26,111.004,2016-12-18,Buy,12 Weeks,-4.53%,Rise by -0.96%,72.88%,Normal Case,
2017-03-12,115.149,2017-05-28,111.73,2017-03-05,Buy,11 Weeks,-2.97%,Rise by -1.16%,69.91%,Normal Case,
2017-05-21,111.401,2017-07-30,111.097,2017-04-30,Buy,10 Weeks,-0.27%,Rise by 1.81%,69.64%,Normal Case,
2017-07-02,112.009,2017-11-26,111.254,2017-06-25,Buy,21 Weeks,-0.67%,Rise by 1.89%,68.97%,Normal Case,
