Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2015-11-29,2.375,2016-02-21,2.285,2015-11-08,Buy,12 Weeks,-3.79%,Rise by 0.63%,-3.79%,Normal Case,
2015-12-06,2.275,2016-02-21,2.285,2015-11-29,Buy,11 Weeks,0.44%,Rise by 18.24%,-3.35%,Normal Case,
2015-12-13,2.325,2016-02-21,2.285,2015-11-22,Buy,10 Weeks,-1.72%,Rise by 15.7%,-5.07%,Absolute Extrema Case,
2015-12-20,2.3,2016-02-21,2.285,2015-12-13,Buy,9 Weeks,-0.65%,Rise by 16.96%,-5.72%,Normal Case,
2016-01-17,2.39,2016-03-20,2.505,2016-01-10,Buy,9 Weeks,4.81%,Rise by 12.55%,-0.91%,Normal Case,
2016-01-24,2.35,2016-05-08,2.675,2016-01-17,Buy,15 Weeks,13.83%,Rise by 14.47%,12.92%,Normal Case,
2016-02-07,2.39,2016-05-08,2.675,2016-01-31,Buy,13 Weeks,11.92%,Rise by 12.55%,24.84%,Normal Case,
2016-05-08,2.675,2016-08-28,2.84,2016-05-01,Buy,16 Weeks,6.17%,Rise by 12.15%,31.01%,Normal Case,
2016-05-22,2.61,2016-08-28,2.84,2016-05-08,Buy,14 Weeks,8.81%,Rise by 14.94%,39.82%,Normal Case,
2016-08-07,2.86,2017-02-19,2.6,2016-07-31,Buy,28 Weeks,-9.09%,Rise by -10.49%,30.73%,Normal Case,
2016-08-28,2.84,2017-02-19,2.6,2016-08-21,Buy,25 Weeks,-8.45%,Rise by -10.56%,22.28%,Normal Case,
2016-09-11,3.0,2017-02-19,2.6,2016-09-04,Buy,23 Weeks,-13.33%,Rise by -13.33%,8.95%,Normal Case,
2016-10-16,2.75,2017-02-19,2.6,2016-07-03,Buy,18 Weeks,-5.45%,Rise by 0.36%,3.49%,Local Extrema Case,
2016-10-16,2.75,2017-02-19,2.6,2016-10-09,Buy,18 Weeks,-5.45%,Rise by 0.36%,-1.96%,Normal Case,
2017-01-01,2.6,2017-04-23,2.76,2016-12-18,Buy,16 Weeks,6.15%,Rise by 11.35%,4.19%,Normal Case,
2017-01-08,2.58,2017-04-23,2.76,2016-12-25,Buy,15 Weeks,6.98%,Rise by 12.21%,11.17%,Normal Case,
2017-01-29,2.76,2017-04-23,2.76,2017-01-22,Buy,12 Weeks,0.0%,Rise by 4.89%,11.17%,Normal Case,
2017-03-12,2.72,2017-06-11,2.87,2017-03-05,Buy,13 Weeks,5.51%,Rise by 7.72%,16.69%,Normal Case,
