Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2015-11-22,31.4,2016-04-24,34.02,2015-11-15,Buy,22 Weeks,8.34%,Rise by -10.03%,8.34%,Absolute Extrema Case,
2015-11-29,31.5,2016-04-24,34.02,2015-11-08,Buy,21 Weeks,8.0%,Rise by -10.32%,16.34%,Normal Case,
2015-12-06,31.88,2016-04-24,34.02,2015-11-29,Buy,20 Weeks,6.71%,Rise by -11.39%,23.06%,Normal Case,
2015-12-20,31.71,2016-04-24,34.02,2015-12-13,Buy,18 Weeks,7.28%,Rise by -10.91%,30.34%,Normal Case,
2016-05-08,34.34,2016-11-13,47.0,2016-05-01,Buy,27 Weeks,36.87%,Rise by 47.67%,67.21%,Normal Case,
2016-05-22,35.9,2016-11-13,47.0,2016-05-15,Buy,25 Weeks,30.92%,Rise by 41.25%,98.13%,Normal Case,
2016-06-19,44.57,2016-11-13,47.0,2016-06-05,Buy,21 Weeks,5.45%,Rise by -10.93%,103.58%,Normal Case,
2016-07-03,43.41,2016-11-13,47.0,2016-06-26,Buy,19 Weeks,8.27%,Rise by 16.82%,111.85%,Normal Case,
2016-08-28,41.75,2016-11-13,47.0,2016-08-21,Buy,11 Weeks,12.57%,Rise by 21.46%,124.42%,Normal Case,
2016-09-04,43.3,2016-11-13,47.0,2016-08-28,Buy,10 Weeks,8.55%,Rise by 17.11%,132.97%,Normal Case,
2016-09-11,42.56,2016-11-13,47.0,2016-09-04,Buy,9 Weeks,10.43%,Rise by 19.15%,143.4%,Normal Case,
2016-09-18,43.63,2017-01-22,48.41,2016-09-11,Buy,18 Weeks,10.96%,Rise by 16.23%,154.36%,Normal Case,
2016-10-23,47.72,2017-01-22,48.41,2016-10-09,Buy,13 Weeks,1.45%,Rise by 6.27%,155.8%,Normal Case,
2016-10-30,48.45,2017-01-22,48.41,2016-10-23,Buy,12 Weeks,-0.08%,Rise by 4.66%,155.72%,Normal Case,
2016-11-13,47.0,2017-01-22,48.41,2016-10-30,Buy,10 Weeks,3.0%,Rise by 9.51%,158.72%,Normal Case,
2017-01-01,50.56,2017-03-19,51.47,2016-12-25,Buy,11 Weeks,1.8%,Rise by 1.8%,160.52%,Normal Case,
2017-03-12,50.85,2017-08-13,46.15,2017-03-05,Buy,22 Weeks,-9.24%,Rise by -11.01%,151.28%,Normal Case,
2017-04-02,49.9,2017-08-13,46.15,2017-03-26,Buy,19 Weeks,-7.52%,Rise by 8.92%,143.76%,Normal Case,
2017-05-21,47.63,2017-08-13,46.15,2017-05-07,Buy,12 Weeks,-3.11%,Rise by 14.11%,140.66%,Normal Case,
2017-07-02,46.36,2017-10-15,48.25,2017-06-25,Buy,15 Weeks,4.08%,Rise by 17.23%,144.73%,Normal Case,
2017-08-13,46.15,2017-10-15,48.25,2017-07-30,Buy,9 Weeks,4.55%,Rise by 17.77%,149.28%,Normal Case,
2017-08-20,46.05,2017-12-10,53.27,2017-08-13,Buy,16 Weeks,15.68%,Rise by 18.02%,164.96%,Normal Case,
