Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2015-11-22,43.23,2016-04-10,42.31,2015-11-15,Buy,20 Weeks,-2.13%,Rise by -10.25%,-2.13%,Absolute Extrema Case,
2015-12-06,43.3,2016-04-10,42.31,2015-11-29,Buy,18 Weeks,-2.29%,Rise by -12.54%,-4.41%,Normal Case,
2016-02-07,39.83,2016-04-10,42.31,2016-01-31,Buy,9 Weeks,6.23%,Rise by 13.13%,1.81%,Normal Case,
2016-02-14,36.79,2016-05-08,41.7,2016-01-24,Buy,12 Weeks,13.35%,Rise by 22.48%,15.16%,Absolute Extrema Case,
2016-05-01,44.84,2016-10-09,45.65,2016-04-24,Buy,23 Weeks,1.81%,Rise by 6.04%,16.96%,Normal Case,
2016-05-22,42.45,2016-10-09,45.65,2016-05-15,Buy,20 Weeks,7.54%,Rise by 12.01%,24.5%,Normal Case,
2016-06-19,43.61,2016-10-09,45.65,2016-06-05,Buy,16 Weeks,4.68%,Rise by 9.03%,29.18%,Normal Case,
2016-07-03,44.19,2016-10-09,45.65,2016-06-26,Buy,14 Weeks,3.3%,Rise by 7.6%,32.48%,Normal Case,
2016-08-21,46.02,2017-01-08,55.51,2016-08-14,Buy,20 Weeks,20.62%,Rise by 20.71%,53.11%,Normal Case,
2016-08-28,46.97,2017-01-08,55.51,2016-08-21,Buy,19 Weeks,18.18%,Rise by 18.27%,71.29%,Normal Case,
2016-09-04,46.84,2017-01-08,55.51,2016-08-28,Buy,18 Weeks,18.51%,Rise by 18.6%,89.8%,Normal Case,
2016-09-11,47.55,2017-01-08,55.51,2016-09-04,Buy,17 Weeks,16.74%,Rise by 16.82%,106.54%,Normal Case,
2016-10-16,45.31,2017-01-08,55.51,2016-08-07,Buy,12 Weeks,22.51%,Rise by 22.6%,129.05%,Local Extrema Case,
2016-10-30,47.68,2017-01-08,55.51,2016-10-23,Buy,10 Weeks,16.42%,Rise by 16.51%,145.47%,Normal Case,
2016-11-06,46.83,2017-01-08,55.51,2016-10-30,Buy,9 Weeks,18.54%,Rise by 24.39%,164.01%,Normal Case,
2017-01-01,54.53,2017-03-26,56.0,2015-11-22,Buy,12 Weeks,2.7%,Rise by 6.82%,166.7%,Tangent Case,
2017-01-08,55.51,2017-03-26,56.0,2016-12-18,Buy,11 Weeks,0.88%,Rise by 4.94%,167.58%,Normal Case,
2017-01-29,56.54,2017-07-02,54.53,2017-01-22,Buy,22 Weeks,-3.56%,Rise by -0.67%,164.03%,Normal Case,
2017-03-12,57.75,2017-07-02,54.53,2017-03-05,Buy,16 Weeks,-5.58%,Rise by -2.75%,158.45%,Normal Case,
2017-04-02,55.84,2017-07-02,54.53,2017-03-26,Buy,13 Weeks,-2.35%,Rise by 0.57%,156.11%,Normal Case,
2017-07-02,54.53,2017-12-24,62.35,2017-06-25,Buy,25 Weeks,14.34%,Rise by 17.62%,170.45%,Normal Case,
2017-08-20,55.29,2017-12-24,62.35,2017-08-13,Buy,18 Weeks,12.77%,Rise by 16.01%,183.22%,Normal Case,
2017-08-27,55.65,2017-12-24,62.35,2017-08-20,Buy,17 Weeks,12.04%,Rise by 15.26%,195.26%,Normal Case,
2017-10-01,60.05,2017-12-24,62.35,2017-09-24,Buy,12 Weeks,3.83%,Rise by 6.81%,199.09%,Normal Case,
2017-10-29,62.42,2018-02-11,60.64,2017-10-22,Buy,15 Weeks,-2.85%,Rise by 4.26%,196.24%,Normal Case,
2017-11-19,63.57,2018-02-11,60.64,2017-11-12,Buy,12 Weeks,-4.61%,Rise by 2.38%,191.63%,Normal Case,
2018-02-11,60.64,2018-06-10,63.08,2017-09-03,Buy,17 Weeks,4.02%,Rise by 4.47%,195.65%,Local Extrema Case,
2018-03-04,63.29,2018-06-10,63.08,2018-02-25,Buy,14 Weeks,-0.33%,Rise by 0.09%,195.32%,Normal Case,
2018-04-29,61.31,2018-07-08,63.38,2018-04-22,Buy,10 Weeks,3.38%,Rise by 4.86%,198.7%,Normal Case,
2018-05-06,61.41,2018-07-08,63.38,2018-04-29,Buy,9 Weeks,3.21%,Rise by 4.69%,201.9%,Normal Case,
2018-06-24,64.29,2018-09-09,64.97,2018-06-17,Buy,11 Weeks,1.06%,Rise by 2.02%,202.96%,Normal Case,
2018-07-01,63.12,2018-09-09,64.97,2018-06-10,Buy,10 Weeks,2.93%,Rise by 3.91%,205.89%,Normal Case,
2018-08-19,65.59,2019-03-17,62.28,2018-08-12,Buy,30 Weeks,-5.05%,Rise by -10.11%,200.85%,Normal Case,
2018-12-02,60.6,2019-03-17,62.28,2018-11-18,Buy,15 Weeks,2.77%,Rise by 3.27%,203.62%,Normal Case,
2018-12-16,58.38,2019-03-17,62.28,2018-12-09,Buy,13 Weeks,6.68%,Rise by 7.19%,210.3%,Normal Case,
2019-01-20,60.74,2019-04-07,61.97,2018-11-04,Buy,11 Weeks,2.03%,Rise by 5.28%,212.32%,Local Extrema Case,
2019-03-17,62.28,2019-05-19,63.08,2019-03-03,Buy,9 Weeks,1.28%,Rise by 2.68%,213.61%,Normal Case,
2019-05-12,63.38,2019-08-11,62.96,2019-04-21,Buy,13 Weeks,-0.66%,Rise by 1.23%,212.94%,Normal Case,
2019-09-29,65.95,2019-12-22,72.87,2019-09-22,Buy,12 Weeks,10.49%,Rise by 13.4%,223.44%,Normal Case,
2019-12-08,71.86,2020-02-16,73.76,2019-11-24,Buy,10 Weeks,2.64%,Rise by 4.08%,226.08%,Normal Case,
2020-02-02,73.43,2020-05-17,51.38,2020-01-19,Buy,15 Weeks,-30.03%,Rise by -41.5%,196.05%,Normal Case,
2020-03-01,69.77,2020-05-17,51.38,2019-09-01,Buy,11 Weeks,-26.36%,Rise by -22.09%,169.69%,Local Extrema Case,
2020-04-05,50.82,2020-06-21,61.97,2020-03-15,Buy,11 Weeks,21.94%,Rise by 28.93%,191.64%,Normal Case,
2020-05-10,55.5,2020-09-27,65.71,2020-05-03,Buy,20 Weeks,18.4%,Rise by 31.26%,210.03%,Normal Case,
2020-06-21,61.97,2020-09-27,65.71,2020-05-31,Buy,14 Weeks,6.04%,Rise by 17.56%,216.07%,Normal Case,
2020-07-05,61.72,2020-09-27,65.71,2020-06-28,Buy,12 Weeks,6.46%,Rise by 18.03%,222.53%,Normal Case,
2020-09-06,72.58,2020-12-20,71.63,2020-08-30,Buy,15 Weeks,-1.31%,Rise by -11.9%,221.22%,Normal Case,
2020-09-20,69.57,2020-12-20,71.63,2016-01-10,Buy,13 Weeks,2.96%,Rise by 5.62%,224.18%,Tangent Case,
2020-10-25,67.03,2021-01-31,71.87,2020-10-18,Buy,14 Weeks,7.22%,Rise by 32.45%,231.4%,Normal Case,
2021-02-28,80.16,2021-06-13,91.46,2021-02-21,Buy,15 Weeks,14.1%,Rise by 17.61%,245.5%,Normal Case,
2021-03-07,83.51,2021-06-13,91.46,2021-02-28,Buy,14 Weeks,9.52%,Rise by 12.9%,255.02%,Normal Case,
2021-05-09,90.88,2021-09-19,97.98,2021-05-02,Buy,19 Weeks,7.81%,Rise by 9.29%,262.83%,Normal Case,
2021-05-16,91.56,2021-09-19,97.98,2021-05-09,Buy,18 Weeks,7.01%,Rise by 8.48%,269.85%,Normal Case,
2021-06-27,93.7,2021-09-19,97.98,2021-06-13,Buy,12 Weeks,4.57%,Rise by 6.0%,274.41%,Normal Case,
2021-07-25,94.02,2021-12-12,96.5,2021-07-11,Buy,20 Weeks,2.64%,Rise by 12.15%,277.05%,Normal Case,
2021-08-22,98.89,2021-12-12,96.5,2021-08-08,Buy,16 Weeks,-2.42%,Rise by 6.62%,274.63%,Normal Case,
2021-09-19,97.98,2021-12-12,96.5,2021-09-12,Buy,12 Weeks,-1.51%,Rise by 7.61%,273.12%,Normal Case,
2021-10-03,98.24,2021-12-12,96.5,2021-09-26,Buy,10 Weeks,-1.77%,Rise by 4.84%,271.35%,Normal Case,
