Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2015-11-22,39.34,2016-04-10,40.36,2015-11-15,Buy,20 Weeks,2.59%,Rise by -11.92%,2.59%,Absolute Extrema Case,
2016-02-07,35.7,2016-04-10,40.36,2016-01-31,Buy,9 Weeks,13.05%,Rise by 17.0%,15.65%,Normal Case,
2016-02-14,35.54,2016-07-31,41.04,2016-01-24,Buy,24 Weeks,15.48%,Rise by 17.53%,31.12%,Absolute Extrema Case,
2016-02-21,36.78,2016-07-31,41.04,2016-02-07,Buy,23 Weeks,11.58%,Rise by 13.57%,42.7%,Normal Case,
2016-06-26,39.23,2017-01-01,38.45,2016-06-19,Buy,27 Weeks,-1.99%,Rise by 3.29%,40.72%,Normal Case,
2016-08-21,41.32,2017-01-01,38.45,2016-08-14,Buy,19 Weeks,-6.95%,Rise by -1.94%,33.77%,Normal Case,
2016-08-28,41.26,2017-01-01,38.45,2016-08-21,Buy,18 Weeks,-6.81%,Rise by -1.79%,26.96%,Normal Case,
2016-10-30,38.17,2017-01-01,38.45,2016-10-23,Buy,9 Weeks,0.73%,Rise by 19.62%,27.69%,Normal Case,
2016-11-13,39.45,2017-04-02,44.61,2016-10-30,Buy,20 Weeks,13.08%,Rise by 15.74%,40.77%,Normal Case,
2017-01-29,40.23,2017-04-02,44.61,2017-01-22,Buy,9 Weeks,10.89%,Rise by 13.5%,51.66%,Normal Case,
2017-03-12,42.68,2017-06-18,45.09,2015-11-22,Buy,14 Weeks,5.65%,Rise by 19.38%,57.31%,Tangent Case,
2017-03-26,44.65,2017-06-18,45.09,2017-03-19,Buy,12 Weeks,0.99%,Rise by 14.11%,58.29%,Normal Case,
2017-04-23,44.43,2017-07-09,49.35,2017-04-09,Buy,11 Weeks,11.07%,Rise by 14.67%,69.37%,Normal Case,
2017-07-02,50.14,2017-10-01,48.35,2017-06-25,Buy,13 Weeks,-3.57%,Rise by 2.87%,65.8%,Normal Case,
2017-08-20,48.62,2017-11-19,48.94,2017-08-13,Buy,13 Weeks,0.66%,Rise by 8.49%,66.45%,Normal Case,
2017-08-27,49.24,2017-11-19,48.94,2017-08-20,Buy,12 Weeks,-0.61%,Rise by 7.13%,65.84%,Normal Case,
2017-10-29,50.88,2018-02-18,50.71,2017-10-22,Buy,16 Weeks,-0.33%,Rise by 3.68%,65.51%,Normal Case,
2017-11-19,48.94,2018-02-18,50.71,2017-11-12,Buy,13 Weeks,3.62%,Rise by 7.79%,69.13%,Normal Case,
2017-12-31,47.28,2018-04-01,45.75,2017-12-24,Buy,13 Weeks,-3.24%,Rise by 12.03%,65.89%,Normal Case,
2018-02-04,50.13,2018-07-01,44.06,2018-01-21,Buy,21 Weeks,-12.11%,Rise by -10.65%,53.78%,Normal Case,
