Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type
2015-12-20,4.888,2016-04-10,5.214,2015-12-13,Buy,16 Weeks,6.67%,Rise by -11.09%,6.67%,Absolute Extrema Case
2016-02-07,4.346,2016-04-10,5.214,2016-01-31,Buy,9 Weeks,19.97%,Rise by 22.69%,26.64%,Normal Case
2016-05-22,5.288,2016-08-14,6.564,2016-05-15,Buy,12 Weeks,24.13%,Rise by 26.36%,50.77%,Normal Case
2016-06-26,5.52,2016-10-09,6.506,2016-06-19,Buy,15 Weeks,17.86%,Rise by 21.74%,68.63%,Normal Case
2016-08-07,6.544,2016-10-09,6.506,2016-07-31,Buy,9 Weeks,-0.58%,Rise by 2.69%,68.05%,Normal Case
2016-08-28,6.636,2017-02-19,6.268,2016-08-21,Buy,25 Weeks,-5.55%,Rise by -12.06%,62.51%,Normal Case
2016-09-11,6.49,2017-02-19,6.268,2016-09-04,Buy,23 Weeks,-3.42%,Rise by -10.08%,59.09%,Normal Case
2016-10-16,6.578,2017-02-19,6.268,2016-07-03,Buy,18 Weeks,-4.71%,Rise by -14.69%,54.37%,Local Extrema Case
2016-10-16,6.578,2017-02-19,6.268,2016-10-09,Buy,18 Weeks,-4.71%,Rise by -14.69%,49.66%,Normal Case
2017-01-15,6.204,2017-04-16,6.264,2016-12-25,Buy,13 Weeks,0.97%,Rise by 32.08%,50.63%,Normal Case
2017-03-12,6.342,2017-08-13,7.8,2017-03-05,Buy,22 Weeks,22.99%,Rise by 29.2%,73.62%,Normal Case
2017-03-26,6.442,2017-08-13,7.8,2017-03-19,Buy,20 Weeks,21.08%,Rise by 27.2%,94.7%,Normal Case
2017-04-02,6.746,2017-08-13,7.8,2017-03-26,Buy,19 Weeks,15.62%,Rise by 21.46%,110.32%,Normal Case
2017-05-21,7.132,2017-08-13,7.8,2017-05-14,Buy,12 Weeks,9.37%,Rise by 14.89%,119.69%,Normal Case
2017-07-02,7.638,2017-12-17,8.968,2015-11-22,Buy,24 Weeks,17.41%,Rise by 25.4%,137.1%,Tangent Case
2017-07-02,7.638,2017-12-17,8.968,2017-06-18,Buy,24 Weeks,17.41%,Rise by 25.4%,154.52%,Normal Case
2017-10-29,7.566,2018-02-18,9.91,2017-10-22,Buy,16 Weeks,30.98%,Rise by 37.43%,185.5%,Normal Case
2017-11-19,9.234,2018-02-18,9.91,2017-11-05,Buy,13 Weeks,7.32%,Rise by 12.61%,192.82%,Normal Case
2017-12-31,8.99,2018-08-26,10.908,2017-12-24,Buy,34 Weeks,21.33%,Rise by 34.93%,214.15%,Normal Case
2018-02-11,9.41,2018-08-26,10.908,2017-10-15,Buy,28 Weeks,15.92%,Rise by 28.91%,230.07%,Local Extrema Case
2018-02-25,10.046,2018-08-26,10.908,2018-02-04,Buy,26 Weeks,8.58%,Rise by 20.74%,238.65%,Normal Case
2018-03-11,10.28,2018-08-26,10.908,2018-02-25,Buy,24 Weeks,6.11%,Rise by -11.48%,244.76%,Normal Case
2018-04-08,9.688,2018-08-26,10.908,2017-12-17,Buy,20 Weeks,12.59%,Rise by 25.21%,257.35%,Local Extrema Case
2018-04-08,9.688,2018-08-26,10.908,2018-04-01,Buy,20 Weeks,12.59%,Rise by 25.21%,269.95%,Normal Case
2018-05-06,9.514,2018-08-26,10.908,2018-04-29,Buy,16 Weeks,14.65%,Rise by 27.5%,284.6%,Normal Case
2018-06-03,9.534,2018-08-26,10.908,2018-05-27,Buy,12 Weeks,14.41%,Rise by 27.23%,299.01%,Normal Case
2018-07-01,10.252,2018-10-21,11.134,2018-06-24,Buy,16 Weeks,8.6%,Rise by 18.32%,307.61%,Normal Case
2018-09-09,11.306,2019-06-02,9.6,2018-09-02,Buy,38 Weeks,-15.09%,Rise by -10.12%,292.52%,Normal Case
2018-10-07,11.446,2019-06-02,9.6,2018-09-30,Buy,34 Weeks,-16.13%,Rise by -13.17%,276.4%,Normal Case
2018-12-02,10.564,2019-06-02,9.6,2018-11-18,Buy,26 Weeks,-9.13%,Rise by -12.63%,267.27%,Normal Case
2018-12-09,10.226,2019-06-02,9.6,2018-12-02,Buy,25 Weeks,-6.12%,Rise by -13.38%,261.15%,Normal Case
2018-12-16,10.258,2019-06-02,9.6,2018-11-25,Buy,24 Weeks,-6.41%,Rise by -10.02%,254.73%,Normal Case
2019-05-12,9.94,2019-08-18,11.146,2019-04-28,Buy,14 Weeks,12.13%,Rise by 21.45%,266.87%,Normal Case
2019-05-26,9.796,2019-08-18,11.146,2019-05-12,Buy,12 Weeks,13.78%,Rise by 23.23%,280.65%,Normal Case
