Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2015-11-22,30.0467,2016-05-01,29.1267,2015-11-15,Buy,23 Weeks,-3.06%,Rise by -13.85%,-3.06%,Absolute Extrema Case,
2015-12-06,31.2067,2016-05-01,29.1267,2015-11-29,Buy,21 Weeks,-6.67%,Rise by -13.58%,-9.73%,Normal Case,
2016-02-07,26.4733,2016-05-01,29.1267,2016-01-31,Buy,12 Weeks,10.02%,Rise by 16.15%,0.3%,Normal Case,
2016-03-20,30.5233,2016-07-10,31.6567,2015-12-20,Buy,16 Weeks,3.71%,Rise by 4.59%,4.01%,Local Extrema Case,
2016-05-22,30.05,2016-08-14,35.2633,2016-05-15,Buy,12 Weeks,17.35%,Rise by 25.62%,21.36%,Normal Case,
2016-06-12,31.65,2016-08-14,35.2633,2016-06-05,Buy,9 Weeks,11.42%,Rise by 19.27%,32.77%,Normal Case,
2016-08-28,36.25,2016-10-30,36.92,2016-08-21,Buy,9 Weeks,1.85%,Rise by 25.88%,34.62%,Normal Case,
2016-09-04,36.55,2017-01-15,41.69,2016-08-28,Buy,19 Weeks,14.06%,Rise by 24.84%,48.69%,Normal Case,
2016-10-23,36.73,2017-01-15,41.69,2015-11-22,Buy,12 Weeks,13.5%,Rise by 24.23%,62.19%,Tangent Case,
2016-10-23,36.73,2017-01-15,41.69,2016-10-02,Buy,12 Weeks,13.5%,Rise by 24.23%,75.69%,Normal Case,
2016-11-06,36.2533,2017-01-15,41.69,2016-10-16,Buy,10 Weeks,15.0%,Rise by 25.86%,90.69%,Normal Case,
2016-11-20,39.41,2017-04-09,45.0633,2016-11-13,Buy,20 Weeks,14.34%,Rise by 15.78%,105.03%,Normal Case,
2017-01-01,40.9067,2017-04-09,45.0633,2016-12-18,Buy,14 Weeks,10.16%,Rise by 11.55%,115.2%,Normal Case,
2017-03-26,45.2933,2017-06-25,49.2133,2017-03-12,Buy,13 Weeks,8.65%,Rise by 10.13%,123.85%,Normal Case,
2017-04-02,45.63,2017-06-25,49.2133,2017-03-26,Buy,12 Weeks,7.85%,Rise by 9.32%,131.7%,Normal Case,
2017-04-16,43.3033,2017-06-25,49.2133,2015-12-06,Buy,10 Weeks,13.65%,Rise by 15.2%,145.35%,Tangent Case,
2017-05-21,47.8967,2017-08-13,48.2,2017-05-14,Buy,12 Weeks,0.63%,Rise by 4.35%,145.98%,Normal Case,
2017-06-11,49.3,2017-08-13,48.2,2017-05-28,Buy,9 Weeks,-2.23%,Rise by 22.89%,143.75%,Normal Case,
2017-08-20,48.45,2017-12-10,56.0067,2017-08-13,Buy,16 Weeks,15.6%,Rise by 25.04%,159.35%,Normal Case,
2017-09-24,52.04,2017-12-10,56.0067,2017-09-17,Buy,11 Weeks,7.62%,Rise by 16.42%,166.97%,Normal Case,
2017-10-29,56.9633,2018-02-11,56.7,2017-10-22,Buy,15 Weeks,-0.46%,Rise by 9.4%,166.51%,Normal Case,
2017-11-19,59.0233,2018-02-11,56.7,2017-11-12,Buy,12 Weeks,-3.94%,Rise by 5.59%,162.57%,Normal Case,
2017-12-10,56.0067,2018-02-11,56.7,2016-01-03,Buy,9 Weeks,1.24%,Rise by 11.27%,163.81%,Tangent Case,
2018-03-04,61.6833,2018-06-24,62.1033,2018-02-25,Buy,16 Weeks,0.68%,Rise by 4.41%,164.49%,Normal Case,
2018-05-27,62.9067,2018-08-26,62.2667,2018-05-20,Buy,13 Weeks,-1.02%,Rise by 0.85%,163.48%,Normal Case,
2018-07-29,62.0333,2018-12-23,49.7933,2018-07-22,Buy,21 Weeks,-19.73%,Rise by -10.7%,143.74%,Normal Case,
2018-08-05,62.48,2018-12-23,49.7933,2018-07-29,Buy,20 Weeks,-20.31%,Rise by -11.34%,123.44%,Normal Case,
2018-11-18,55.1933,2019-05-12,67.0667,2018-10-28,Buy,25 Weeks,21.51%,Rise by 28.97%,144.95%,Normal Case,
2018-11-25,53.4,2019-05-12,67.0667,2018-11-04,Buy,24 Weeks,25.59%,Rise by 33.3%,170.54%,Normal Case,
2018-12-02,56.0833,2019-05-12,67.0667,2018-11-18,Buy,23 Weeks,19.58%,Rise by 26.92%,190.13%,Normal Case,
2019-06-09,62.6633,2019-08-11,66.4367,2019-03-10,Buy,9 Weeks,6.02%,Rise by 15.26%,196.15%,Local Extrema Case,
2019-06-09,62.6633,2019-08-11,66.4367,2019-06-02,Buy,9 Weeks,6.02%,Rise by 15.26%,202.17%,Normal Case,
2019-08-04,67.47,2019-12-01,77.8233,2019-07-14,Buy,17 Weeks,15.35%,Rise by 31.17%,217.52%,Normal Case,
2020-03-29,67.4267,2020-06-21,89.0933,2020-03-22,Buy,12 Weeks,32.13%,Rise by 34.57%,249.65%,Normal Case,
2020-05-31,83.9533,2020-09-20,98.0667,2020-05-24,Buy,16 Weeks,16.81%,Rise by 22.25%,266.46%,Normal Case,
2020-06-14,86.3233,2020-09-20,98.0667,2020-06-07,Buy,14 Weeks,13.6%,Rise by 18.9%,280.07%,Normal Case,
2020-07-26,92.3533,2020-11-01,101.8267,2020-07-19,Buy,14 Weeks,10.26%,Rise by 36.94%,290.32%,Normal Case,
2020-09-20,98.0667,2020-12-27,124.3733,2020-09-13,Buy,14 Weeks,26.83%,Rise by 28.96%,317.15%,Normal Case,
2020-11-08,114.4333,2021-02-07,135.2033,2020-11-01,Buy,13 Weeks,18.15%,Rise by 27.49%,335.3%,Normal Case,
2020-11-15,113.6333,2021-02-07,135.2033,2020-10-25,Buy,12 Weeks,18.98%,Rise by 28.39%,354.28%,Normal Case,
2020-11-29,119.2233,2021-02-07,135.2033,2020-11-22,Buy,10 Weeks,13.4%,Rise by 22.37%,367.68%,Normal Case,
2021-01-10,132.92,2021-04-25,144.45,2021-01-03,Buy,15 Weeks,8.67%,Rise by 12.05%,376.36%,Normal Case,
2021-02-21,145.8967,2021-04-25,144.45,2021-02-14,Buy,9 Weeks,-0.99%,Rise by 2.08%,375.37%,Normal Case,
