Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2022-06-26,498.0,2022-08-28,501.5,2022-06-12,Buy,9 Weeks,0.7%,Rise by 0.7%,0.7%,Normal Case,
2022-07-17,499.5,2022-09-18,501.5,2022-07-03,Buy,9 Weeks,0.4%,Rise by 1.2%,1.1%,Normal Case,
2022-08-28,501.5,2022-11-06,502.5,2022-08-21,Buy,10 Weeks,0.2%,Rise by 0.8%,1.3%,Normal Case,
2022-10-02,502.5,2022-12-11,507.5,2022-05-22,Buy,10 Weeks,1.0%,Rise by 1.19%,2.3%,Absolute Extrema Case,
2022-10-09,505.5,2022-12-11,507.5,2022-09-25,Buy,9 Weeks,0.4%,Rise by 0.59%,2.69%,Normal Case,
2022-10-16,505.5,2023-04-23,526.0,2022-10-09,Buy,27 Weeks,4.06%,Rise by 4.35%,6.75%,Normal Case,
2022-12-18,507.5,2023-04-23,526.0,2022-12-11,Buy,18 Weeks,3.65%,Rise by 3.94%,10.39%,Normal Case,
2023-01-08,511.5,2023-04-23,526.0,2022-12-18,Buy,15 Weeks,2.83%,Rise by 3.13%,13.23%,Normal Case,
2023-02-26,519.0,2023-05-28,526.5,2023-02-19,Buy,13 Weeks,1.45%,Rise by 1.64%,14.67%,Normal Case,
2023-03-19,523.0,2023-05-28,526.5,2023-03-12,Buy,10 Weeks,0.67%,Rise by 0.86%,15.34%,Normal Case,
2023-03-26,524.0,2023-05-28,526.5,2023-03-05,Buy,9 Weeks,0.48%,Rise by 0.67%,15.82%,Normal Case,
2023-05-07,525.0,2023-10-08,541.0,2023-04-30,Buy,22 Weeks,3.05%,Rise by 3.9%,18.87%,Normal Case,
2023-05-14,526.5,2023-10-08,541.0,2023-04-23,Buy,21 Weeks,2.75%,Rise by 3.61%,21.62%,Normal Case,
2023-07-02,528.5,2023-10-08,541.0,2023-06-25,Buy,14 Weeks,2.37%,Rise by 3.22%,23.99%,Normal Case,
2023-08-13,534.5,2023-12-10,535.0,2023-08-06,Buy,17 Weeks,0.09%,Rise by 6.55%,24.08%,Normal Case,
2023-08-27,540.55,2023-12-10,535.0,2023-08-13,Buy,15 Weeks,-1.03%,Rise by 5.36%,23.05%,Normal Case,
2023-09-24,543.5,2023-12-10,535.0,2023-09-17,Buy,11 Weeks,-1.56%,Rise by 4.78%,21.49%,Normal Case,
2023-10-08,541.0,2023-12-10,535.0,2023-10-01,Buy,9 Weeks,-1.11%,Rise by 5.27%,20.38%,Normal Case,
2023-10-22,542.5,2024-01-07,305.0,2023-10-15,Buy,11 Weeks,-43.78%,Rise by -23.69%,-23.4%,Normal Case,
2023-10-29,542.5,2024-01-07,305.0,2023-06-18,Buy,10 Weeks,-43.78%,Rise by -23.69%,-67.18%,Local Extrema Case,
2023-10-29,542.5,2024-01-07,305.0,2023-10-22,Buy,10 Weeks,-43.78%,Rise by -23.69%,-110.96%,Normal Case,
2024-03-10,38.75,2024-11-17,22.5,2024-03-03,Buy,36 Weeks,-41.94%,Rise by -31.61%,-152.89%,Normal Case,
2024-04-14,138.5,2024-11-17,22.5,2024-04-07,Buy,31 Weeks,-83.75%,Rise by -24.55%,-236.65%,Normal Case,
2024-06-02,104.5,2024-11-17,22.5,2024-05-26,Buy,24 Weeks,-78.47%,Rise by -79.67%,-315.11%,Normal Case,
2024-07-21,21.25,2024-11-17,22.5,2024-07-14,Buy,17 Weeks,5.88%,Rise by -25.41%,-309.23%,Normal Case,
2024-07-28,21.5,2024-11-17,22.5,2024-07-07,Buy,16 Weeks,4.65%,Rise by -13.95%,-304.58%,Normal Case,
2024-09-08,15.85,2024-11-17,22.5,2024-08-25,Buy,10 Weeks,41.96%,Rise by 41.96%,-262.63%,Normal Case,
2024-10-27,18.2,2025-01-19,22.3,2024-10-20,Buy,12 Weeks,22.53%,Rise by 111.54%,-240.1%,Normal Case,
2024-11-03,21.5,2025-01-19,22.3,2024-10-27,Buy,11 Weeks,3.72%,Rise by -12.33%,-236.38%,Normal Case,
2024-11-24,19.25,2025-05-25,3.16,2022-05-29,Buy,26 Weeks,-83.58%,Rise by -12.47%,-319.96%,Tangent Case,
2025-01-05,38.5,2025-05-25,3.16,2024-12-29,Buy,20 Weeks,-91.79%,Rise by -49.22%,-411.75%,Normal Case,
2025-03-16,7.25,2025-05-25,3.16,2025-03-09,Buy,10 Weeks,-56.41%,Rise by -19.31%,-468.17%,Normal Case,
2025-04-27,5.5,2025-08-10,3.28,2025-04-20,Buy,15 Weeks,-40.36%,Rise by -41.09%,-508.53%,Normal Case,
2025-05-25,3.16,2025-08-10,3.28,2025-05-18,Buy,11 Weeks,3.8%,Rise by 46.84%,-504.73%,Normal Case,
2025-06-22,3.75,2025-09-21,4.55,2025-06-15,Buy,13 Weeks,21.33%,Rise by -12.53%,-483.4%,Normal Case,
2025-06-29,3.99,2025-09-21,4.55,2025-06-22,Buy,12 Weeks,14.04%,Rise by -22.81%,-469.36%,Normal Case,
2025-09-07,5.92,2025-09-07,5.92,2025-08-31,Buy,0 Weeks,0.0%,Rise by 0%,-469.36%,Normal Case,
2025-10-12,5.49,2025-10-12,5.49,2025-10-05,Buy,0 Weeks,0.0%,Rise by 0%,-469.36%,Normal Case,
