Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type
2015-12-13,3.97,2016-02-21,3.97,2015-12-06,Buy,10 Weeks,0.0%,Rise by 19.14%,0.0%,Absolute Extrema Case
2015-12-20,4.05,2016-02-21,3.97,2015-12-13,Buy,9 Weeks,-1.98%,Rise by 16.79%,-1.98%,Normal Case
2016-01-10,3.97,2016-04-10,4.25,2015-12-20,Buy,13 Weeks,7.05%,Rise by 19.14%,5.08%,Normal Case
2016-02-07,4.01,2016-04-10,4.25,2016-01-31,Buy,9 Weeks,5.99%,Rise by 17.96%,11.06%,Normal Case
2016-05-01,4.44,2016-09-04,5.5,2016-04-24,Buy,18 Weeks,23.87%,Rise by 26.13%,34.94%,Normal Case
2016-05-08,4.43,2016-09-04,5.5,2016-04-17,Buy,17 Weeks,24.15%,Rise by 26.41%,59.09%,Normal Case
2016-05-22,4.68,2016-09-04,5.5,2016-05-15,Buy,15 Weeks,17.52%,Rise by 19.66%,76.61%,Normal Case
2016-08-21,5.45,2016-12-11,4.66,2016-08-14,Buy,16 Weeks,-14.5%,Rise by -10.83%,62.12%,Normal Case
2016-08-28,5.44,2016-12-11,4.66,2016-08-21,Buy,15 Weeks,-14.34%,Rise by -10.66%,47.78%,Normal Case
2016-09-04,5.5,2016-12-11,4.66,2016-08-28,Buy,14 Weeks,-15.27%,Rise by -14.91%,32.5%,Normal Case
2016-09-11,5.6,2016-12-11,4.66,2016-09-04,Buy,13 Weeks,-16.79%,Rise by -13.21%,15.72%,Normal Case
2016-10-16,4.86,2017-02-19,4.9,2016-08-07,Buy,18 Weeks,0.82%,Rise by 11.11%,16.54%,Local Extrema Case
2016-10-30,4.86,2017-02-19,4.9,2016-10-23,Buy,16 Weeks,0.82%,Rise by 11.11%,17.37%,Normal Case
2016-11-06,4.67,2017-02-19,4.9,2016-10-30,Buy,15 Weeks,4.93%,Rise by 15.63%,22.29%,Normal Case
2017-01-01,4.68,2017-03-19,5.15,2016-12-25,Buy,11 Weeks,10.04%,Rise by 15.38%,32.33%,Normal Case
2017-01-29,4.89,2017-04-23,5.14,2017-01-22,Buy,12 Weeks,5.11%,Rise by 6.24%,37.45%,Normal Case
2017-03-12,5.4,2017-08-06,4.87,2017-03-05,Buy,21 Weeks,-9.81%,Rise by -12.41%,27.63%,Normal Case
2017-04-09,5.38,2017-08-06,4.87,2017-03-19,Buy,17 Weeks,-9.48%,Rise by -12.08%,18.15%,Normal Case
2017-04-16,5.33,2017-08-06,4.87,2017-04-09,Buy,16 Weeks,-8.63%,Rise by -11.26%,9.52%,Normal Case
2017-05-21,5.03,2017-08-06,4.87,2017-05-14,Buy,11 Weeks,-3.18%,Rise by 3.28%,6.34%,Normal Case
2017-07-02,4.75,2017-09-10,5.0,2017-06-25,Buy,10 Weeks,5.26%,Rise by 9.37%,11.6%,Normal Case
2017-08-13,4.87,2017-10-22,4.96,2017-08-06,Buy,10 Weeks,1.85%,Rise by 7.8%,13.45%,Normal Case
2017-08-20,5.195,2017-10-22,4.96,2017-08-13,Buy,9 Weeks,-4.52%,Rise by 1.06%,8.93%,Normal Case
2017-08-27,5.16,2017-10-29,4.92,2017-08-20,Buy,9 Weeks,-4.65%,Rise by 46.51%,4.28%,Normal Case
2017-10-01,5.05,2018-01-14,5.5,2017-09-24,Buy,15 Weeks,8.91%,Rise by 54.46%,13.19%,Normal Case
2017-11-19,4.88,2018-01-28,5.52,2017-11-12,Buy,10 Weeks,13.11%,Rise by 59.84%,26.3%,Normal Case
2017-12-31,5.5,2018-04-08,6.94,2017-12-24,Buy,14 Weeks,26.18%,Rise by 41.82%,52.48%,Normal Case
2018-02-04,5.7,2018-04-08,6.94,2018-01-28,Buy,9 Weeks,21.75%,Rise by 36.84%,74.24%,Normal Case
2018-02-25,6.06,2018-07-15,7.6,2018-02-04,Buy,20 Weeks,25.41%,Rise by 28.71%,99.65%,Normal Case
2018-03-04,6.27,2018-07-15,7.6,2018-02-25,Buy,19 Weeks,21.21%,Rise by 24.4%,120.86%,Normal Case
2018-03-25,6.94,2018-07-15,7.6,2018-03-18,Buy,16 Weeks,9.51%,Rise by 12.39%,130.37%,Normal Case
2018-04-08,6.94,2018-07-15,7.6,2018-01-21,Buy,14 Weeks,9.51%,Rise by 12.39%,139.88%,Local Extrema Case
2018-05-13,7.23,2018-07-15,7.6,2018-04-22,Buy,9 Weeks,5.12%,Rise by 7.88%,145.0%,Normal Case
