Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2015-12-06,15.3587,2016-04-24,16.9167,2015-11-29,Buy,20 Weeks,10.14%,Rise by -12.08%,10.14%,Normal Case,
2015-12-20,15.364,2016-04-24,16.9167,2015-11-22,Buy,18 Weeks,10.11%,Rise by -29.45%,20.25%,Absolute Extrema Case,
2015-12-27,15.3713,2016-04-24,16.9167,2015-12-13,Buy,17 Weeks,10.05%,Rise by -34.49%,30.3%,Normal Case,
2016-03-27,15.1833,2016-08-21,15.0,2015-12-20,Buy,21 Weeks,-1.21%,Rise by -15.19%,29.1%,Local Extrema Case,
2016-04-17,16.9673,2016-08-21,15.0,2016-04-10,Buy,18 Weeks,-11.59%,Rise by -13.96%,17.5%,Normal Case,
2016-05-22,14.6853,2016-08-21,15.0,2016-05-15,Buy,13 Weeks,2.14%,Rise by 6.59%,19.65%,Normal Case,
2016-10-16,13.1007,2017-03-05,16.7713,2016-10-09,Buy,20 Weeks,28.02%,Rise by 38.53%,47.66%,Normal Case,
2017-01-01,14.246,2017-03-05,16.7713,2016-12-25,Buy,9 Weeks,17.73%,Rise by 27.4%,65.39%,Normal Case,
2017-03-26,17.544,2017-07-09,20.8813,2017-03-19,Buy,15 Weeks,19.02%,Rise by 45.71%,84.41%,Normal Case,
2017-04-02,18.5533,2017-07-09,20.8813,2017-03-26,Buy,14 Weeks,12.55%,Rise by 37.78%,96.96%,Normal Case,
2017-04-16,20.2667,2017-07-09,20.8813,2017-04-09,Buy,12 Weeks,3.03%,Rise by 26.13%,99.99%,Normal Case,
2017-05-21,20.722,2017-10-08,23.792,2017-05-07,Buy,20 Weeks,14.82%,Rise by 22.19%,114.81%,Normal Case,
2017-06-11,23.8213,2017-10-08,23.792,2017-06-04,Buy,17 Weeks,-0.12%,Rise by 6.29%,114.68%,Normal Case,
2017-06-18,24.76,2017-10-08,23.792,2017-06-11,Buy,16 Weeks,-3.91%,Rise by 2.26%,110.78%,Normal Case,
2017-07-02,24.1073,2017-10-08,23.792,2017-06-18,Buy,14 Weeks,-1.31%,Rise by 5.03%,109.47%,Normal Case,
2017-08-13,23.858,2017-12-31,20.7567,2017-08-06,Buy,20 Weeks,-13.0%,Rise by -10.34%,96.47%,Normal Case,
2017-09-24,23.406,2017-12-31,20.7567,2017-09-17,Buy,14 Weeks,-11.32%,Rise by -13.7%,85.15%,Normal Case,
2017-11-19,21.0033,2018-02-11,20.6947,2017-11-12,Buy,12 Weeks,-1.47%,Rise by 11.1%,83.68%,Normal Case,
2018-02-04,22.9167,2018-05-27,18.59,2018-01-28,Buy,16 Weeks,-18.88%,Rise by -12.28%,64.8%,Normal Case,
2018-06-24,22.242,2018-08-26,21.5213,2018-06-17,Buy,9 Weeks,-3.24%,Rise by 6.55%,61.56%,Normal Case,
2018-10-28,22.06,2019-08-11,15.6673,2018-10-14,Buy,41 Weeks,-28.98%,Rise by 10.52%,32.58%,Normal Case,
2018-11-04,23.094,2019-08-11,15.6673,2018-08-05,Buy,40 Weeks,-32.16%,Rise by -12.74%,0.42%,Local Extrema Case,
2018-11-04,23.094,2019-08-11,15.6673,2018-10-28,Buy,40 Weeks,-32.16%,Rise by -12.74%,-31.74%,Normal Case,
2018-11-11,23.3673,2019-08-11,15.6673,2018-10-21,Buy,39 Weeks,-32.95%,Rise by -13.77%,-64.69%,Normal Case,
2018-11-18,23.6207,2019-08-11,15.6673,2018-09-09,Buy,38 Weeks,-33.67%,Rise by -10.34%,-98.36%,Local Extrema Case,
2018-11-18,23.6207,2019-08-11,15.6673,2018-11-11,Buy,38 Weeks,-33.67%,Rise by -10.34%,-132.03%,Normal Case,
2018-11-25,21.722,2019-08-11,15.6673,2018-11-04,Buy,37 Weeks,-27.87%,Rise by -12.79%,-159.9%,Normal Case,
2018-12-09,23.8647,2019-08-11,15.6673,2018-11-18,Buy,35 Weeks,-34.35%,Rise by -17.02%,-194.25%,Normal Case,
2018-12-16,24.3807,2019-08-11,15.6673,2018-12-09,Buy,34 Weeks,-35.74%,Rise by -14.63%,-229.99%,Normal Case,
2019-05-05,17.002,2019-08-11,15.6673,2016-01-17,Buy,14 Weeks,-7.85%,Rise by -13.01%,-237.84%,Tangent Case,
2019-05-12,15.968,2019-08-11,15.6673,2019-05-05,Buy,13 Weeks,-1.88%,Rise by 7.79%,-239.73%,Normal Case,
2019-08-04,15.6227,2019-12-08,22.3927,2019-07-28,Buy,18 Weeks,43.33%,Rise by 284.48%,-196.39%,Normal Case,
2019-10-06,15.4287,2019-12-08,22.3927,2019-09-29,Buy,9 Weeks,45.14%,Rise by 289.32%,-151.26%,Normal Case,
2019-12-08,22.3927,2020-02-23,60.0667,2019-12-01,Buy,11 Weeks,168.24%,Rise by 168.24%,16.99%,Normal Case,
