Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2015-11-22,22.83,2016-04-17,25.46,2015-11-15,Buy,21 Weeks,11.52%,Rise by 14.41%,11.52%,Absolute Extrema Case,
2015-12-06,23.31,2016-04-17,25.46,2015-11-29,Buy,19 Weeks,9.22%,Rise by 12.05%,20.74%,Normal Case,
2015-12-13,22.18,2016-04-17,25.46,2015-11-22,Buy,18 Weeks,14.79%,Rise by 17.76%,35.53%,Normal Case,
2015-12-27,23.15,2016-04-17,25.46,2015-12-13,Buy,16 Weeks,9.98%,Rise by 12.83%,45.51%,Normal Case,
2016-01-24,21.93,2016-04-17,25.46,2016-01-17,Buy,12 Weeks,16.1%,Rise by 19.11%,61.61%,Absolute Extrema Case,
2016-01-31,22.35,2016-04-17,25.46,2016-01-10,Buy,11 Weeks,13.91%,Rise by 16.87%,75.52%,Normal Case,
2016-02-07,22.75,2016-04-17,25.46,2016-01-31,Buy,10 Weeks,11.91%,Rise by 14.81%,87.43%,Normal Case,
2016-02-21,23.78,2016-07-10,26.73,2016-02-07,Buy,20 Weeks,12.41%,Rise by 22.96%,99.84%,Normal Case,
2016-02-28,23.77,2016-07-10,26.73,2015-12-20,Buy,19 Weeks,12.45%,Rise by 23.01%,112.29%,Local Extrema Case,
2016-05-22,23.91,2016-08-28,28.64,2016-05-15,Buy,14 Weeks,19.78%,Rise by 22.29%,132.07%,Normal Case,
2016-06-19,25.85,2016-08-28,28.64,2016-06-05,Buy,10 Weeks,10.79%,Rise by 13.11%,142.87%,Normal Case,
2016-06-26,25.68,2016-08-28,28.64,2016-06-19,Buy,9 Weeks,11.53%,Rise by 13.86%,154.39%,Normal Case,
2016-08-07,28.79,2016-11-13,29.93,2016-07-31,Buy,14 Weeks,3.96%,Rise by 8.3%,158.35%,Normal Case,
2016-09-04,29.14,2016-11-13,29.93,2016-08-28,Buy,10 Weeks,2.71%,Rise by 26.05%,161.06%,Normal Case,
2016-09-11,28.59,2016-11-13,29.93,2016-09-04,Buy,9 Weeks,4.69%,Rise by 28.47%,165.75%,Normal Case,
2016-10-16,30.66,2017-02-12,30.71,2016-07-03,Buy,17 Weeks,0.16%,Rise by 19.8%,165.91%,Local Extrema Case,
2016-10-23,31.08,2017-02-12,30.71,2016-10-09,Buy,16 Weeks,-1.19%,Rise by 18.18%,164.72%,Normal Case,
2016-10-30,30.77,2017-02-12,30.71,2016-10-23,Buy,15 Weeks,-0.19%,Rise by 19.37%,164.53%,Normal Case,
2016-11-06,30.24,2017-02-12,30.71,2016-10-16,Buy,14 Weeks,1.55%,Rise by 21.46%,166.08%,Normal Case,
2017-01-01,28.75,2017-03-05,30.85,2016-12-25,Buy,9 Weeks,7.3%,Rise by 27.76%,173.39%,Normal Case,
2017-01-29,31.25,2017-04-09,32.87,2017-01-22,Buy,10 Weeks,5.18%,Rise by 17.54%,178.57%,Normal Case,
2017-03-12,31.06,2017-05-28,35.51,2017-03-05,Buy,11 Weeks,14.33%,Rise by 18.25%,192.9%,Normal Case,
2017-03-26,32.81,2017-05-28,35.51,2017-03-19,Buy,9 Weeks,8.23%,Rise by 11.95%,201.13%,Normal Case,
2017-04-02,32.84,2017-07-09,34.63,2017-03-26,Buy,14 Weeks,5.45%,Rise by 11.85%,206.58%,Normal Case,
