Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2019-06-02,40.41,2020-03-01,33.87,2019-05-19,Buy,39 Weeks,-16.18%,Rise by -12.82%,-16.18%,Absolute Extrema Case,
2019-06-09,44.16,2020-03-01,33.87,2019-06-02,Buy,38 Weeks,-23.3%,Rise by -20.22%,-39.49%,Normal Case,
2019-12-08,27.86,2020-03-01,33.87,2019-11-24,Buy,12 Weeks,21.57%,Rise by 46.16%,-17.91%,Normal Case,
2020-01-12,34.01,2020-06-21,32.3,2019-12-29,Buy,23 Weeks,-5.03%,Rise by -33.55%,-22.94%,Normal Case,
2020-02-02,36.29,2020-06-21,32.3,2020-01-19,Buy,20 Weeks,-10.99%,Rise by -41.22%,-33.94%,Normal Case,
2020-02-09,40.63,2020-06-21,32.3,2020-01-26,Buy,19 Weeks,-20.5%,Rise by -32.86%,-54.44%,Normal Case,
2020-03-01,33.87,2020-06-21,32.3,2019-12-15,Buy,16 Weeks,-4.64%,Rise by -17.33%,-59.07%,Local Extrema Case,
2020-03-29,27.28,2020-06-21,32.3,2020-03-22,Buy,12 Weeks,18.4%,Rise by 36.4%,-40.67%,Absolute Extrema Case,
2020-04-05,22.82,2020-06-21,32.3,2020-03-15,Buy,11 Weeks,41.54%,Rise by 63.06%,0.87%,Normal Case,
2020-05-17,32.47,2020-08-23,30.83,2020-01-05,Buy,14 Weeks,-5.05%,Rise by 16.17%,-4.18%,Local Extrema Case,
2020-05-17,32.47,2020-08-23,30.83,2020-05-10,Buy,14 Weeks,-5.05%,Rise by 16.17%,-9.23%,Normal Case,
2020-06-21,32.3,2020-08-23,30.83,2020-06-14,Buy,9 Weeks,-4.55%,Rise by 16.78%,-13.78%,Normal Case,
2020-09-06,33.24,2020-12-27,52.88,2020-08-30,Buy,16 Weeks,59.09%,Rise by 65.04%,45.3%,Normal Case,
2020-09-13,36.98,2020-12-27,52.88,2020-09-06,Buy,15 Weeks,43.0%,Rise by 48.35%,88.3%,Normal Case,
2020-09-20,37.12,2020-12-27,52.88,2020-09-13,Buy,14 Weeks,42.46%,Rise by 47.79%,130.76%,Normal Case,
2020-10-25,36.75,2020-12-27,52.88,2020-10-18,Buy,9 Weeks,43.89%,Rise by 64.98%,174.65%,Normal Case,
2020-11-08,44.87,2021-01-31,50.93,2020-10-25,Buy,12 Weeks,13.51%,Rise by 35.12%,188.15%,Normal Case,
