Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2015-12-06,41.1,2016-04-03,40.26,2015-11-29,Buy,17 Weeks,-2.04%,Rise by 0.58%,-2.04%,Normal Case,
2015-12-13,40.4,2016-04-03,40.26,2015-11-22,Buy,16 Weeks,-0.35%,Rise by 2.33%,-2.39%,Absolute Extrema Case,
2016-01-10,39.17,2016-04-03,40.26,2016-01-03,Buy,12 Weeks,2.78%,Rise by 5.54%,0.39%,Absolute Extrema Case,
2016-02-07,39.43,2016-05-15,41.78,2016-01-31,Buy,14 Weeks,5.96%,Rise by 7.53%,6.35%,Normal Case,
2016-02-14,39.59,2016-05-15,41.78,2016-01-24,Buy,13 Weeks,5.53%,Rise by 7.1%,11.88%,Absolute Extrema Case,
2016-02-14,39.59,2016-05-15,41.78,2016-02-07,Buy,13 Weeks,5.53%,Rise by 7.1%,17.42%,Normal Case,
2016-05-01,42.4,2016-10-09,41.1,2016-04-24,Buy,23 Weeks,-3.07%,Rise by 2.64%,14.35%,Normal Case,
2016-06-19,43.41,2016-10-09,41.1,2016-06-05,Buy,16 Weeks,-5.32%,Rise by -2.99%,9.03%,Normal Case,
2016-07-03,43.52,2016-10-09,41.1,2016-06-26,Buy,14 Weeks,-5.56%,Rise by -3.24%,3.47%,Normal Case,
2016-08-07,42.23,2016-10-09,41.1,2016-07-31,Buy,9 Weeks,-2.68%,Rise by -0.28%,0.79%,Normal Case,
2016-08-21,42.08,2016-11-27,42.11,2016-08-14,Buy,14 Weeks,0.07%,Rise by 0.07%,0.86%,Normal Case,
2016-08-28,41.98,2016-11-27,42.11,2016-08-21,Buy,13 Weeks,0.31%,Rise by 0.31%,1.17%,Normal Case,
2016-09-11,41.73,2016-11-27,42.11,2016-09-04,Buy,11 Weeks,0.91%,Rise by 0.91%,2.08%,Normal Case,
2016-10-30,42.11,2017-09-24,40.28,2016-10-23,Buy,47 Weeks,-4.35%,Rise by -10.05%,-2.26%,Normal Case,
2016-11-06,42.02,2017-09-24,40.28,2016-07-24,Buy,46 Weeks,-4.14%,Rise by -11.02%,-6.4%,Local Extrema Case,
2016-11-06,42.02,2017-09-24,40.28,2016-10-30,Buy,46 Weeks,-4.14%,Rise by -11.02%,-10.54%,Normal Case,
2017-03-26,39.15,2017-09-24,40.28,2017-03-19,Buy,26 Weeks,2.89%,Rise by 4.55%,-7.66%,Normal Case,
2017-04-16,39.27,2017-09-24,40.28,2017-04-09,Buy,23 Weeks,2.57%,Rise by 4.23%,-5.09%,Normal Case,
2017-05-21,39.06,2017-09-24,40.28,2017-05-14,Buy,18 Weeks,3.12%,Rise by 4.79%,-1.96%,Normal Case,
2017-07-02,38.49,2017-09-24,40.28,2017-06-25,Buy,12 Weeks,4.65%,Rise by 6.34%,2.69%,Normal Case,
2017-08-13,39.48,2017-11-26,41.57,2017-08-06,Buy,15 Weeks,5.29%,Rise by 5.29%,7.98%,Normal Case,
2017-08-27,39.59,2017-11-26,41.57,2017-08-20,Buy,13 Weeks,5.0%,Rise by 5.0%,12.98%,Normal Case,
2017-09-03,40.93,2017-11-26,41.57,2017-08-13,Buy,12 Weeks,1.56%,Rise by 1.56%,14.55%,Normal Case,
2017-10-29,40.83,2018-01-21,42.7,2017-10-22,Buy,12 Weeks,4.58%,Rise by 7.03%,19.13%,Normal Case,
2017-11-19,40.98,2018-01-21,42.7,2017-11-05,Buy,9 Weeks,4.2%,Rise by 6.64%,23.32%,Normal Case,
2017-12-31,42.53,2018-05-06,44.28,2017-12-24,Buy,18 Weeks,4.11%,Rise by 5.57%,27.44%,Normal Case,
2018-02-04,43.22,2018-05-06,44.28,2018-01-28,Buy,13 Weeks,2.45%,Rise by 3.89%,29.89%,Normal Case,
2018-02-11,41.24,2018-05-06,44.28,2017-10-08,Buy,12 Weeks,7.37%,Rise by 8.87%,37.26%,Local Extrema Case,
2018-03-25,42.86,2018-06-10,44.78,2018-03-04,Buy,11 Weeks,4.48%,Rise by 4.76%,41.74%,Normal Case,
2018-04-01,42.78,2018-06-10,44.78,2018-03-18,Buy,10 Weeks,4.68%,Rise by 4.96%,46.42%,Normal Case,
2018-04-08,42.19,2018-06-10,44.78,2017-12-17,Buy,9 Weeks,6.14%,Rise by 1.56%,52.56%,Local Extrema Case,
2018-04-29,44.03,2018-10-21,41.87,2018-04-22,Buy,25 Weeks,-4.91%,Rise by -2.68%,47.65%,Normal Case,
2018-10-07,42.85,2019-03-10,38.71,2018-09-30,Buy,22 Weeks,-9.66%,Rise by -10.62%,37.99%,Normal Case,
2018-10-14,42.32,2019-03-10,38.71,2018-09-23,Buy,21 Weeks,-8.53%,Rise by -11.22%,29.46%,Normal Case,
2018-10-28,41.88,2019-03-10,38.71,2018-08-19,Buy,19 Weeks,-7.57%,Rise by -10.29%,21.89%,Local Extrema Case,
2018-12-09,38.97,2019-03-10,38.71,2018-12-02,Buy,13 Weeks,-0.67%,Rise by 1.33%,21.22%,Normal Case,
2018-12-16,38.61,2019-03-10,38.71,2018-12-09,Buy,12 Weeks,0.26%,Rise by 2.28%,21.48%,Normal Case,
2019-09-29,36.14,2020-01-19,36.34,2019-09-22,Buy,16 Weeks,0.55%,Rise by 2.57%,22.03%,Normal Case,
2019-10-06,35.83,2020-01-19,36.34,2019-09-15,Buy,15 Weeks,1.42%,Rise by 3.46%,23.46%,Normal Case,
2020-01-05,37.07,2020-06-28,26.12,2019-12-29,Buy,25 Weeks,-29.54%,Rise by -15.89%,-6.08%,Normal Case,
2020-03-29,26.35,2020-06-28,26.12,2020-03-22,Buy,13 Weeks,-0.87%,Rise by 16.02%,-6.95%,Normal Case,
2020-05-10,26.21,2020-09-20,30.49,2020-05-03,Buy,19 Weeks,16.33%,Rise by 16.63%,9.38%,Normal Case,
2020-07-05,26.83,2020-09-20,30.49,2020-06-28,Buy,11 Weeks,13.64%,Rise by 13.94%,23.02%,Normal Case,
2020-09-06,30.42,2020-11-08,30.43,2020-08-30,Buy,9 Weeks,0.03%,Rise by 21.3%,23.05%,Normal Case,
2020-09-20,30.49,2021-01-31,33.4,2020-09-13,Buy,19 Weeks,9.54%,Rise by 21.02%,32.59%,Normal Case,
2020-10-25,30.37,2021-01-31,33.4,2020-10-18,Buy,14 Weeks,9.98%,Rise by 21.5%,42.57%,Normal Case,
2020-11-01,29.67,2021-01-31,33.4,2020-10-11,Buy,13 Weeks,12.57%,Rise by 24.37%,55.14%,Normal Case,
2020-12-27,32.14,2021-03-14,36.9,2020-12-20,Buy,11 Weeks,14.81%,Rise by 14.81%,69.95%,Normal Case,
2021-01-10,33.42,2021-03-14,36.9,2021-01-03,Buy,9 Weeks,10.41%,Rise by 10.41%,80.37%,Normal Case,
2021-01-31,33.4,2021-05-30,40.49,2021-01-24,Buy,17 Weeks,21.23%,Rise by 23.38%,101.59%,Normal Case,
2021-02-28,36.35,2021-05-30,40.49,2021-02-21,Buy,13 Weeks,11.39%,Rise by 13.37%,112.98%,Normal Case,
2021-05-09,40.95,2021-08-15,40.41,2021-05-02,Buy,14 Weeks,-1.32%,Rise by 7.86%,111.66%,Normal Case,
2021-05-16,40.14,2021-08-15,40.41,2021-05-09,Buy,13 Weeks,0.67%,Rise by 10.04%,112.34%,Normal Case,
2021-06-06,41.21,2021-08-15,40.41,2021-05-30,Buy,10 Weeks,-1.94%,Rise by 7.18%,110.4%,Normal Case,
2021-07-25,40.43,2021-11-07,43.42,2021-07-11,Buy,15 Weeks,7.4%,Rise by 9.25%,117.79%,Normal Case,
2021-09-12,39.68,2022-03-27,58.03,2021-09-05,Buy,28 Weeks,46.24%,Rise by 55.87%,164.04%,Normal Case,
2021-09-19,39.96,2022-03-27,58.03,2021-09-12,Buy,27 Weeks,45.22%,Rise by 54.78%,209.26%,Normal Case,
2021-10-03,41.43,2022-03-27,58.03,2021-09-26,Buy,25 Weeks,40.07%,Rise by 49.29%,249.32%,Normal Case,
2021-10-10,42.98,2022-03-27,58.03,2021-10-03,Buy,24 Weeks,35.02%,Rise by 43.9%,284.34%,Normal Case,
2021-12-26,43.14,2022-03-27,58.03,2021-12-12,Buy,13 Weeks,34.52%,Rise by 43.37%,318.86%,Normal Case,
2022-01-09,44.35,2022-03-27,58.03,2022-01-02,Buy,11 Weeks,30.85%,Rise by 39.46%,349.7%,Normal Case,
2022-01-16,46.12,2022-03-27,58.03,2022-01-09,Buy,10 Weeks,25.82%,Rise by 34.11%,375.53%,Normal Case,
2022-01-23,46.73,2022-03-27,58.03,2022-01-16,Buy,9 Weeks,24.18%,Rise by 32.36%,399.71%,Normal Case,
2022-02-13,48.46,2022-05-22,58.35,2021-12-05,Buy,14 Weeks,20.41%,Rise by 27.63%,420.12%,Local Extrema Case,
2022-02-13,48.46,2022-05-22,58.35,2022-02-06,Buy,14 Weeks,20.41%,Rise by 27.63%,440.52%,Normal Case,
2022-02-20,48.91,2022-05-22,58.35,2022-02-13,Buy,13 Weeks,19.3%,Rise by 26.46%,459.82%,Normal Case,
2022-02-27,49.47,2022-05-22,58.35,2022-02-20,Buy,12 Weeks,17.95%,Rise by 25.03%,477.78%,Normal Case,
2022-03-13,57.05,2022-05-22,58.35,2022-03-06,Buy,10 Weeks,2.28%,Rise by 8.41%,480.05%,Normal Case,
2022-04-10,56.13,2022-06-26,56.06,2022-04-03,Buy,11 Weeks,-0.12%,Rise by 10.19%,479.93%,Normal Case,
2022-04-17,58.94,2022-06-26,56.06,2022-04-10,Buy,10 Weeks,-4.89%,Rise by 4.94%,475.04%,Normal Case,
2022-04-24,57.96,2022-06-26,56.06,2022-04-17,Buy,9 Weeks,-3.28%,Rise by 6.71%,471.76%,Normal Case,
2022-05-08,59.28,2022-09-18,53.49,2022-05-01,Buy,19 Weeks,-9.77%,Rise by -12.52%,462.0%,Normal Case,
2022-05-22,58.35,2022-09-18,53.49,2022-05-15,Buy,17 Weeks,-8.33%,Rise by -11.12%,453.67%,Normal Case,
2022-05-29,59.95,2022-09-18,53.49,2022-05-08,Buy,16 Weeks,-10.78%,Rise by -13.49%,442.89%,Normal Case,
2022-06-12,61.85,2022-09-18,53.49,2022-06-05,Buy,14 Weeks,-13.52%,Rise by -11.5%,429.38%,Normal Case,
2022-06-19,59.03,2022-09-18,53.49,2022-05-29,Buy,13 Weeks,-9.39%,Rise by -10.55%,419.99%,Normal Case,
2022-08-28,57.12,2022-12-04,55.22,2022-08-21,Buy,14 Weeks,-3.33%,Rise by -0.67%,416.66%,Normal Case,
2022-09-04,53.79,2022-12-04,55.22,2022-08-14,Buy,13 Weeks,2.66%,Rise by 5.48%,419.32%,Normal Case,
2022-09-18,53.49,2022-12-04,55.22,2022-09-11,Buy,11 Weeks,3.23%,Rise by 6.08%,422.56%,Normal Case,
2022-09-25,52.0,2022-12-04,55.22,2022-07-17,Buy,10 Weeks,6.19%,Rise by 9.12%,428.75%,Local Extrema Case,
2022-10-09,55.19,2023-02-05,54.11,2022-09-25,Buy,17 Weeks,-1.96%,Rise by 1.49%,426.79%,Normal Case,
2022-10-16,53.52,2023-02-05,54.11,2022-10-09,Buy,16 Weeks,1.1%,Rise by 4.65%,427.9%,Normal Case,
2022-12-11,54.21,2023-05-07,53.47,2022-12-04,Buy,21 Weeks,-1.37%,Rise by 3.32%,426.53%,Normal Case,
2022-12-18,54.35,2023-05-07,53.47,2022-12-11,Buy,20 Weeks,-1.62%,Rise by 3.05%,424.91%,Normal Case,
2022-12-25,55.92,2023-05-07,53.47,2022-12-18,Buy,19 Weeks,-4.38%,Rise by 0.16%,420.53%,Normal Case,
2023-02-19,54.11,2023-05-07,53.47,2023-02-12,Buy,11 Weeks,-1.18%,Rise by 3.51%,419.35%,Normal Case,
2023-03-05,54.96,2023-05-07,53.47,2023-02-26,Buy,9 Weeks,-2.71%,Rise by 10.5%,416.64%,Normal Case,
2023-08-06,58.32,2024-02-11,58.09,2023-07-23,Buy,27 Weeks,-0.39%,Rise by 0.15%,416.24%,Normal Case,
