Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2024-01-21,242.525,2024-08-04,251.075,2024-01-14,Buy,28 Weeks,3.53%,Rise by 15.48%,3.53%,Normal Case,
2024-02-18,271.5,2024-08-04,251.075,2024-02-11,Buy,24 Weeks,-7.52%,Rise by -10.67%,-4.0%,Normal Case,
2024-05-12,225.925,2024-08-04,251.075,2024-04-28,Buy,12 Weeks,11.13%,Rise by 23.97%,7.13%,Normal Case,
2024-06-30,257.425,2024-10-13,264.15,2024-06-23,Buy,15 Weeks,2.61%,Rise by 6.94%,9.75%,Normal Case,
2024-08-25,256.2,2025-01-05,294.45,2024-08-04,Buy,19 Weeks,14.93%,Rise by 20.98%,24.68%,Normal Case,
2024-09-08,260.3,2025-01-05,294.45,2024-09-01,Buy,17 Weeks,13.12%,Rise by 19.07%,37.8%,Normal Case,
2024-10-20,274.325,2025-01-05,294.45,2024-10-13,Buy,11 Weeks,7.34%,Rise by 12.99%,45.13%,Normal Case,
2024-10-27,271.725,2025-01-05,294.45,2024-10-20,Buy,10 Weeks,8.36%,Rise by 14.07%,53.5%,Normal Case,
2024-11-10,284.5,2025-02-09,318.0,2024-08-11,Buy,13 Weeks,11.78%,Rise by 12.51%,65.27%,Local Extrema Case,
2024-11-17,283.35,2025-02-09,318.0,2024-11-10,Buy,12 Weeks,12.23%,Rise by 12.97%,77.5%,Normal Case,
2024-11-24,285.825,2025-02-09,318.0,2024-09-15,Buy,11 Weeks,11.26%,Rise by 11.99%,88.76%,Local Extrema Case,
2024-12-22,305.2,2025-08-03,242.75,2024-12-15,Buy,32 Weeks,-20.46%,Rise by -13.5%,68.29%,Normal Case,
2025-01-26,320.1,2025-08-03,242.75,2025-01-19,Buy,27 Weeks,-24.16%,Rise by -17.53%,44.13%,Normal Case,
2025-02-02,304.8,2025-08-03,242.75,2025-01-26,Buy,26 Weeks,-20.36%,Rise by -13.29%,23.77%,Normal Case,
2025-02-16,308.1,2025-08-03,242.75,2025-02-09,Buy,24 Weeks,-21.21%,Rise by -20.06%,2.56%,Normal Case,
2025-06-15,260.21,2025-10-05,240.98,2025-06-08,Buy,16 Weeks,-7.39%,Rise by -1.66%,-4.83%,Normal Case,
2025-07-27,259.2,2025-10-05,240.98,2025-07-20,Buy,10 Weeks,-7.03%,Rise by -1.28%,-11.86%,Normal Case,
2025-08-31,249.41,2025-08-31,249.41,2025-04-13,Buy,0 Weeks,0.0%,Rise by 0%,-11.86%,Local Extrema Case,
2025-08-31,249.41,2025-08-31,249.41,2025-08-24,Buy,0 Weeks,0.0%,Rise by 0%,-11.86%,Normal Case,
2025-10-05,240.98,2025-10-05,240.98,2025-09-28,Buy,0 Weeks,0.0%,Rise by 0%,-11.86%,Normal Case,
2025-11-02,240.67,2025-11-02,240.67,2025-10-26,Buy,0 Weeks,0.0%,Rise by 0%,-11.86%,Normal Case,
