Entry Date,Entry Price,Exit Date,Exit Price,Divergence Start Date,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Type,Signal Open Price
2015-11-15,20.08,2016-02-07,23.38,2015-11-08,Buy,12 Weeks,16.43%,Rise by 34.56%,16.43%,Absolute Extrema Case,
2015-11-22,15.47,2016-02-07,23.38,2015-11-15,Buy,11 Weeks,51.13%,Rise by 74.66%,67.57%,Normal Case,
2015-12-13,24.39,2016-06-05,13.47,2015-12-06,Buy,25 Weeks,-44.77%,Rise by -17.18%,22.79%,Normal Case,
2015-12-20,20.7,2016-06-05,13.47,2015-12-13,Buy,24 Weeks,-34.93%,Rise by -18.55%,-12.13%,Normal Case,
2016-01-10,27.01,2016-06-05,13.47,2016-01-03,Buy,21 Weeks,-50.13%,Rise by -26.66%,-62.26%,Normal Case,
2016-01-17,27.02,2016-06-05,13.47,2016-01-10,Buy,20 Weeks,-50.15%,Rise by -37.6%,-112.41%,Normal Case,
2016-01-24,22.34,2016-06-05,13.47,2016-01-17,Buy,19 Weeks,-39.7%,Rise by -26.14%,-152.12%,Normal Case,
2016-02-07,23.38,2016-06-05,13.47,2016-01-31,Buy,17 Weeks,-42.39%,Rise by -36.95%,-194.5%,Normal Case,
2016-02-14,25.4,2016-06-05,13.47,2016-02-07,Buy,16 Weeks,-46.97%,Rise by -48.43%,-241.47%,Normal Case,
2016-03-06,16.86,2016-06-05,13.47,2015-12-27,Buy,13 Weeks,-20.11%,Rise by -21.59%,-261.58%,Local Extrema Case,
2016-05-01,15.7,2016-07-17,12.67,2016-04-24,Buy,11 Weeks,-19.3%,Rise by 64.08%,-280.88%,Normal Case,
2016-05-08,14.72,2016-07-17,12.67,2016-05-01,Buy,10 Weeks,-13.93%,Rise by 75.0%,-294.8%,Normal Case,
2016-05-22,15.2,2016-10-02,13.29,2016-05-15,Buy,19 Weeks,-12.57%,Rise by -13.16%,-307.37%,Normal Case,
2016-06-19,19.41,2016-10-02,13.29,2016-06-12,Buy,15 Weeks,-31.53%,Rise by -41.32%,-338.9%,Normal Case,
2016-08-21,11.34,2016-11-20,12.85,2016-08-14,Buy,13 Weeks,13.32%,Rise by 98.5%,-325.58%,Normal Case,
2016-08-28,13.65,2016-11-20,12.85,2016-08-21,Buy,12 Weeks,-5.86%,Rise by 64.91%,-331.45%,Normal Case,
2016-09-04,11.98,2016-11-20,12.85,2016-08-28,Buy,11 Weeks,7.26%,Rise by 87.9%,-324.18%,Normal Case,
2016-09-18,15.37,2016-11-20,12.85,2016-09-11,Buy,9 Weeks,-16.4%,Rise by 46.45%,-340.58%,Normal Case,
2016-10-16,16.12,2017-05-07,10.57,2016-10-09,Buy,29 Weeks,-34.43%,Rise by -12.41%,-375.01%,Normal Case,
2016-11-06,22.51,2017-05-07,10.57,2016-10-30,Buy,26 Weeks,-53.04%,Rise by -49.18%,-428.05%,Normal Case,
2017-01-01,14.04,2017-05-07,10.57,2016-12-25,Buy,18 Weeks,-24.72%,Rise by -18.16%,-452.77%,Normal Case,
2017-03-12,11.66,2017-06-04,9.75,2017-03-05,Buy,12 Weeks,-16.38%,Rise by -10.81%,-469.15%,Normal Case,
2017-03-26,12.96,2017-06-04,9.75,2017-03-19,Buy,10 Weeks,-24.77%,Rise by -19.75%,-493.92%,Normal Case,
2017-04-02,12.37,2017-06-04,9.75,2017-03-26,Buy,9 Weeks,-21.18%,Rise by -20.7%,-515.1%,Normal Case,
2017-04-16,15.96,2017-08-27,11.28,2017-04-09,Buy,19 Weeks,-29.32%,Rise by -38.91%,-544.42%,Normal Case,
2017-05-21,12.04,2017-08-27,11.28,2017-05-14,Buy,14 Weeks,-6.31%,Rise by -21.01%,-550.73%,Normal Case,
2017-07-02,11.18,2017-11-12,11.29,2017-06-11,Buy,19 Weeks,0.98%,Rise by -14.22%,-549.75%,Normal Case,
2017-07-09,11.19,2017-11-12,11.29,2017-06-25,Buy,18 Weeks,0.89%,Rise by -14.3%,-548.85%,Normal Case,
2017-08-13,15.51,2017-11-12,11.29,2017-07-30,Buy,13 Weeks,-27.21%,Rise by -38.68%,-576.06%,Normal Case,
2017-08-20,14.26,2017-11-12,11.29,2017-08-13,Buy,12 Weeks,-20.83%,Rise by -32.33%,-596.89%,Normal Case,
2017-10-29,9.8,2018-02-25,16.49,2017-10-22,Buy,17 Weeks,68.27%,Rise by 196.53%,-528.62%,Normal Case,
2017-11-19,11.43,2018-02-25,16.49,2017-11-12,Buy,14 Weeks,44.27%,Rise by -19.34%,-484.36%,Normal Case,
2017-12-31,11.04,2018-07-15,12.18,2017-12-24,Buy,28 Weeks,10.33%,Rise by 45.74%,-474.03%,Normal Case,
2018-02-04,17.31,2018-07-15,12.18,2018-01-28,Buy,23 Weeks,-29.64%,Rise by -10.98%,-503.67%,Normal Case,
2018-02-11,29.06,2018-07-15,12.18,2017-11-26,Buy,22 Weeks,-58.09%,Rise by -31.28%,-561.75%,Local Extrema Case,
2018-02-11,29.06,2018-07-15,12.18,2018-02-04,Buy,22 Weeks,-58.09%,Rise by -31.28%,-619.84%,Normal Case,
2018-03-25,24.87,2018-07-15,12.18,2018-03-18,Buy,16 Weeks,-51.03%,Rise by -49.14%,-670.86%,Normal Case,
2018-04-08,21.49,2018-07-15,12.18,2018-03-25,Buy,14 Weeks,-43.32%,Rise by -38.48%,-714.19%,Normal Case,
2018-04-29,15.41,2018-07-15,12.18,2018-04-22,Buy,11 Weeks,-20.96%,Rise by -22.26%,-735.15%,Normal Case,
2018-06-03,13.46,2018-10-28,24.16,2018-05-27,Buy,21 Weeks,79.49%,Rise by -13.52%,-655.65%,Normal Case,
2018-06-24,13.77,2018-10-28,24.16,2018-06-17,Buy,18 Weeks,75.45%,Rise by -12.93%,-580.2%,Normal Case,
2018-07-01,16.09,2018-10-28,24.16,2018-06-24,Buy,17 Weeks,50.16%,Rise by -21.44%,-530.04%,Normal Case,
2018-08-19,12.64,2018-10-28,24.16,2018-08-12,Buy,10 Weeks,91.14%,Rise by 91.14%,-438.9%,Normal Case,
2018-09-09,14.88,2019-01-13,18.19,2018-09-02,Buy,18 Weeks,22.24%,Rise by 62.37%,-416.66%,Normal Case,
2018-09-30,12.12,2019-01-13,18.19,2015-12-20,Buy,15 Weeks,50.08%,Rise by 148.43%,-366.58%,Tangent Case,
2018-10-07,14.82,2019-01-13,18.19,2018-09-23,Buy,14 Weeks,22.74%,Rise by 103.17%,-343.84%,Normal Case,
2018-10-14,21.31,2019-01-13,18.19,2018-10-07,Buy,13 Weeks,-14.64%,Rise by -15.2%,-358.48%,Normal Case,
2018-10-28,24.16,2019-01-13,18.19,2018-10-21,Buy,11 Weeks,-24.71%,Rise by -10.47%,-383.19%,Normal Case,
2018-11-18,18.14,2019-05-26,15.85,2018-11-11,Buy,27 Weeks,-12.62%,Rise by -11.03%,-395.81%,Normal Case,
2018-11-25,21.52,2019-05-26,15.85,2018-11-18,Buy,26 Weeks,-26.35%,Rise by -15.47%,-422.16%,Normal Case,
2018-12-16,21.63,2019-05-26,15.85,2018-12-09,Buy,23 Weeks,-26.72%,Rise by -25.38%,-448.88%,Normal Case,
2018-12-23,30.11,2019-05-26,15.85,2018-12-16,Buy,22 Weeks,-47.36%,Rise by -47.79%,-496.24%,Normal Case,
2018-12-30,28.34,2019-05-26,15.85,2018-12-23,Buy,21 Weeks,-44.07%,Rise by -47.39%,-540.31%,Normal Case,
2019-03-31,13.71,2019-08-25,19.87,2019-03-24,Buy,21 Weeks,44.93%,Rise by 36.47%,-495.38%,Normal Case,
2019-05-12,16.04,2019-08-25,19.87,2019-05-05,Buy,15 Weeks,23.88%,Rise by -17.21%,-471.51%,Normal Case,
2019-05-19,15.96,2019-08-25,19.87,2019-05-12,Buy,14 Weeks,24.5%,Rise by -16.79%,-447.01%,Normal Case,
2019-06-02,18.71,2019-08-25,19.87,2019-05-26,Buy,12 Weeks,6.2%,Rise by -22.77%,-440.81%,Normal Case,
2019-08-04,17.61,2019-12-22,12.51,2019-07-28,Buy,20 Weeks,-28.96%,Rise by -13.0%,-469.77%,Normal Case,
2019-08-11,17.97,2019-12-22,12.51,2019-08-04,Buy,19 Weeks,-30.38%,Rise by -13.3%,-500.15%,Normal Case,
2019-09-29,17.22,2019-12-22,12.51,2019-09-22,Buy,12 Weeks,-27.35%,Rise by -30.02%,-527.5%,Normal Case,
2019-10-06,17.04,2019-12-22,12.51,2019-09-29,Buy,11 Weeks,-26.58%,Rise by -27.58%,-554.09%,Normal Case,
2019-12-08,13.62,2020-02-16,13.68,2019-12-01,Buy,10 Weeks,0.44%,Rise by 384.88%,-553.65%,Normal Case,
2020-01-05,14.02,2020-04-05,46.8,2019-12-29,Buy,13 Weeks,233.81%,Rise by 371.04%,-319.84%,Normal Case,
2020-02-02,18.84,2020-04-05,46.8,2020-01-26,Buy,9 Weeks,148.41%,Rise by 250.53%,-171.43%,Normal Case,
2020-03-01,40.11,2020-07-05,27.68,2019-12-22,Buy,18 Weeks,-30.99%,Rise by -10.42%,-202.42%,Local Extrema Case,
2020-03-01,40.11,2020-07-05,27.68,2020-02-23,Buy,18 Weeks,-30.99%,Rise by -10.42%,-233.41%,Normal Case,
2020-03-15,57.83,2020-07-05,27.68,2020-03-08,Buy,16 Weeks,-52.14%,Rise by -35.69%,-285.55%,Normal Case,
2020-03-22,66.04,2020-07-05,27.68,2020-03-15,Buy,15 Weeks,-58.09%,Rise by -57.63%,-343.63%,Normal Case,
2020-03-29,65.54,2020-07-05,27.68,2020-01-19,Buy,14 Weeks,-57.77%,Rise by -51.34%,-401.4%,Local Extrema Case,
2020-04-26,35.93,2020-07-05,27.68,2020-02-16,Buy,10 Weeks,-22.96%,Rise by -22.96%,-424.36%,Local Extrema Case,
2020-06-14,36.09,2020-09-20,25.83,2020-06-07,Buy,14 Weeks,-28.43%,Rise by -32.22%,-452.79%,Normal Case,
2020-06-21,35.12,2020-09-20,25.83,2020-06-14,Buy,13 Weeks,-26.45%,Rise by -36.76%,-479.24%,Normal Case,
2020-09-06,30.75,2020-11-15,23.1,2020-08-30,Buy,10 Weeks,-24.88%,Rise by -10.41%,-504.12%,Normal Case,
2020-09-13,26.87,2020-11-15,23.1,2020-09-06,Buy,9 Weeks,-14.03%,Rise by 41.5%,-518.15%,Normal Case,
2020-09-27,26.38,2021-01-10,21.56,2020-09-20,Buy,15 Weeks,-18.27%,Rise by -12.43%,-536.42%,Normal Case,
2020-10-25,27.55,2021-01-10,21.56,2020-10-18,Buy,11 Weeks,-21.74%,Rise by -15.39%,-558.16%,Normal Case,
