Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2022-01-26,138.8725,2022-01-28,143.9780,2 days,3.68%,3.6764%,Rise by 21.92%,3.6764%,
Buy,2022-03-09,139.2790,2022-03-10,146.8175,1 days,5.41%,5.4125%,Rise by 21.57%,9.0889%,
Buy,2022-05-04,125.9285,2022-06-13,103.6700,28 days,-17.68%,-17.6755%,Rise by -14.94%,-8.5866%,
Buy,2022-09-26,115.1500,2022-10-04,121.0900,6 days,5.16%,5.1585%,Rise by 4.73%,-3.4281%,
Buy,2022-11-04,90.9800,2022-11-11,100.7900,5 days,10.78%,10.7826%,Rise by -10.07%,7.3545%,
Buy,2023-09-27,125.9800,2023-10-11,131.8300,10 days,4.64%,4.6436%,Rise by 5.22%,11.9981%,
Buy,2024-07-22,182.5500,2024-08-05,161.0200,10 days,-11.79%,-11.7940%,Rise by -11.79%,0.2040%,
Buy,2024-08-08,165.8000,2024-08-15,177.5900,5 days,7.11%,7.1110%,Rise by 16.98%,7.3150%,
Buy,2025-02-26,214.3500,2025-03-10,194.5400,8 days,-9.24%,-9.2419%,Rise by -10.04%,-1.9269%,
Buy,2025-03-11,196.5900,2025-03-24,203.2600,9 days,3.39%,3.3928%,Rise by 4.64%,1.4660%,
Buy,2025-04-22,173.1800,2025-04-24,186.5400,2 days,7.71%,7.7145%,Rise by 22.05%,9.1805%,
Buy,2025-09-26,219.7800,2025-10-08,225.2200,8 days,2.48%,2.4752%,Rise by 11.12%,11.6557%,
