Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2022-02-25,49.2800,2022-03-04,44.3500,5 days,-10.00%,-10.0041%,Rise by -11.83%,-10.0041%,
Buy,2022-03-08,42.0000,2022-03-09,45.3900,1 days,8.07%,8.0714%,Rise by 21.5%,-1.9326%,
Buy,2022-05-12,37.0600,2022-06-17,32.8500,26 days,-11.36%,-11.3600%,Rise by 4.18%,-13.2926%,
Buy,2023-02-14,43.4600,2023-02-16,45.2100,2 days,4.03%,4.0267%,Rise by -10.19%,-9.2659%,
Buy,2023-05-08,36.7700,2023-07-12,25.5800,47 days,-30.43%,-30.4324%,Rise by -0.57%,-39.6983%,
Buy,2023-07-17,26.6100,2023-09-07,23.6500,38 days,-11.12%,-11.1236%,Rise by -10.9%,-50.8220%,
Buy,2024-04-11,34.1600,2024-04-30,35.6400,13 days,4.33%,4.3326%,Rise by 11.3%,-46.4894%,
Buy,2024-10-18,45.1000,2024-11-29,46.6400,30 days,3.41%,3.4146%,Rise by 2.99%,-43.0748%,
Buy,2025-03-12,52.9200,2025-04-08,38.5800,19 days,-27.10%,-27.0975%,Rise by -21.58%,-70.1723%,
Buy,2025-04-09,45.7700,2025-05-02,56.4200,17 days,23.27%,23.2685%,Rise by 46.17%,-46.9038%,
