Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2022-03-02,43.1600,2022-03-08,38.5900,4 days,-10.59%,-10.5885%,Rise by 2.36%,-10.5885%,
Buy,2022-03-09,41.0400,2022-03-17,43.0300,6 days,4.85%,4.8489%,Rise by -11.18%,-5.7396%,
Buy,2022-04-07,39.3900,2022-04-29,35.6800,16 days,-9.42%,-9.4186%,Rise by -10.97%,-15.1582%,
Buy,2022-05-02,36.1400,2022-05-04,38.6200,2 days,6.86%,6.8622%,Rise by 2.93%,-8.2960%,
Buy,2022-06-15,32.0500,2022-07-19,33.3500,24 days,4.06%,4.0562%,Rise by 14.32%,-4.2398%,
Buy,2022-12-09,32.3800,2023-01-03,33.5100,17 days,3.49%,3.4898%,Rise by 8.8%,-0.7500%,
Buy,2023-03-15,28.4900,2023-04-14,29.5200,22 days,3.62%,3.6153%,Rise by 7.27%,2.8653%,
Buy,2024-08-07,37.3000,2024-08-14,38.8100,5 days,4.05%,4.0483%,Rise by 9.25%,6.9135%,
Buy,2024-12-20,44.1700,2025-01-06,45.4000,11 days,2.78%,2.7847%,Rise by 6.63%,9.6982%,
Buy,2025-02-26,43.9400,2025-02-28,46.1000,2 days,4.92%,4.9158%,Rise by -1.5%,14.6140%,
Buy,2025-03-12,39.9100,2025-03-17,41.4400,3 days,3.83%,3.8336%,Rise by -13.83%,18.4476%,
Buy,2025-04-08,35.0300,2025-04-09,37.1500,1 days,6.05%,6.0520%,Rise by 27.8%,24.4996%,
Buy,2025-08-06,45.4200,2025-08-12,47.5000,4 days,4.58%,4.5795%,Rise by 11.71%,29.0791%,
Buy,2025-10-13,48.8600,2025-10-14,50.0900,1 days,2.52%,2.5174%,Rise by 9.39%,31.5965%,
