Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-11-16,211.4400,2021-12-14,195.7800,20 days,-7.41%,-7.4064%,Rise by -10.15%,-7.4064%
Buy,2022-02-23,162.6500,2022-04-07,171.0000,31 days,5.13%,5.1337%,Rise by 7.43%,-2.2726%
Buy,2022-05-13,139.6300,2022-05-17,147.0400,2 days,5.31%,5.3069%,Rise by -11.13%,3.0342%
Buy,2024-03-25,286.5900,2024-04-19,269.6400,19 days,-5.91%,-5.9144%,Rise by -10.24%,-2.8801%
Buy,2024-04-30,257.4300,2024-05-01,264.9000,1 days,2.90%,2.9018%,Rise by -10.29%,0.0216%
Buy,2024-05-22,233.1500,2024-06-10,245.0100,13 days,5.09%,5.0869%,Rise by 15.12%,5.1085%
Buy,2024-07-30,228.0600,2024-09-13,213.0300,33 days,-6.59%,-6.5904%,Rise by 0.95%,-1.4819%
Buy,2025-03-17,227.5400,2025-03-21,210.4300,4 days,-7.52%,-7.5196%,Rise by -11.11%,-9.0014%
Buy,2025-03-24,207.7500,2025-03-27,215.5500,3 days,3.75%,3.7545%,Rise by 2.57%,-5.2469%
Buy,2025-04-09,201.9200,2025-04-14,212.8000,3 days,5.39%,5.3883%,Rise by 6.48%,0.1413%
Buy,2025-10-09,221.86,2025-10-09,221.86,0 days,0.00%,0.00%,Rise by 0%,0.14%
