Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-12-21,11.1317,2022-03-04,8.9400,53 days,-19.69%,-19.6888%,Rise by -15.78%,-19.6888%
Buy,2022-03-09,8.5283,2022-03-18,9.4633,7 days,10.96%,10.9635%,Rise by 22.81%,-8.7253%
Buy,2022-08-25,11.3350,2022-09-01,9.8167,5 days,-13.39%,-13.3948%,Rise by -16.78%,-22.1201%
Buy,2022-09-07,9.5750,2022-09-30,8.1917,17 days,-14.45%,-14.4470%,Rise by -12.29%,-36.5671%
Buy,2023-03-15,8.3650,2023-03-22,8.7033,5 days,4.04%,4.0442%,Rise by 17.51%,-32.5229%
Buy,2023-08-17,9.8017,2023-08-29,10.2817,8 days,4.90%,4.8971%,Rise by 11.58%,-27.6258%
Buy,2023-12-01,8.8183,2023-12-06,9.1050,3 days,3.25%,3.2512%,Rise by 4.46%,-24.3746%
Buy,2024-08-07,8.9617,2024-08-15,9.2983,6 days,3.76%,3.7560%,Rise by 55.33%,-20.6186%
Buy,2024-11-15,11.3050,2024-12-09,12.1100,16 days,7.12%,7.1207%,Rise by 7.12%,-13.4978%
Buy,2025-07-02,15.5550,2025-07-18,16.1250,12 days,3.66%,3.6644%,Rise by 9.15%,-9.8334%
Buy,2025-08-05,14.1300,2025-08-13,14.9100,6 days,5.52%,5.5202%,Rise by 7.22%,-4.3133%
