Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2021-11-19,1.1368,2022-01-13,1.1442,39 days,0.65%,0.6510%,Rise by -0.19%,0.6510%,
Buy,2022-03-09,1.0898,2022-03-10,1.1074,1 days,1.61%,1.6150%,Rise by 2.42%,2.2659%,
Buy,2022-05-03,1.0509,2022-05-05,1.0622,2 days,1.08%,1.0753%,Rise by 2.52%,3.3412%,
Buy,2022-07-11,1.0166,2022-08-11,1.0301,23 days,1.33%,1.3280%,Rise by 1.49%,4.6692%,
Buy,2022-09-29,0.9708,2022-10-04,0.9832,3 days,1.28%,1.2773%,Rise by 3.96%,5.9464%,
Buy,2023-02-28,1.0611,2023-03-07,1.0688,5 days,0.73%,0.7257%,Rise by 4.32%,6.6721%,
Buy,2023-09-11,1.0718,2023-09-28,1.0505,13 days,-1.99%,-1.9873%,Rise by -0.88%,4.6848%,
Buy,2023-09-29,1.0562,2023-10-24,1.0670,17 days,1.02%,1.0225%,Rise by 1.02%,5.7073%,
Buy,2024-04-18,1.0669,2024-05-06,1.0758,12 days,0.83%,0.8342%,Rise by 2.07%,6.5415%,
Buy,2024-10-09,1.0976,2024-10-23,1.0797,10 days,-1.63%,-1.6308%,Rise by -0.38%,4.9107%,
Buy,2024-11-18,1.0534,2025-01-03,1.0268,34 days,-2.53%,-2.5252%,Rise by 0.49%,2.3855%,
Buy,2025-10-14,1.1567,2025-10-16,1.1646,2 days,0.68%,0.6830%,Rise by -0.21%,3.0685%,
