Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2013-03-17,1.8845,2013-04-28,1.9117,29 days,1.44%,1.4434%,Rise by 1.78%,1.4434%,
Buy,2014-09-14,2.0527,2014-09-21,2.0828,4 days,1.47%,1.4664%,Rise by 0.57%,2.9097%,
Buy,2014-11-23,2.0406,2014-12-14,2.0645,14 days,1.17%,1.1712%,Rise by 2.64%,4.0809%,
Buy,2015-04-19,2.0158,2015-05-10,2.0518,14 days,1.79%,1.7859%,Rise by 9.2%,5.8668%,
Buy,2016-02-07,2.0362,2016-03-27,1.9332,34 days,-5.06%,-5.0584%,Rise by -1.1%,0.8084%,
Buy,2016-04-17,1.9268,2016-05-01,1.9637,9 days,1.92%,1.9151%,Rise by -6.39%,2.7235%,
Buy,2016-07-24,1.7927,2017-09-24,1.8325,304 days,2.22%,2.2201%,Rise by 0.07%,4.9436%,
Buy,2019-08-11,1.6784,2019-08-25,1.6971,9 days,1.11%,1.1142%,Rise by 8.49%,6.0578%,
Buy,2022-05-22,1.7208,2022-08-28,1.6425,69 days,-4.55%,-4.5502%,Rise by -3.19%,1.5075%,
Buy,2022-10-02,1.5983,2022-10-16,1.6174,9 days,1.20%,1.1950%,Rise by 4.23%,2.7026%,
