Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2022-03-10,1.3186,2022-04-25,1.2831,32 days,-2.69%,-2.6922%,Rise by -4.09%,-2.6922%,
Buy,2022-05-02,1.2574,2022-06-15,1.2013,32 days,-4.46%,-4.4616%,Rise by 0.58%,-7.1538%,
Buy,2022-06-16,1.2174,2022-06-17,1.2355,1 days,1.49%,1.4868%,Rise by 0.66%,-5.6671%,
Buy,2022-09-06,1.1566,2022-09-13,1.1690,5 days,1.07%,1.0721%,Rise by -0.99%,-4.5950%,
Buy,2022-09-29,1.0836,2022-09-30,1.1169,1 days,3.07%,3.0731%,Rise by 7.4%,-1.5219%,
Buy,2023-09-12,1.2509,2023-09-25,1.2242,9 days,-2.13%,-2.1345%,Rise by -1.54%,-3.6563%,
Buy,2023-09-29,1.2205,2023-10-11,1.2291,8 days,0.70%,0.7046%,Rise by 4.16%,-2.9517%,
Buy,2024-10-25,1.2973,2024-11-18,1.2618,16 days,-2.74%,-2.7365%,Rise by -1.49%,-5.6882%,
Buy,2024-11-19,1.2679,2024-12-11,1.2780,16 days,0.80%,0.7966%,Rise by 0.8%,-4.8916%,
Buy,2025-01-15,1.2213,2025-01-21,1.2331,4 days,0.97%,0.9662%,Rise by 6.53%,-3.9254%,
Buy,2025-07-17,1.3411,2025-07-23,1.3522,4 days,0.83%,0.8277%,Rise by 1.3%,-3.0977%,
Buy,2025-08-04,1.3290,2025-08-08,1.3452,4 days,1.22%,1.2190%,Rise by 2.74%,-1.8787%,
