Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2022-01-10,138.5740,2022-01-25,126.7355,11 days,-8.54%,-8.5431%,Rise by 6.83%,-8.5431%
Buy,2022-01-26,129.2400,2022-01-28,133.2895,2 days,3.13%,3.1333%,Rise by 11.14%,-5.4098%
Buy,2022-04-25,123.2500,2022-05-24,105.9260,21 days,-14.06%,-14.0560%,Rise by -10.15%,-19.4658%
Buy,2022-11-04,86.7000,2022-11-10,94.1700,4 days,8.62%,8.6159%,Rise by 17.01%,-10.8498%
Buy,2023-10-30,125.7500,2023-11-06,131.4500,5 days,4.53%,4.5328%,Rise by 11.35%,-6.3170%
Buy,2024-03-07,135.2400,2024-03-12,139.6200,3 days,3.24%,3.2387%,Rise by 18.89%,-3.0783%
Buy,2024-07-29,171.1300,2024-09-04,157.8100,27 days,-7.78%,-7.7836%,Rise by -1.27%,-10.8619%
Buy,2024-09-11,152.1500,2024-09-13,158.3700,2 days,4.09%,4.0881%,Rise by 10.79%,-6.7738%
Buy,2025-02-12,185.4300,2025-03-10,167.8100,18 days,-9.50%,-9.5022%,Rise by -10.49%,-16.2761%
Buy,2025-03-14,167.6200,2025-04-04,147.7400,15 days,-11.86%,-11.8602%,Rise by -11.86%,-28.1362%
Buy,2025-04-08,146.5800,2025-04-09,161.0600,1 days,9.88%,9.8786%,Rise by 18.69%,-18.2577%
