Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-11-30,47.5200,2021-12-10,48.5200,8 days,2.10%,2.1044%,Rise by 2.06%,2.1044%
Buy,2021-12-17,43.9800,2021-12-28,45.4900,7 days,3.43%,3.4334%,Rise by 10.28%,5.5378%
Buy,2022-01-27,44.2600,2022-01-31,45.8700,2 days,3.64%,3.6376%,Rise by 4.93%,9.1754%
Buy,2022-05-12,40.4200,2022-05-17,41.5200,3 days,2.72%,2.7214%,Rise by 4.82%,11.8968%
Buy,2022-09-28,41.3600,2022-10-26,42.2700,20 days,2.20%,2.2002%,Rise by 6.46%,14.0970%
Buy,2022-12-27,41.7900,2023-01-12,42.4600,12 days,1.60%,1.6033%,Rise by 2.13%,15.7002%
Buy,2023-02-02,40.1900,2023-03-15,38.0400,29 days,-5.35%,-5.3496%,Rise by 0.1%,10.3506%
Buy,2023-10-27,42.9600,2023-11-02,43.8300,4 days,2.03%,2.0251%,Rise by 16.29%,12.3758%
Buy,2024-10-28,55.1700,2024-11-13,53.2700,12 days,-3.44%,-3.4439%,Rise by 1.11%,8.9319%
Buy,2024-11-18,53.2700,2024-11-22,54.2300,4 days,1.80%,1.8021%,Rise by 4.71%,10.7340%
Buy,2024-12-23,53.2700,2025-01-13,50.6500,15 days,-4.92%,-4.9183%,Rise by -3.45%,5.8157%
Buy,2025-01-15,51.2800,2025-02-24,49.2600,28 days,-3.94%,-3.9392%,Rise by 0.29%,1.8765%
Buy,2025-08-01,52.7200,2025-08-18,53.5000,11 days,1.48%,1.4795%,Rise by 2.05%,3.3560%
