Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2021-11-24,50.9100,2021-12-17,45.6000,17 days,-10.43%,-10.4302%,Rise by -10.43%,-10.4302%,
Buy,2022-01-27,46.2300,2022-01-31,47.8400,2 days,3.48%,3.4826%,Rise by -10.19%,-6.9476%,
Buy,2022-05-12,41.9000,2022-05-17,42.8100,3 days,2.17%,2.1718%,Rise by 5.37%,-4.7757%,
Buy,2022-06-17,40.3900,2022-06-24,41.6000,5 days,3.00%,2.9958%,Rise by 3.74%,-1.7800%,
Buy,2022-09-28,42.5300,2022-10-24,43.4300,18 days,2.12%,2.1162%,Rise by 7.9%,0.3362%,
Buy,2022-12-19,43.0300,2023-02-07,41.5800,36 days,-3.37%,-3.3697%,Rise by 0.88%,-3.0335%,
Buy,2023-10-30,44.0700,2023-11-03,44.8000,4 days,1.66%,1.6565%,Rise by 12.41%,-1.3771%,
Buy,2024-10-24,53.7100,2024-11-13,51.7400,14 days,-3.67%,-3.6678%,Rise by 0.02%,-5.0449%,
Buy,2024-11-18,51.6000,2024-11-22,52.6200,4 days,1.98%,1.9767%,Rise by 4.11%,-3.0682%,
Buy,2025-08-01,51.7700,2025-08-18,52.5200,11 days,1.45%,1.4487%,Rise by 1.82%,-1.6195%,
