Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2022-01-26,22.3900,2022-01-31,23.5700,3 days,5.27%,5.2702%,Rise by 12.15%,5.2702%,
Buy,2022-04-19,20.4200,2022-05-16,18.9400,19 days,-7.25%,-7.2478%,Rise by -11.17%,-1.9776%,
Buy,2022-05-26,18.4500,2022-06-01,19.0300,4 days,3.14%,3.1436%,Rise by 3.85%,1.1660%,
Buy,2022-09-22,16.6800,2022-10-04,17.7000,8 days,6.12%,6.1151%,Rise by 22.96%,7.2812%,
Buy,2022-12-19,17.8800,2023-01-12,18.4000,18 days,2.91%,2.9083%,Rise by 6.54%,10.1894%,
Buy,2023-03-16,17.1900,2023-04-17,15.1900,22 days,-11.63%,-11.6347%,Rise by 1.51%,-1.4452%,
Buy,2023-04-19,14.8200,2023-04-28,15.5400,7 days,4.86%,4.8583%,Rise by 7.69%,3.4131%,
Buy,2024-03-26,17.7500,2024-04-09,18.1900,10 days,2.48%,2.4789%,Rise by -1.97%,5.8919%,
Buy,2024-04-19,16.8100,2024-04-22,17.3000,1 days,2.91%,2.9149%,Rise by 3.51%,8.8069%,
Buy,2024-11-04,20.7200,2024-11-06,21.4000,2 days,3.28%,3.2819%,Rise by 11.87%,12.0887%,
Buy,2025-01-22,21.6100,2025-02-04,22.3800,9 days,3.56%,3.5632%,Rise by -10.04%,15.6519%,
Buy,2025-03-05,20.0600,2025-03-11,18.9700,4 days,-5.43%,-5.4337%,Rise by -13.51%,10.2182%,
Buy,2025-03-14,18.4000,2025-03-25,18.8300,7 days,2.34%,2.3370%,Rise by -10.76%,12.5551%,
Buy,2025-08-04,16.4800,2025-08-20,17.0100,12 days,3.22%,3.2160%,Rise by 5.34%,15.7712%,
