Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2022-11-17,139.3220,2022-11-22,142.0980,3 days,1.99%,1.9925%,Rise by -1.13%,1.9925%,
Buy,2022-11-30,138.7450,2023-01-02,130.8450,23 days,-5.69%,-5.6939%,Rise by -0.72%,-3.7014%,
Buy,2023-07-17,138.6820,2023-07-24,141.7500,5 days,2.21%,2.2123%,Rise by 8.05%,-1.4891%,
Buy,2023-12-12,146.0850,2024-01-18,148.1180,27 days,1.39%,1.3917%,Rise by 1.48%,-0.0975%,
Buy,2024-07-29,154.1390,2024-08-05,145.5840,5 days,-5.55%,-5.5502%,Rise by -3.19%,-5.6477%,
Buy,2024-08-07,144.7320,2024-08-09,147.6690,2 days,2.03%,2.0293%,Rise by 1.37%,-3.6184%,
Buy,2024-08-29,144.4330,2024-09-03,146.7220,3 days,1.58%,1.5848%,Rise by 8.33%,-2.0336%,
Buy,2024-12-04,149.6470,2024-12-10,151.4080,4 days,1.18%,1.1768%,Rise by 5.74%,-0.8568%,
Buy,2025-02-11,151.7590,2025-02-13,154.2550,2 days,1.64%,1.6447%,Rise by -0.6%,0.7879%,
Buy,2025-02-25,149.8640,2025-04-07,145.4330,29 days,-2.96%,-2.9567%,Rise by 0.66%,-2.1688%,
Buy,2025-04-16,143.1810,2025-05-09,146.0150,17 days,1.98%,1.9793%,Rise by 3.58%,-0.1895%,
