Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2022-03-09,328.1300,2022-03-16,344.6800,5 days,5.04%,5.0437%,Rise by 12.01%,5.0437%,
Buy,2022-05-12,321.2400,2022-05-17,338.8600,3 days,5.48%,5.4850%,Rise by 13.32%,10.5287%,
Buy,2022-06-15,325.3900,2022-07-19,340.3800,24 days,4.61%,4.6068%,Rise by 10.62%,15.1355%,
Buy,2022-08-31,324.3700,2022-09-09,335.8500,7 days,3.54%,3.5392%,Rise by -10.56%,18.6747%,
Buy,2022-09-27,286.4800,2022-10-04,301.2700,5 days,5.16%,5.1627%,Rise by 25.94%,23.8373%,
Buy,2023-02-23,355.5300,2023-03-03,361.5000,6 days,1.68%,1.6792%,Rise by 10.26%,25.5165%,
Buy,2023-10-30,372.4200,2023-11-02,382.6900,3 days,2.76%,2.7576%,Rise by 28.58%,28.2742%,
Buy,2024-04-17,460.1600,2024-05-30,442.1000,31 days,-3.92%,-3.9247%,Rise by 0.02%,24.3494%,
Buy,2025-01-13,504.9100,2025-01-15,522.3500,2 days,3.45%,3.4541%,Rise by 12.62%,27.8035%,
Buy,2025-03-13,519.8300,2025-03-17,531.9900,2 days,2.34%,2.3392%,Rise by 7.26%,30.1427%,
Buy,2025-06-23,542.3500,2025-06-30,561.9400,5 days,3.61%,3.6121%,Rise by 10.44%,33.7548%,
Buy,2025-09-29,568.1400,2025-10-03,580.4500,4 days,2.17%,2.1667%,Rise by -2.84%,35.9215%,
