Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2022-01-12,152.2100,2022-02-11,140.1800,22 days,-7.90%,-7.9036%,Rise by -2.3%,-7.9036%,
Buy,2022-03-09,126.9500,2022-03-22,133.0900,9 days,4.84%,4.8365%,Rise by 9.6%,-3.0670%,
Buy,2022-05-12,107.9000,2022-05-17,115.9000,3 days,7.41%,7.4143%,Rise by 14.37%,4.3473%,
Buy,2022-09-27,96.2900,2022-11-11,106.0900,33 days,10.18%,10.1776%,Rise by 10.82%,14.5249%,
Buy,2023-02-27,118.5300,2023-03-20,121.2000,15 days,2.25%,2.2526%,Rise by 5.97%,16.7775%,
Buy,2023-05-18,118.8700,2023-05-23,108.7800,3 days,-8.49%,-8.4883%,Rise by -11.5%,8.2892%,
Buy,2023-05-25,107.4800,2023-06-14,112.8600,14 days,5.01%,5.0056%,Rise by 5.7%,13.2948%,
Buy,2023-08-25,98.8400,2023-08-29,101.7700,2 days,2.96%,2.9644%,Rise by 6.41%,16.2592%,
Buy,2023-12-28,108.8200,2024-01-25,100.7700,20 days,-7.40%,-7.3975%,Rise by -4.26%,8.8616%,
Buy,2024-04-05,88.8400,2024-04-11,92.0000,4 days,3.56%,3.5570%,Rise by 8.68%,12.4186%,
Buy,2024-07-03,75.2400,2024-08-13,78.5000,29 days,4.33%,4.3328%,Rise by -0.51%,16.7514%,
Buy,2025-03-27,65.8000,2025-04-08,53.2700,8 days,-19.04%,-19.0426%,Rise by -17.33%,-2.2912%,
Buy,2025-04-09,59.3200,2025-05-12,62.5800,23 days,5.50%,5.4956%,Rise by 6.39%,3.2044%,
