Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2022-01-11,44.3000,2022-02-02,47.1000,16 days,6.32%,6.3205%,Rise by 6.32%,6.3205%,
Buy,2022-08-09,50.7500,2022-08-23,53.5000,10 days,5.42%,5.4187%,Rise by 9.36%,11.7393%,
Buy,2024-07-22,121.5000,2024-09-27,108.0000,49 days,-11.11%,-11.1111%,Rise by 2.47%,0.6281%,
Buy,2024-10-01,106.0000,2024-10-11,109.5000,8 days,3.30%,3.3019%,Rise by -10.75%,3.9300%,
Buy,2024-11-07,99.2000,2024-11-11,102.5000,2 days,3.33%,3.3266%,Rise by 7.36%,7.2566%,
Buy,2024-12-30,83.2000,2025-02-28,86.6000,44 days,4.09%,4.0865%,Rise by -10.82%,11.3432%,
Buy,2025-03-13,69.6000,2025-03-17,73.4000,2 days,5.46%,5.4598%,Rise by -10.06%,16.8030%,
Buy,2025-03-31,63.8000,2025-04-08,55.2000,6 days,-13.48%,-13.4796%,Rise by -11.29%,3.3233%,
Buy,2025-04-09,58.8000,2025-05-26,61.5000,33 days,4.59%,4.5918%,Rise by 4.08%,7.9152%,
Buy,2025-08-04,42.6500,2025-08-21,47.5500,13 days,11.49%,11.4889%,Rise by 15.12%,19.4040%,
