Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-11-30,0.8699,2021-12-24,0.8746,18 days,0.54%,0.5403%,Rise by 0.54%,0.5403%
Buy,2022-01-13,0.8556,2022-01-28,0.8391,11 days,-1.93%,-1.9285%,Rise by 2.49%,-1.3882%
Buy,2022-04-20,0.8501,2022-04-29,0.8313,7 days,-2.21%,-2.2115%,Rise by -2.22%,-3.5997%
Buy,2022-05-03,0.8291,2022-05-16,0.8115,9 days,-2.12%,-2.1228%,Rise by 0.25%,-5.7225%
Buy,2022-05-17,0.8109,2022-05-20,0.8179,3 days,0.86%,0.8632%,Rise by 1.63%,-4.8592%
Buy,2022-09-29,0.7791,2022-10-27,0.7909,20 days,1.51%,1.5146%,Rise by 12.27%,-3.3447%
Buy,2023-05-31,0.8222,2023-06-30,0.8037,22 days,-2.25%,-2.2501%,Rise by 0.43%,-5.5947%
Buy,2024-01-24,0.8212,2024-01-25,0.8261,1 days,0.60%,0.5967%,Rise by 1.75%,-4.9980%
Buy,2024-03-26,0.8152,2024-04-10,0.8229,11 days,0.94%,0.9446%,Rise by 0.94%,-4.0535%
Buy,2024-07-30,0.8144,2024-08-01,0.8217,2 days,0.90%,0.8964%,Rise by 3.72%,-3.1571%
Buy,2024-11-26,0.8191,2024-11-28,0.8267,2 days,0.93%,0.9278%,Rise by 1.37%,-2.2293%
Buy,2025-04-10,0.7948,2025-04-14,0.8095,2 days,1.85%,1.8495%,Rise by 4.3%,-0.3797%
