Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-11-30,0.6831,2022-01-27,0.6661,42 days,-2.49%,-2.4887%,Rise by 0.15%,-2.4887%
Buy,2022-02-01,0.6578,2022-02-02,0.6637,1 days,0.90%,0.8969%,Rise by 4.52%,-1.5917%
Buy,2022-05-03,0.6441,2022-05-05,0.6551,2 days,1.71%,1.7078%,Rise by 1.85%,0.1161%
Buy,2022-05-16,0.6289,2022-05-20,0.6381,4 days,1.46%,1.4629%,Rise by 4.31%,1.5790%
Buy,2022-06-16,0.6293,2022-07-14,0.6109,20 days,-2.92%,-2.9239%,Rise by 2.48%,-1.3449%
Buy,2022-09-29,0.5719,2022-10-27,0.5840,20 days,2.12%,2.1158%,Rise by 12.85%,0.7708%
Buy,2023-02-21,0.6258,2023-05-09,0.6339,55 days,1.29%,1.2943%,Rise by 0.24%,2.0652%
Buy,2023-05-31,0.6047,2023-06-12,0.6131,8 days,1.39%,1.3891%,Rise by 3.11%,3.4543%
Buy,2023-08-16,0.5957,2023-10-10,0.6031,39 days,1.24%,1.2422%,Rise by 0.34%,4.6965%
Buy,2024-01-22,0.6118,2024-02-22,0.6180,23 days,1.01%,1.0134%,Rise by 1.26%,5.7099%
Buy,2024-07-29,0.5889,2024-08-01,0.5952,3 days,1.07%,1.0698%,Rise by 6.35%,6.7797%
Buy,2024-10-11,0.6096,2024-10-31,0.5971,14 days,-2.05%,-2.0505%,Rise by -1.21%,4.7292%
Buy,2024-12-23,0.5652,2025-02-17,0.5733,40 days,1.43%,1.4331%,Rise by 0.71%,6.1623%
Buy,2025-09-29,0.5778,2025-10-07,0.5841,6 days,1.09%,1.0903%,Rise by -0.9%,7.2527%
