Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2022-04-28,21.4200,2022-05-10,19.5500,8 days,-8.73%,-8.7302%,Rise by -10.74%,-8.7302%,
Buy,2022-05-11,19.8700,2022-06-02,20.5900,16 days,3.62%,3.6236%,Rise by 3.62%,-5.1066%,
Buy,2022-07-07,17.7500,2022-07-28,18.4300,15 days,3.83%,3.8310%,Rise by 8.0%,-1.2756%,
Buy,2023-02-08,20.4800,2023-02-24,19.0900,12 days,-6.79%,-6.7871%,Rise by -10.16%,-8.0627%,
Buy,2023-02-28,19.2200,2023-03-13,20.0000,9 days,4.06%,4.0583%,Rise by 23.52%,-4.0045%,
Buy,2023-05-17,21.8200,2023-07-13,22.7800,41 days,4.40%,4.3996%,Rise by 2.2%,0.3952%,
Buy,2023-10-05,19.2500,2023-10-06,19.7300,1 days,2.49%,2.4935%,Rise by 11.17%,2.8887%,
Buy,2024-07-29,25.4400,2024-07-31,26.3900,2 days,3.73%,3.7343%,Rise by 7.55%,6.6230%,
Buy,2024-08-08,25.0100,2024-08-15,25.8600,5 days,3.40%,3.3986%,Rise by 9.4%,10.0216%,
Buy,2024-11-12,28.0700,2024-12-09,28.9800,19 days,3.24%,3.2419%,Rise by 3.46%,13.2635%,
Buy,2024-12-20,26.9200,2025-01-10,27.6100,15 days,2.56%,2.5632%,Rise by 11.26%,15.8266%,
Buy,2025-04-09,28.0600,2025-04-11,29.1900,2 days,4.03%,4.0271%,Rise by 8.91%,19.8537%,
