Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2022-01-21,201.9500,2022-02-01,230.6900,7 days,14.23%,14.2312%,Rise by 10.09%,14.2312%
Buy,2022-04-08,190.9700,2022-05-19,167.3900,29 days,-12.35%,-12.3475%,Rise by -12.35%,1.8838%
Buy,2022-09-21,173.8300,2022-11-15,181.4700,39 days,4.40%,4.3951%,Rise by -2.78%,6.2789%
Buy,2023-04-28,179.8100,2023-05-31,167.0000,23 days,-7.12%,-7.1242%,Rise by -4.58%,-0.8453%
Buy,2023-08-17,170.7400,2023-09-08,161.0400,16 days,-5.68%,-5.6812%,Rise by -11.03%,-6.5265%
Buy,2023-09-11,160.8900,2023-09-26,151.9000,11 days,-5.59%,-5.5877%,Rise by -2.31%,-12.1142%
Buy,2023-10-30,138.7800,2023-11-15,147.1700,12 days,6.05%,6.0455%,Rise by 17.41%,-6.0686%
Buy,2024-02-05,139.0800,2024-02-06,145.9200,1 days,4.92%,4.9180%,Rise by 13.16%,-1.1506%
Buy,2025-02-05,111.9000,2025-02-25,118.1100,14 days,5.55%,5.5496%,Rise by 8.69%,4.3990%
Buy,2025-04-09,99.6600,2025-07-01,104.4700,59 days,4.83%,4.8264%,Rise by 1.67%,9.2254%
Buy,2025-08-04,85.0200,2025-08-22,88.8200,14 days,4.47%,4.4695%,Rise by 4.47%,13.6950%
