Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit
Buy,2021-12-02,40.4500,2021-12-07,41.4600,3 days,2.50%,2.4969%,Rise by 52.29%,2.4969%
Buy,2022-06-27,56.2000,2022-07-05,51.9100,6 days,-7.63%,-7.6335%,Rise by -2.6%,-5.1365%
Buy,2022-07-07,52.8900,2022-07-29,54.7400,16 days,3.50%,3.4978%,Rise by 3.5%,-1.6387%
Buy,2022-09-08,53.1300,2022-09-09,54.3200,1 days,2.24%,2.2398%,Rise by 3.88%,0.6011%
Buy,2023-03-17,52.5700,2023-03-27,53.6500,6 days,2.05%,2.0544%,Rise by 7.19%,2.6555%
Buy,2023-10-06,56.9700,2023-10-13,58.6500,5 days,2.95%,2.9489%,Rise by 4.18%,5.6044%
Buy,2023-12-08,55.8400,2023-12-15,56.9300,5 days,1.95%,1.9520%,Rise by 4.6%,7.5564%
Buy,2024-05-03,60.8100,2024-05-17,62.5300,10 days,2.83%,2.8285%,Rise by 4.57%,10.3849%
Buy,2024-08-07,59.9900,2024-08-23,60.8800,12 days,1.48%,1.4836%,Rise by 2.8%,11.8685%
Buy,2025-04-09,67.3700,2025-04-22,70.2000,9 days,4.20%,4.2007%,Rise by 5.73%,16.0691%
