Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2022-01-24,182.5900,2022-02-09,189.0800,12 days,3.55%,3.5544%,Rise by 3.55%,3.5544%,
Buy,2022-03-09,168.7900,2022-03-17,178.1300,6 days,5.53%,5.5335%,Rise by 13.47%,9.0879%,
Buy,2022-05-02,165.2600,2022-05-20,140.4100,14 days,-15.04%,-15.0369%,Rise by -13.59%,-5.9490%,
Buy,2022-05-23,141.4600,2022-05-27,153.7600,4 days,8.70%,8.6950%,Rise by 22.27%,2.7460%,
Buy,2022-09-27,146.5500,2022-11-09,132.0400,31 days,-9.90%,-9.9011%,Rise by 0.01%,-7.1550%,
Buy,2023-08-21,164.5300,2023-08-29,169.4500,6 days,2.99%,2.9903%,Rise by 6.23%,-4.1647%,
Buy,2023-09-27,158.3600,2023-10-10,162.5400,9 days,2.64%,2.6396%,Rise by 3.01%,-1.5251%,
Buy,2023-10-27,149.5900,2023-11-01,153.9800,3 days,2.93%,2.9347%,Rise by 21.27%,1.4096%,
Buy,2024-04-22,170.5100,2024-04-24,174.1900,2 days,2.16%,2.1582%,Rise by 14.19%,3.5678%,
Buy,2024-08-08,173.7600,2024-08-15,182.7000,5 days,5.15%,5.1450%,Rise by 8.12%,8.7128%,
Buy,2025-02-28,215.9600,2025-03-10,198.3300,6 days,-8.16%,-8.1635%,Rise by -10.4%,0.5493%,
Buy,2025-03-12,197.5300,2025-03-24,204.2900,8 days,3.42%,3.4223%,Rise by -10.73%,3.9715%,
