Signal,Entry Date,Entry Price,Exit Date,Exit Price,Holding Period,Offset,Profit,Actual Rise/Fall wrt Entry,CumProfit,Signal Open Price
Buy,2021-11-23,12699.3301,2021-12-10,12849.6797,13 days,1.18%,1.1839%,Rise by 2.32%,1.1839%,
Buy,2022-01-26,12185.6504,2022-02-09,12467.0498,10 days,2.31%,2.3093%,Rise by 0.16%,3.4932%,
Buy,2022-05-13,11168.1797,2022-05-23,11316.4600,6 days,1.33%,1.3277%,Rise by 2.23%,4.8209%,
Buy,2022-06-17,10589.1904,2022-06-23,10813.9199,4 days,2.12%,2.1223%,Rise by 11.93%,6.9431%,
Buy,2022-09-29,11200.0400,2022-11-18,11380.6104,36 days,1.61%,1.6122%,Rise by 1.24%,8.5554%,
Buy,2023-03-16,11699.0195,2023-03-30,11933.1699,10 days,2.00%,2.0015%,Rise by 2.0%,10.5568%,
Buy,2023-06-14,11678.6201,2023-06-16,11800.0400,2 days,1.04%,1.0397%,Rise by 3.23%,11.5965%,
Buy,2023-08-23,11571.9297,2023-09-12,11298.7002,14 days,-2.36%,-2.3611%,Rise by -1.94%,9.2354%,
Buy,2023-10-30,10741.5703,2023-11-01,10850.9199,2 days,1.02%,1.0180%,Rise by 5.64%,10.2534%,
Buy,2025-02-27,12553.0000,2025-03-19,12045.9297,14 days,-4.04%,-4.0394%,Rise by -1.71%,6.2139%,
Buy,2025-03-20,12054.7197,2025-03-25,12184.5098,3 days,1.08%,1.0767%,Rise by 2.35%,7.2906%,
