Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2021-02-25,120.99,2023-07-24,192.75,2020-11-04-2021-01-25,112.35-145.09,Buy,627 days,59.31%,Rise by -1.58%,59.31%
2021-03-23,122.54,2021-04-01,123.0,2021-01-25-2021-03-08,121.0-136.54,Sell,7 days,-0.38%,Fall by 0.19%,58.94%
2021-05-14,127.45,2021-08-20,148.19,2021-03-08-2021-04-29,116.21-137.07,Buy,70 days,16.27%,Rise by 5.74%,75.21%
2021-09-22,145.85,2021-11-26,156.81,2021-03-08-2021-09-07,116.21-157.26,Buy,47 days,7.51%,Rise by 14.44%,82.72%
2021-11-04,150.96,2021-11-16,151.0,2021-09-07-2021-10-04,142.21-154.39,Sell,8 days,-0.03%,Fall by -5.44%,82.7%
2022-01-21,162.41,2022-01-26,159.69,2021-03-08-2022-01-04,116.21-182.94,Sell,3 days,1.67%,Fall by 5.68%,84.37%
2022-01-26,159.69,2022-01-26,159.69,2021-10-04-2022-01-04,138.27-182.94,Buy,0 days,0.0%,Rise by 0%,84.37%
2022-03-01,163.2,2022-03-08,157.44,2020-11-04-2022-01-04,112.35-182.94,Sell,5 days,3.53%,Fall by 10.56%,87.9%
2022-03-10,158.52,2022-03-14,150.62,2022-01-04-2022-01-24,162.3-179.12,Sell,2 days,4.98%,Fall by 8.81%,92.88%
2022-04-13,170.4,2023-07-24,192.75,2022-03-14-2022-03-30,150.1-179.61,Buy,333 days,13.12%,Rise by -1.58%,106.0%
2022-05-11,146.5,2022-05-11,146.5,2022-01-04-2022-03-14,154.12-179.12,Sell,0 days,-0.0%,Fall by 0%,106.0%
2022-05-12,142.56,2022-05-16,145.54,2021-10-04-2022-01-04,138.27-182.94,Sell,2 days,-2.09%,Fall by 10.64%,103.91%
2022-06-08,147.96,2022-06-08,147.96,2022-01-04-2022-05-20,140.7-179.12,Sell,0 days,-0.0%,Fall by 0%,103.91%
2022-07-05,141.56,2022-07-05,141.56,2021-09-07-2022-06-16,132.39-154.39,Sell,0 days,-0.0%,Fall by 0%,103.91%
2022-08-24,167.53,2022-08-24,167.53,2022-03-30-2022-06-16,132.39-176.7,Sell,0 days,-0.0%,Fall by 0%,103.91%
2022-09-12,163.43,2022-09-12,163.43,2022-06-16-2022-08-17,129.04-176.15,Buy,0 days,0.0%,Rise by 0%,103.91%
