Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2018-02-28,31.3,2018-04-30,29.8,2016-02-29-2018-01-31,20.9-34.89,Sell,43 days,4.79%,Fall by 14.93%,4.79%
2019-10-31,27.92,2020-06-30,29.71,2019-01-31-2019-04-30,21.51-30.79,Buy,173 days,6.41%,Rise by 39.15%,11.2%
2020-03-31,25.89,2020-05-31,27.23,2019-01-31-2019-04-30,21.51-30.79,Sell,43 days,-5.18%,Fall by -38.3%,6.03%
2020-05-31,27.23,2020-05-31,27.23,2016-02-29-2018-01-31,20.9-34.89,Buy,0 days,0.0%,Rise by 0%,6.03%
2020-06-30,29.71,2020-07-31,33.76,2018-01-31-2019-01-31,24.26-31.52,Sell,23 days,-13.63%,Fall by -11.55%,-7.6%
2021-06-30,40.54,2021-07-31,37.66,2020-03-31-2021-02-28,24.13-46.42,Sell,22 days,7.1%,Fall by 12.13%,-0.5%
2021-07-31,37.66,2021-09-30,38.11,2019-04-30-2020-03-31,30.37-28.73,Sell,43 days,-1.19%,Fall by 13.17%,-1.69%
2021-09-30,38.11,2021-09-30,38.11,2020-03-31-2021-02-28,24.13-46.42,Buy,0 days,0.0%,Rise by 0%,-1.69%
2022-12-31,28.02,2022-12-31,28.02,2019-01-31-2021-02-28,21.51-46.42,Buy,0 days,0.0%,Rise by 0%,-1.69%
2024-10-31,27.44,2024-11-30,27.28,2024-02-29-2024-10-31,21.56-35.72,Sell,21 days,0.58%,Fall by 5.35%,-1.11%
2025-03-31,26.57,2025-06-30,27.54,2019-04-30-2024-02-29,24.09-28.73,Sell,65 days,-3.65%,Fall by -19.93%,-4.76%
2025-04-30,25.82,2025-08-31,31.95,2016-02-29-2024-10-31,20.9-35.72,Sell,87 days,-23.74%,Fall by -3.38%,-28.5%
2025-06-30,27.54,2025-06-30,27.54,2024-02-29-2024-10-31,21.56-35.72,Buy,0 days,0.0%,Rise by 0%,-28.5%
