Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2005-11-30,5.4667,2006-12-31,5.01,2002-11-30-2005-07-31,0.3867-6.6333,Sell,282 days,8.35%,Fall by -3.46%,8.35%,
2007-10-31,5.6867,2008-12-31,5.4833,2002-11-30-2005-07-31,0.3867-6.6333,Buy,305 days,-3.58%,Rise by -17.81%,4.78%,
2008-10-31,5.1833,2008-12-31,5.4833,2006-11-30-2008-06-30,3.8867-8.0033,Sell,43 days,-5.79%,Fall by 17.81%,-1.01%,
2008-11-30,5.5033,2008-12-31,5.4833,2005-07-31-2006-11-30,5.5833-5.25,Sell,22 days,0.36%,Fall by 17.81%,-0.65%,
2008-12-31,5.4833,2008-12-31,5.4833,2002-11-30-2008-06-30,0.3867-8.0033,Buy,0 days,0.0%,Rise by 0%,-0.65%,
2009-01-31,4.8333,2009-02-28,3.6167,2002-11-30-2008-06-30,0.3867-8.0033,Sell,19 days,25.17%,Fall by -25.25%,24.52%,
2010-08-31,4.8133,2010-08-31,4.8133,2009-02-28-2010-03-31,3.1667-5.55,Buy,0 days,0.0%,Rise by 0%,24.52%,
2011-06-30,6.5333,2011-08-31,6.1333,2005-07-31-2009-02-28,4.9533-5.25,Sell,44 days,6.12%,Fall by -405.27%,30.65%,
2011-07-31,6.64,2024-06-30,41.19,2009-02-28-2011-01-31,3.1667-7.1667,Buy,3369 days,520.33%,Rise by -12.89%,550.98%,
2011-08-31,6.1333,2011-11-30,7.1667,2009-02-28-2011-01-31,3.1667-7.1667,Sell,65 days,-16.85%,Fall by -433.02%,534.13%,
2014-05-31,35.0,2014-07-31,31.92,2011-09-30-2014-04-30,5.7-43.65,Sell,43 days,8.8%,Fall by 17.14%,542.93%,
2014-07-31,31.92,2014-08-31,29.53,2002-11-30-2014-04-30,0.3867-43.65,Sell,21 days,7.49%,Fall by 23.47%,550.42%,
2014-09-30,27.92,2014-09-30,27.92,1998-07-31-2002-11-30,0.48-5.8333,Sell,0 days,-0.0%,Fall by 0%,550.42%,
2014-12-31,26.45,2014-12-31,26.45,2009-02-28-2014-04-30,3.1667-43.65,Buy,0 days,0.0%,Rise by 0%,550.42%,
2015-03-31,27.04,2019-11-30,36.33,2011-09-30-2014-04-30,5.7-43.65,Buy,1218 days,34.36%,Rise by -16.74%,584.77%,
2015-10-31,20.48,2019-10-31,39.02,2002-11-30-2014-04-30,0.3867-43.65,Buy,1043 days,90.53%,Rise by -41.65%,675.3%,
2017-05-31,23.35,2017-06-30,26.62,2015-08-31-2017-04-30,16.71-36.22,Sell,22 days,-14.0%,Fall by 9.77%,661.3%,
2018-01-31,25.28,2018-02-28,24.02,2014-04-30-2015-08-31,26.24-35.13,Sell,20 days,4.98%,Fall by -10.74%,666.28%,
2019-08-31,42.19,2019-09-30,40.69,2018-03-31-2019-07-31,22.37-49.57,Sell,20 days,3.56%,Fall by 22.83%,669.84%,
2019-10-31,39.02,2019-11-30,36.33,2011-09-30-2019-07-31,5.7-49.57,Sell,21 days,6.89%,Fall by 16.74%,676.73%,
2020-01-31,34.53,2020-01-31,34.53,2002-11-30-2019-07-31,0.3867-49.57,Buy,0 days,0.0%,Rise by 0%,676.73%,
2021-02-28,40.5,2021-05-31,38.61,2017-04-30-2020-03-31,32.13-32.43,Sell,65 days,4.67%,Fall by 11.55%,681.4%,
2021-05-31,38.61,2021-07-31,34.85,2020-03-31-2021-03-31,18.0-46.58,Sell,44 days,9.74%,Fall by 11.65%,691.13%,
2022-05-31,29.59,2022-05-31,29.59,2011-09-30-2019-07-31,5.7-49.57,Buy,0 days,0.0%,Rise by 0%,691.13%,
2023-02-28,30.46,2024-06-30,41.19,2015-08-31-2017-04-30,16.71-36.22,Buy,348 days,35.23%,Rise by -12.89%,726.36%,
2024-05-31,40.93,2024-07-31,39.0,2022-03-31-2024-03-31,22.54-51.5,Sell,43 days,4.72%,Fall by 8.0%,731.08%,
2024-07-31,39.0,2024-08-31,35.98,2020-03-31-2024-03-31,18.0-51.5,Sell,22 days,7.74%,Fall by -104.53%,738.82%,
2024-08-31,35.98,2024-10-31,36.22,2021-03-31-2022-03-31,31.86-36.76,Sell,43 days,-0.67%,Fall by -103.18%,738.15%,
2024-10-31,36.22,2024-10-31,36.22,2020-03-31-2021-03-31,18.0-46.58,Buy,0 days,0.0%,Rise by 0%,738.15%,
2025-06-30,47.58,2025-06-30,47.58,2022-03-31-2024-03-31,22.54-51.5,Buy,0 days,0.0%,Rise by 0%,738.15%,
