Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2005-12-31,5.8333,2006-09-30,5.64,2002-12-31-2005-09-30,0.3867-6.6333,Sell,194 days,3.31%,Fall by 2.78%,3.31%
2008-12-31,5.4833,2009-03-31,4.1667,2006-12-31-2008-06-30,3.8867-8.0033,Sell,64 days,24.01%,Fall by -56.8%,27.32%
2009-03-31,4.1667,2009-06-30,3.9667,2002-12-31-2008-06-30,0.3867-8.0033,Sell,65 days,4.8%,Fall by -55.29%,32.12%
2014-06-30,35.15,2014-09-30,27.92,2009-03-31-2014-06-30,3.1667-43.65,Sell,66 days,20.57%,Fall by 30.16%,52.69%
2014-09-30,27.92,2014-12-31,26.45,2002-12-31-2014-06-30,0.3867-43.65,Sell,66 days,5.27%,Fall by 26.28%,57.96%
2015-09-30,19.5,2015-09-30,19.5,2005-09-30-2009-03-31,5.5333-5.25,Sell,0 days,-0.0%,Fall by 0%,57.96%
2016-03-31,21.99,2020-06-30,29.72,2002-12-31-2014-06-30,0.3867-43.65,Buy,1108 days,35.15%,Rise by 44.25%,93.11%
2019-09-30,40.69,2019-12-31,35.14,2015-09-30-2019-09-30,16.71-49.57,Sell,66 days,13.64%,Fall by 10.47%,106.75%
2019-12-31,35.14,2020-03-31,22.77,2009-03-31-2019-09-30,3.1667-49.57,Sell,65 days,35.2%,Fall by -24.02%,141.95%
2020-03-31,22.77,2020-06-30,29.72,2002-12-31-2019-09-30,0.3867-49.57,Sell,65 days,-30.52%,Fall by 5.28%,111.43%
2021-09-30,33.85,2021-12-31,31.79,2020-03-31-2021-03-31,18.0-46.58,Sell,66 days,6.09%,Fall by 11.45%,117.52%
2024-06-30,41.19,2024-09-30,36.77,2022-03-31-2024-03-31,22.54-51.5,Sell,65 days,10.73%,Fall by -100.14%,128.25%
2024-09-30,36.77,2025-06-30,47.58,2009-03-31-2024-03-31,3.1667-51.5,Sell,195 days,-29.4%,Fall by -54.67%,98.85%
2025-03-31,38.86,2025-03-31,38.86,2020-03-31-2021-03-31,18.0-46.58,Buy,0 days,0.0%,Rise by 0%,98.85%
2025-06-30,47.58,2025-06-30,47.58,2019-09-30-2022-03-31,32.49-39.95,Sell,0 days,-0.0%,Fall by 0%,98.85%
2025-11-03,73.59,2025-11-03,73.59,2022-03-31-2024-03-31,22.54-51.5,Buy,0 days,0.0%,Rise by 0%,98.85%
