Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2000-03-31,10.8542,2000-06-30,8.0167,1999-06-30-1999-12-31,5.4396-18.8229,Sell,65 days,26.14%,Fall by -78.79%,26.14%
2002-06-30,22.275,2002-09-30,14.3333,2000-12-31-2002-06-30,6.125-29.225,Sell,65 days,35.65%,Fall by -167.01%,61.79%
2004-06-30,29.6167,2004-12-31,38.2708,2000-12-31-2004-03-31,6.125-44.4167,Sell,132 days,-29.22%,Fall by 11.83%,32.57%
2006-12-31,28.1708,2009-09-30,47.8375,2000-12-31-2002-06-30,6.125-29.225,Buy,717 days,69.81%,Rise by 30.57%,102.39%
2007-09-30,29.7833,2010-06-30,55.2292,1999-06-30-2002-06-30,5.4396-29.225,Buy,717 days,85.44%,Rise by -27.91%,187.82%
2008-03-31,34.0458,2008-06-30,18.65,2007-03-31-2008-03-31,23.4875-46.4,Sell,65 days,45.22%,Fall by -234.92%,233.04%
2010-12-31,54.8667,2011-03-31,50.9875,2008-09-30-2010-09-30,17.1667-70.0,Sell,64 days,7.07%,Fall by 21.91%,240.11%
2012-09-30,58.1167,2012-09-30,58.1167,2008-09-30-2010-09-30,17.1667-70.0,Buy,0 days,0.0%,Rise by 0%,240.11%
2013-06-30,61.1583,2013-09-30,55.2083,2008-09-30-2013-03-31,17.1667-74.8333,Sell,65 days,9.73%,Fall by -169.37%,249.84%
2014-03-31,76.675,2014-03-31,76.675,2007-03-31-2013-03-31,23.4875-74.8333,Buy,0 days,0.0%,Rise by 0%,249.84%
2018-03-31,213.725,2018-06-30,186.65,2013-09-30-2017-12-31,42.6583-275.775,Sell,64 days,12.67%,Fall by 5.42%,262.51%
2019-06-30,196.225,2019-06-30,196.225,2007-03-31-2017-12-31,23.4875-275.775,Buy,0 days,0.0%,Rise by 0%,262.51%
2020-03-31,158.45,2020-06-30,187.0,2018-12-31-2019-12-31,119.275-274.5,Sell,65 days,-18.02%,Fall by 18.5%,244.49%
2020-09-30,176.525,2020-09-30,176.525,2012-03-31-2017-12-31,38.1708-275.775,Buy,0 days,0.0%,Rise by 0%,244.49%
2023-06-30,182.35,2023-06-30,182.35,2008-09-30-2017-12-31,17.1667-275.775,Buy,0 days,0.0%,Rise by 0%,244.49%
2024-12-31,292.45,2025-03-31,278.47,2022-12-31-2024-09-30,144.025-376.0,Sell,64 days,4.78%,Fall by -31.9%,249.27%
2025-03-31,278.47,2025-06-30,331.95,2020-03-31-2024-09-30,126.0-376.0,Sell,65 days,-19.2%,Fall by -10.65%,230.07%
2025-09-30,339.65,2025-09-30,339.65,2022-12-31-2024-09-30,144.025-376.0,Buy,0 days,0.0%,Rise by 0%,230.07%
2025-11-03,367.3,2025-11-03,367.3,2005-09-30-2008-09-30,31.2375-28.25,Sell,0 days,-0.0%,Fall by 0%,230.07%
