Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2006-10-15,1.29,2006-10-22,1.35,2005-11-13-2006-07-02,1.15-3.01,Sell,4 days,-4.65%,Fall by 18.52%,-4.65%
2007-03-04,1.4,2007-03-11,1.35,2006-09-10-2006-11-19,1.19-1.35,Sell,4 days,3.57%,Fall by -66.67%,-1.08%
2007-12-02,2.37,2007-12-16,2.26,2006-11-19-2007-11-18,0.84-2.99,Sell,9 days,4.64%,Fall by -22.12%,3.56%
2007-12-23,2.25,2015-02-08,46.7,2006-11-19-2007-11-18,0.84-2.99,Buy,1859 days,1975.56%,Rise by 21.54%,1979.12%
2008-04-27,2.75,2008-05-11,2.92,2007-11-18-2008-01-27,2.45-2.7,Sell,9 days,-6.18%,Fall by 5.48%,1972.94%
2008-07-06,2.76,2008-08-17,3.05,2006-11-19-2008-05-18,0.84-3.23,Sell,29 days,-10.51%,Fall by 34.75%,1962.43%
2008-07-20,2.84,2009-02-15,2.8,2008-01-27-2008-05-18,2.01-3.23,Buy,149 days,-1.41%,Rise by 46.79%,1961.02%
2008-08-31,3.02,2008-09-21,2.81,2008-01-27-2008-05-18,2.01-3.23,Sell,14 days,6.95%,Fall by 14.59%,1967.97%
2009-03-01,2.75,2009-03-22,3.08,2008-05-18-2008-10-12,2.75-2.92,Sell,14 days,-12.0%,Fall by -23.38%,1955.97%
2009-05-03,3.1,2009-06-14,3.42,2005-11-13-2006-11-19,1.19-3.01,Sell,29 days,-10.32%,Fall by -11.11%,1945.65%
2010-02-21,5.35,2013-12-15,29.15,2008-01-27-2009-12-20,2.01-5.84,Buy,994 days,444.86%,Rise by 55.23%,2390.51%
2010-05-16,4.94,2010-05-23,4.62,2008-10-12-2009-12-20,1.58-5.84,Sell,4 days,6.48%,Fall by -17.75%,2396.99%
2010-05-23,4.62,2010-07-11,5.55,2006-11-19-2009-12-20,0.84-5.84,Sell,34 days,-20.13%,Fall by 1.98%,2376.86%
2010-08-29,5.5,2010-09-19,5.69,2009-12-20-2010-05-30,4.64-5.11,Sell,14 days,-3.45%,Fall by -42.36%,2373.4%
2011-08-21,12.18,2011-08-28,11.47,2010-05-30-2011-07-31,4.4-14.49,Sell,4 days,5.83%,Fall by 15.43%,2379.23%
2011-08-28,11.47,2011-09-11,10.33,2008-10-12-2011-07-31,1.58-14.49,Sell,9 days,9.94%,Fall by -10.26%,2389.17%
2011-09-11,10.33,2011-09-18,9.65,2006-11-19-2011-07-31,0.84-14.49,Sell,4 days,6.58%,Fall by -18.03%,2395.75%
2011-10-23,9.5,2014-09-21,41.8,2008-10-12-2011-07-31,1.58-14.49,Buy,759 days,340.0%,Rise by 16.05%,2735.75%
2012-04-01,11.98,2012-04-08,11.62,2011-07-31-2011-10-09,9.66-13.91,Sell,4 days,3.01%,Fall by -38.55%,2738.76%
2012-04-08,11.62,2012-09-09,14.91,2006-11-19-2011-07-31,0.84-14.49,Buy,109 days,28.31%,Rise by 12.47%,2767.07%
2012-05-06,12.0,2016-09-25,84.23,2008-01-27-2011-07-31,2.01-14.49,Buy,1144 days,601.92%,Rise by 6.13%,3368.99%
2017-07-23,95.8,2017-08-27,92.61,2016-11-20-2017-02-12,84.24-85.48,Sell,24 days,3.33%,Fall by -29.58%,3372.32%
2018-12-02,114.88,2021-02-28,210.59,2011-10-09-2018-09-16,8.0-133.0,Buy,584 days,83.31%,Rise by 20.85%,3455.63%
2020-03-22,144.12,2020-04-05,137.28,2018-11-18-2020-02-16,102.59-231.52,Sell,9 days,4.75%,Fall by -41.78%,3460.38%
2020-06-28,200.75,2020-06-28,200.75,2018-11-18-2020-02-16,102.59-231.52,Buy,0 days,0.0%,Rise by 0%,3460.38%
2021-02-28,210.59,2021-06-06,210.86,2020-03-22-2021-02-07,125.01-245.0,Sell,69 days,-0.13%,Fall by -13.41%,3460.25%
2021-04-18,226.82,2021-10-03,242.51,2018-11-18-2021-02-07,102.59-245.0,Buy,119 days,6.92%,Rise by -15.91%,3467.17%
2021-05-23,208.16,2021-07-04,229.0,2018-11-18-2021-02-07,102.59-245.0,Sell,29 days,-10.01%,Fall by -4.42%,3457.16%
2021-06-06,210.86,2021-11-14,212.04,2020-03-22-2021-02-07,125.01-245.0,Buy,114 days,0.56%,Rise by -11.36%,3457.72%
2021-11-14,212.04,2021-11-21,203.92,2020-03-22-2021-10-24,125.01-267.0,Sell,4 days,3.83%,Fall by 13.39%,3461.55%
2021-11-21,203.92,2021-12-12,196.92,2021-05-23-2021-10-24,201.92-267.0,Sell,14 days,3.43%,Fall by 17.71%,3464.98%
2021-11-28,213.11,2021-12-05,199.18,2020-08-16-2020-11-01,196.55-198.15,Sell,4 days,6.54%,Fall by 11.33%,3471.51%
2021-12-05,199.18,2022-01-02,199.62,2018-11-18-2021-10-24,102.59-267.0,Sell,19 days,-0.22%,Fall by 18.82%,3471.29%
2021-12-19,196.21,2022-01-16,187.95,2011-10-09-2021-02-07,8.0-245.0,Sell,19 days,4.21%,Fall by 16.74%,3475.5%
2022-01-02,199.62,2022-01-02,199.62,2020-03-22-2021-10-24,125.01-267.0,Buy,0 days,0.0%,Rise by 0%,3475.5%
2022-01-23,176.62,2022-02-20,162.05,2008-10-12-2021-02-07,1.58-245.0,Sell,19 days,8.25%,Fall by 13.84%,3483.75%
2022-02-13,183.59,2022-02-13,183.59,2011-10-09-2021-10-24,8.0-267.0,Buy,0 days,0.0%,Rise by 0%,3483.75%
2022-04-03,166.0,2022-04-03,166.0,2010-05-30-2020-02-16,4.4-231.52,Buy,0 days,0.0%,Rise by 0%,3483.75%
2022-09-18,188.5,2022-09-25,177.08,2021-02-07-2022-06-19,130.5-227.83,Sell,4 days,6.06%,Fall by -13.85%,3489.81%
2023-01-08,212.08,2023-01-08,212.08,2020-08-16-2022-06-19,130.5-198.15,Sell,0 days,-0.0%,Fall by 0%,3489.81%
2023-07-16,244.95,2024-04-14,275.51,2021-05-23-2021-10-24,201.92-267.0,Buy,194 days,12.48%,Rise by -17.19%,3502.29%
2024-04-07,280.46,2024-04-21,269.64,2023-06-11-2023-10-29,237.76-241.14,Sell,9 days,3.86%,Fall by 11.99%,3506.15%
2024-04-21,269.64,2024-04-28,257.23,2022-06-19-2024-03-03,117.48-324.75,Sell,4 days,4.6%,Fall by 11.74%,3510.75%
2024-04-28,257.23,2024-05-19,234.01,2021-05-23-2024-03-03,201.92-324.75,Sell,14 days,9.03%,Fall by 11.57%,3519.77%
2024-05-19,234.01,2024-06-16,268.41,2011-10-09-2024-03-03,8.0-324.75,Sell,19 days,-14.7%,Fall by 15.42%,3505.07%
2024-06-16,268.41,2024-06-16,268.41,2022-06-19-2024-03-03,117.48-324.75,Buy,0 days,0.0%,Rise by 0%,3505.07%
2024-08-25,226.17,2024-08-25,226.17,2018-11-18-2024-03-03,102.59-324.75,Buy,0 days,0.0%,Rise by 0%,3505.07%
2024-10-20,215.5,2024-10-20,215.5,2010-05-30-2024-03-03,4.4-324.75,Buy,0 days,0.0%,Rise by 0%,3505.07%
2024-11-24,220.18,2024-11-24,220.18,2011-10-09-2024-03-03,8.0-324.75,Buy,0 days,0.0%,Rise by 0%,3505.07%
2024-12-22,215.02,2025-02-02,238.35,2023-06-11-2024-10-06,210.05-241.14,Sell,29 days,-10.85%,Fall by 11.71%,3494.22%
2025-04-06,202.25,2025-04-27,202.11,2024-10-06-2025-03-02,198.61-258.18,Sell,14 days,0.07%,Fall by 7.1%,3494.29%
2025-04-27,202.11,2025-04-27,202.11,2011-10-09-2021-02-07,8.0-245.0,Buy,0 days,0.0%,Rise by 0%,3494.29%
2025-06-22,209.39,2025-07-27,197.12,2023-06-11-2025-04-13,208.87-241.14,Sell,24 days,5.86%,Fall by -13.65%,3500.15%
2025-08-10,187.77,2025-08-17,216.05,2024-03-03-2025-04-13,208.87-308.33,Sell,4 days,-15.06%,Fall by -3.69%,3485.09%
