Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2021-02-17,4.39,2021-02-23,4.65,2021-01-15-2021-02-01,4.14-4.35,Sell,4 days,-5.92%,Fall by 3.23%,-5.92%
2021-04-20,5.08,2021-04-23,5.03,2020-11-04-2021-04-08,3.39-5.78,Sell,3 days,0.98%,Fall by 10.54%,-4.94%
2021-04-23,5.03,2023-06-21,7.52,2021-02-01-2021-04-08,4.05-5.78,Buy,563 days,49.5%,Rise by 0.8%,44.56%
2021-06-07,4.88,2021-06-08,4.9,2021-04-08-2021-05-17,4.65-5.68,Sell,1 days,-0.41%,Fall by 2.04%,44.15%
2021-09-01,5.06,2021-09-13,4.92,2021-06-11-2021-07-21,4.85-5.13,Sell,8 days,2.77%,Fall by -5.69%,46.92%
2021-10-18,5.51,2021-10-21,5.24,2021-07-27-2021-09-21,4.98-5.06,Sell,3 days,4.9%,Fall by 8.02%,51.82%
2021-11-01,5.22,2021-11-01,5.22,2021-05-17-2021-10-11,4.41-5.62,Buy,0 days,0.0%,Rise by 0%,51.82%
2021-12-16,4.91,2021-12-16,4.91,2021-06-11-2021-12-01,4.86-5.13,Sell,0 days,-0.0%,Fall by 0%,51.82%
2022-01-11,5.05,2022-02-03,5.1,2021-10-11-2021-11-03,5.24-5.39,Sell,17 days,-0.99%,Fall by 4.51%,50.83%
2022-02-28,5.09,2022-02-28,5.09,2021-12-01-2022-02-17,4.76-5.44,Buy,0 days,0.0%,Rise by 0%,50.83%
2022-04-12,5.35,2022-04-12,5.35,2022-01-18-2022-03-08,4.96-5.03,Sell,0 days,-0.0%,Fall by 0%,50.83%
2022-05-18,5.43,2023-06-21,7.52,2022-03-08-2022-04-05,4.85-5.58,Buy,285 days,38.49%,Rise by 0.8%,89.32%
2022-06-07,5.46,2022-06-13,5.18,2022-04-05-2022-05-13,5.21-5.53,Sell,4 days,5.13%,Fall by 1.93%,94.45%
2022-07-27,5.35,2022-07-27,5.35,2022-04-05-2022-06-17,5.12-5.53,Sell,0 days,-0.0%,Fall by 0%,94.45%
2022-09-06,5.32,2022-12-13,5.55,2022-07-06-2022-07-29,5.07-5.5,Buy,70 days,4.32%,Rise by 7.75%,98.77%
2022-10-13,5.03,2022-10-19,5.05,2022-07-29-2022-09-02,5.32-5.43,Sell,4 days,-0.4%,Fall by -8.51%,98.38%
2022-10-17,5.0,2022-10-19,5.05,2022-07-06-2022-07-29,5.07-5.5,Sell,2 days,-1.0%,Fall by -8.51%,97.38%
