Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2021-04-23,7.58,2021-05-21,7.7,2021-03-16-2021-04-06,7.14-7.25,Sell,20 days,-1.58%,Fall by -4.29%,-1.58%
2021-07-16,8.35,2024-05-21,8.8,2021-03-05-2021-06-15,6.6-8.55,Buy,742 days,5.39%,Rise by 7.16%,3.81%
2021-08-02,8.35,2021-08-11,8.2,2021-01-08-2021-03-05,7.08-10.13,Sell,7 days,1.8%,Fall by 2.32%,5.6%
2021-10-04,8.36,2021-10-07,8.1,2021-06-15-2021-09-16,8.1-8.39,Sell,3 days,3.11%,Fall by 2.96%,8.71%
2021-10-12,8.37,2023-08-18,8.38,2021-09-16-2021-10-01,7.9-8.48,Buy,483 days,0.12%,Rise by -3.34%,8.83%
2021-11-22,7.9,2021-11-24,8.0,2021-09-16-2021-10-01,7.9-8.48,Sell,2 days,-1.27%,Fall by 3.75%,7.57%
2022-01-14,8.04,2022-01-14,8.04,2021-06-15-2021-12-10,7.84-8.39,Sell,0 days,-0.0%,Fall by 0%,7.57%
2022-02-17,8.15,2022-02-17,8.15,2021-06-15-2022-01-28,7.72-8.39,Sell,0 days,-0.0%,Fall by 0%,7.57%
2022-03-17,7.77,2024-05-21,8.8,2022-01-28-2022-03-02,7.55-8.42,Buy,568 days,13.26%,Rise by 7.16%,20.82%
2022-05-10,7.45,2022-05-12,7.52,2022-01-28-2022-03-02,7.55-8.42,Sell,2 days,-0.94%,Fall by 6.91%,19.88%
2022-07-27,7.24,2022-07-27,7.24,2021-06-15-2022-06-17,7.15-8.39,Sell,0 days,-0.0%,Fall by 0%,19.88%
2022-10-05,7.41,2024-06-12,9.15,2022-06-17-2022-09-07,6.82-8.09,Buy,440 days,23.48%,Rise by -1.86%,43.36%
2022-11-14,7.35,2022-11-24,7.47,2022-09-07-2022-10-17,7.17-8.03,Sell,8 days,-1.63%,Fall by -3.21%,41.73%
2023-02-15,7.66,2023-02-21,7.57,2022-10-17-2023-01-12,6.9-7.94,Buy,4 days,-1.17%,Rise by 3.04%,40.56%
2023-04-11,7.67,2023-04-24,7.65,2023-01-12-2023-03-24,7.35-7.76,Sell,9 days,0.26%,Fall by -2.22%,40.82%
2023-06-02,7.95,2023-07-11,8.14,2022-06-17-2023-05-22,6.82-8.15,Buy,27 days,2.39%,Rise by 5.65%,43.21%
2023-07-12,8.15,2023-07-19,8.08,2023-05-22-2023-06-12,7.94-8.01,Sell,5 days,0.86%,Fall by -1.73%,44.07%
2023-08-23,8.39,2025-01-07,9.7,2021-09-16-2023-08-15,7.9-8.64,Buy,359 days,15.61%,Rise by -3.2%,59.68%
2023-08-29,8.43,2025-01-13,9.35,2021-03-05-2023-08-15,6.6-8.64,Buy,359 days,10.91%,Rise by 0.43%,70.59%
2023-09-11,8.4,2023-09-26,8.14,2023-03-24-2023-05-22,7.22-8.15,Buy,11 days,-3.1%,Rise by -0.49%,67.5%
2023-09-14,8.16,2023-09-14,8.16,2022-06-17-2023-08-15,6.82-8.64,Buy,0 days,0.0%,Rise by 0%,67.5%
2023-09-18,8.23,2024-06-12,9.15,2022-10-17-2023-08-15,6.9-8.64,Buy,192 days,11.18%,Rise by -1.86%,78.68%
2023-10-10,7.84,2024-05-21,8.8,2023-03-24-2023-08-15,7.22-8.64,Buy,160 days,12.24%,Rise by 7.16%,90.92%
2023-10-30,7.8,2024-01-08,8.17,2021-09-16-2023-08-15,7.9-8.64,Sell,50 days,-4.74%,Fall by 1.84%,86.18%
2023-11-13,7.73,2023-11-16,7.77,2023-05-22-2023-10-24,7.86-8.01,Sell,3 days,-0.52%,Fall by -2.45%,85.66%
2023-12-13,7.9,2023-12-13,7.9,2023-08-15-2023-11-21,7.71-8.57,Sell,0 days,-0.0%,Fall by 0%,85.66%
2024-01-15,8.0,2024-01-23,8.09,2023-08-15-2023-10-24,7.86-8.57,Sell,6 days,-1.12%,Fall by 0.87%,84.54%
2024-03-12,8.26,2024-05-09,8.8,2024-02-07-2024-02-27,8.05-8.07,Sell,42 days,-6.54%,Fall by 0.0%,78.0%
2024-06-25,9.0,2024-06-25,9.0,2021-09-16-2024-06-17,7.9-9.43,Buy,0 days,0.0%,Rise by 0%,78.0%
2024-07-16,8.63,2024-07-16,8.63,2023-11-21-2024-06-17,7.5-9.43,Buy,0 days,0.0%,Rise by 0%,78.0%
2024-08-07,8.46,2024-08-07,8.46,2023-03-24-2024-06-17,7.22-9.43,Buy,0 days,0.0%,Rise by 0%,78.0%
2024-08-23,8.74,2024-08-28,8.42,2024-06-17-2024-08-09,8.5-9.43,Sell,3 days,3.66%,Fall by 6.18%,81.66%
2024-09-23,7.92,2024-11-04,8.42,2021-09-16-2024-06-17,7.9-9.43,Sell,30 days,-6.31%,Fall by -0.59%,75.35%
2024-10-30,8.7,2024-11-04,8.42,2024-08-21-2024-09-23,8.13-8.77,Sell,3 days,3.22%,Fall by -0.59%,78.57%
2025-01-16,9.6,2025-01-16,9.6,2021-09-16-2024-12-30,7.9-9.8,Buy,0 days,0.0%,Rise by 0%,78.57%
2025-02-05,9.29,2025-02-05,9.29,2024-09-23-2024-12-30,7.86-9.8,Buy,0 days,0.0%,Rise by 0%,78.57%
2025-02-27,9.01,2025-02-27,9.01,2023-11-21-2024-12-30,7.5-9.8,Buy,0 days,0.0%,Rise by 0%,78.57%
2025-03-10,8.93,2025-03-17,8.6,2021-03-05-2024-12-30,6.6-9.8,Sell,5 days,3.7%,Fall by -3.02%,82.26%
