Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
1997-12-31,1.8732,1998-03-31,1.8058,1995-03-31-1997-12-31,0.6581-2.7087,Sell,64 days,3.6%,Fall by 22.03%,3.6%,
1999-03-31,1.5916,2007-03-31,15.6097,1995-03-31-1997-12-31,0.6581-2.7087,Buy,2087 days,880.76%,Rise by 58.18%,884.35%,
2000-12-31,2.5404,2001-09-30,2.3727,1995-03-31-2000-09-30,0.6581-3.4403,Sell,194 days,6.6%,Fall by -20.74%,890.95%,
2001-06-30,2.7455,2001-09-30,2.3727,1998-09-30-2000-09-30,1.1172-3.4403,Sell,64 days,13.58%,Fall by -20.74%,904.53%,
2006-06-30,15.1126,2006-09-30,12.4731,2001-12-31-2006-03-31,2.1976-18.0975,Sell,65 days,17.47%,Fall by -37.95%,922.0%,
2008-09-30,17.8746,2008-12-31,11.9368,2001-12-31-2008-06-30,2.1976-27.2527,Sell,66 days,33.22%,Fall by -44.94%,955.22%,
2012-03-31,16.19,2012-06-30,13.3741,2008-12-31-2011-03-31,8.3717-24.7307,Sell,64 days,17.39%,Fall by -59.32%,972.61%,
2015-06-30,16.6014,2015-09-30,12.7277,2012-09-30-2014-09-30,12.5269-24.2752,Sell,66 days,23.33%,Fall by -72.84%,995.94%,
2016-09-30,20.5387,2016-09-30,20.5387,2008-12-31-2011-03-31,8.3717-24.7307,Buy,0 days,0.0%,Rise by 0%,995.94%,
2018-03-31,19.8335,2025-09-30,44.5,2001-12-31-2008-06-30,2.1976-27.2527,Buy,1956 days,124.37%,Rise by 0.83%,1120.31%,
2018-09-30,20.666,2018-12-31,16.1312,2016-03-31-2018-09-30,10.4163-24.0353,Sell,65 days,21.94%,Fall by 41.56%,1142.26%,
2018-12-31,16.1312,2018-12-31,16.1312,2017-09-30-2018-09-30,17.5808-24.0353,Sell,0 days,-0.0%,Fall by 0%,1142.26%,
2019-06-30,17.2919,2025-09-30,44.5,2012-09-30-2014-09-30,12.5269-24.2752,Buy,1631 days,157.35%,Rise by 0.83%,1299.6%,
2022-06-30,33.8737,2022-09-30,32.15,2020-03-31-2022-06-30,4.7992-43.1832,Sell,66 days,5.09%,Fall by -38.04%,1304.69%,
2022-09-30,32.15,2022-12-31,37.595,2012-09-30-2022-06-30,12.5269-43.1832,Sell,65 days,-16.94%,Fall by -17.78%,1287.75%,
2024-06-30,48.73,2024-09-30,44.91,2017-09-30-2024-06-30,17.5808-56.495,Sell,65 days,7.84%,Fall by 0.09%,1295.59%,
2024-09-30,44.91,2025-06-30,42.8,2020-03-31-2024-06-30,4.7992-56.495,Sell,195 days,4.7%,Fall by -4.84%,1300.29%,
2024-12-31,44.38,2025-06-30,42.8,2001-12-31-2024-06-30,2.1976-56.495,Sell,129 days,3.56%,Fall by -4.84%,1303.85%,
2025-09-30,44.5,2025-11-03,44.87,2016-12-31-2017-09-30,20.999-19.4123,Sell,24 days,-0.83%,Fall by 0.0%,1303.02%,
2025-11-03,44.87,2025-11-03,44.87,2020-03-31-2022-06-30,4.7992-43.1832,Buy,0 days,0.0%,Rise by 0%,1303.02%,
