Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2023-08-20,73.19,2023-09-10,82.09,2023-02-05-2023-06-11,64.44-55.67,Sell,14 days,-12.16%,Fall by 13.78%,-12.16%
2024-02-04,129.22,2024-02-18,180.31,2023-07-16-2023-10-01,77.5-76.55,Sell,9 days,-39.54%,Fall by -11.43%,-51.7%
2024-04-21,211.01,2024-04-28,236.32,2023-01-08-2024-03-31,31.55-283.48,Sell,4 days,-11.99%,Fall by 13.49%,-63.69%
2024-05-05,223.25,2024-05-12,200.92,2021-04-18-2022-05-15,96.43-310.0,Sell,4 days,10.0%,Fall by 26.66%,-53.69%
2024-08-25,211.4,2025-01-12,258.78,2023-01-08-2024-03-31,31.55-283.48,Buy,99 days,22.41%,Rise by -16.68%,-31.28%
2024-12-22,278.71,2024-12-29,265.71,2024-09-08-2024-12-08,146.12-349.75,Sell,4 days,4.66%,Fall by 11.41%,-26.61%
2025-01-12,258.78,2025-01-19,295.48,2024-03-31-2024-09-08,182.7-253.95,Sell,4 days,-14.18%,Fall by 26.41%,-40.79%
2025-08-03,314.69,2025-08-31,304.54,2025-04-13-2025-07-20,142.58-444.65,Sell,19 days,3.23%,Fall by -12.89%,-37.57%
2025-08-24,319.85,2025-08-31,304.54,2024-12-08-2025-04-13,183.9-296.65,Sell,4 days,4.79%,Fall by -12.89%,-32.78%
2025-09-07,299.07,2025-09-07,299.07,2025-04-13-2025-07-20,142.58-444.65,Buy,0 days,0.0%,Rise by 0%,-32.78%
