Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
1994-04-30,1.684,1994-05-31,1.375,1990-02-28-1994-03-31,0.0738-2.2639,Sell,21 days,18.35%,Fall by -400.0%,18.35%,
2000-04-30,69.3281,2000-05-31,56.9375,1994-07-31-2000-03-31,1.0417-82.0,Sell,22 days,17.87%,Fall by 15.92%,36.22%,
2002-12-31,13.1,2002-12-31,13.1,1994-07-31-2000-03-31,1.0417-82.0,Buy,0 days,0.0%,Rise by 0%,36.22%,
2004-02-29,23.16,2004-04-30,20.91,2002-10-31-2004-01-31,8.12-29.39,Sell,44 days,9.72%,Fall by 13.44%,45.94%,
2007-06-30,27.85,2007-08-31,31.92,2004-01-31-2005-10-31,18.12-24.16,Sell,44 days,-14.61%,Fall by 23.25%,31.32%,
2007-11-30,28.02,2007-12-31,27.07,2002-10-31-2007-11-30,8.12-34.24,Sell,21 days,3.39%,Fall by 14.07%,34.71%,
2007-12-31,27.07,2008-01-31,24.5,2005-10-31-2007-11-30,16.83-34.24,Sell,23 days,9.49%,Fall by 10.24%,44.21%,
2008-04-30,25.64,2008-09-30,22.56,2002-10-31-2004-01-31,8.12-29.39,Buy,109 days,-12.01%,Rise by -35.42%,32.19%,
2008-09-30,22.56,2022-04-30,48.98,2005-10-31-2007-11-30,16.83-34.24,Buy,3543 days,117.11%,Rise by -18.33%,149.3%,
2008-11-30,16.54,2009-01-31,14.97,2000-03-31-2001-09-30,16.64-62.1562,Sell,44 days,9.49%,Fall by -33.53%,158.8%,
2009-05-31,18.5,2009-05-31,18.5,2002-10-31-2007-11-30,8.12-34.24,Buy,0 days,0.0%,Rise by 0%,158.8%,
2010-06-30,21.31,2010-08-31,19.99,2009-03-31-2010-04-30,13.61-27.74,Sell,44 days,6.19%,Fall by 14.21%,164.99%,
2010-09-30,21.9,2010-10-31,22.86,2004-01-31-2009-03-31,17.39-24.16,Sell,21 days,-4.38%,Fall by 24.98%,160.61%,
2012-09-30,19.1,2012-09-30,19.1,2007-11-30-2011-08-31,16.25-26.92,Sell,0 days,-0.0%,Fall by 0%,160.61%,
2013-10-31,22.56,2013-11-30,21.25,2011-08-31-2013-08-31,13.3-26.49,Sell,21 days,5.81%,Fall by -15.15%,166.41%,
2014-02-28,21.8,2022-03-31,55.76,2011-08-31-2013-08-31,13.3-26.49,Buy,2109 days,155.78%,Rise by -19.8%,322.19%,
2015-08-31,25.88,2015-10-31,28.85,2010-04-30-2011-08-31,16.25-25.66,Sell,44 days,-11.48%,Fall by -48.67%,310.72%,
2016-04-30,27.49,2016-12-31,30.22,2009-03-31-2015-03-31,13.61-30.31,Buy,174 days,9.93%,Rise by 48.18%,320.65%,
2019-08-31,46.81,2019-11-30,45.31,2016-02-29-2019-07-31,22.46-58.26,Sell,64 days,3.2%,Fall by 13.07%,323.85%,
2019-11-30,45.31,2020-02-29,39.93,2002-10-31-2019-07-31,8.12-58.26,Sell,64 days,11.87%,Fall by 10.09%,335.73%,
2019-12-31,47.96,2020-01-31,45.97,2015-03-31-2016-02-29,26.91-26.62,Sell,23 days,4.15%,Fall by 14.31%,339.88%,
2020-05-31,47.82,2020-05-31,47.82,2005-10-31-2019-07-31,16.83-58.26,Buy,0 days,0.0%,Rise by 0%,339.88%,
2020-12-31,44.75,2020-12-31,44.75,2016-02-29-2019-07-31,22.46-58.26,Buy,0 days,0.0%,Rise by 0%,339.88%,
2022-01-31,55.67,2022-04-30,48.98,2020-03-31-2021-12-31,32.4-64.29,Sell,64 days,12.02%,Fall by 18.33%,351.89%,
2022-04-30,48.98,2022-05-31,45.05,2011-08-31-2021-12-31,13.3-64.29,Sell,21 days,8.02%,Fall by -4.88%,359.92%,
2022-05-31,45.05,2022-06-30,42.64,2016-02-29-2021-12-31,22.46-64.29,Sell,22 days,5.35%,Fall by -10.81%,365.27%,
2022-12-31,47.64,2022-12-31,47.64,2020-03-31-2021-12-31,32.4-64.29,Buy,0 days,0.0%,Rise by 0%,365.27%,
2023-07-31,52.04,2023-07-31,52.04,2005-10-31-2021-12-31,16.83-64.29,Buy,0 days,0.0%,Rise by 0%,365.27%,
2024-02-29,48.37,2024-05-31,46.5,2021-12-31-2022-10-31,45.71-54.93,Sell,66 days,3.87%,Fall by -24.15%,369.13%,
2025-04-30,57.73,2025-06-30,69.38,2022-10-31-2023-09-30,38.6-58.19,Sell,43 days,-20.18%,Fall by -5.38%,348.95%,
2025-06-30,69.38,2025-06-30,69.38,2002-10-31-2021-12-31,8.12-64.29,Buy,0 days,0.0%,Rise by 0%,348.95%,
