Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
1978-12-31,1.6484,1979-03-31,1.8359,1974-12-31-1978-09-30,0.2969-2.1172,Sell,64 days,-11.37%,Fall by 10.64%,-11.37%,
1981-12-31,2.3594,1982-03-31,2.7578,1974-12-31-1981-06-30,0.2969-3.0,Sell,64 days,-16.89%,Fall by -62.61%,-28.26%,
1982-06-30,3.0,1984-06-30,4.4844,1980-03-31-1981-06-30,1.4688-3.0,Buy,522 days,49.48%,Rise by 61.67%,21.22%,
1983-09-30,4.8281,1983-12-31,4.3594,1980-03-31-1983-06-30,1.4688-5.9531,Sell,65 days,9.71%,Fall by -79.93%,30.93%,
1984-12-31,4.6562,1988-06-30,8.5781,1974-12-31-1983-06-30,0.2969-5.9531,Buy,913 days,84.23%,Rise by 45.36%,115.16%,
1987-12-31,6.625,1988-03-31,8.1094,1984-06-30-1987-09-30,3.8438-10.5,Sell,65 days,-22.41%,Fall by -61.46%,92.75%,
1989-12-31,11.1562,1990-06-30,13.0938,1984-06-30-1989-09-30,3.8438-13.4062,Sell,129 days,-17.37%,Fall by 10.02%,75.38%,
1990-09-30,9.5625,1991-03-31,13.2188,1987-12-31-1990-09-30,5.5312-14.4375,Sell,129 days,-38.24%,Fall by 15.84%,37.15%,
1991-06-30,12.125,1994-03-31,9.5312,1980-03-31-1987-09-30,1.4688-10.5,Buy,718 days,-21.39%,Rise by -19.02%,15.76%,
1991-09-30,11.7812,1991-12-31,11.125,1984-06-30-1990-09-30,3.8438-14.4375,Sell,66 days,5.57%,Fall by 14.33%,21.33%,
1992-06-30,11.375,1992-09-30,12.625,1987-12-31-1989-09-30,5.5312-13.4062,Sell,66 days,-10.99%,Fall by 12.87%,10.34%,
1994-12-31,7.7188,1995-03-31,9.3125,1974-12-31-1987-09-30,0.2969-10.5,Sell,64 days,-20.65%,Fall by 17.45%,-10.31%,
1995-06-30,8.5625,1999-12-31,19.9375,1987-12-31-1990-09-30,5.5312-14.4375,Buy,1175 days,132.85%,Rise by 50.31%,122.54%,
1996-09-30,11.0312,2000-06-30,20.0,1974-12-31-1989-09-30,0.2969-13.4062,Buy,979 days,81.3%,Rise by -17.0%,203.84%,
1999-03-31,23.75,1999-09-30,20.4062,1996-03-31-1999-03-31,6.8125-29.1875,Sell,131 days,14.08%,Fall by 27.47%,217.92%,
1999-09-30,20.4062,2000-03-31,18.7812,1974-12-31-1999-03-31,0.2969-29.1875,Sell,131 days,7.96%,Fall by 11.61%,225.88%,
2000-03-31,18.7812,2000-09-30,23.1562,1980-03-31-1999-03-31,1.4688-29.1875,Sell,130 days,-23.29%,Fall by 16.65%,202.59%,
2000-06-30,20.0,2000-06-30,20.0,1990-09-30-1996-03-31,9.0938-9.3438,Sell,0 days,-0.0%,Fall by 0%,202.59%,
2001-03-31,29.245,2001-06-30,19.3,1996-03-31-2001-03-31,6.8125-31.875,Sell,64 days,34.01%,Fall by 11.06%,236.59%,
2001-06-30,19.3,2001-09-30,16.6,1980-03-31-2001-03-31,1.4688-31.875,Sell,64 days,13.99%,Fall by 23.64%,250.58%,
2001-09-30,16.6,2001-12-31,14.8,2000-03-31-2001-03-31,13.875-31.875,Sell,65 days,10.84%,Fall by 14.36%,261.43%,
2002-06-30,15.3,2002-06-30,15.3,1996-03-31-1999-03-31,6.8125-29.1875,Buy,0 days,0.0%,Rise by 0%,261.43%,
2003-09-30,15.53,2009-03-31,27.49,1990-12-31-2001-03-31,8.1875-31.875,Buy,1435 days,77.01%,Rise by 32.99%,338.44%,
2006-06-30,30.7,2016-06-30,95.74,1974-12-31-2001-03-31,0.2969-31.875,Buy,2609 days,211.86%,Rise by -18.01%,550.3%,
2008-09-30,33.66,2008-12-31,28.74,2000-03-31-2008-06-30,13.875-44.29,Sell,66 days,14.62%,Fall by -2.02%,564.91%,
2008-12-31,28.74,2009-03-31,27.49,1990-12-31-2008-06-30,8.1875-44.29,Sell,64 days,4.35%,Fall by -6.66%,569.26%,
2009-06-30,31.87,2009-06-30,31.87,2000-03-31-2001-03-31,13.875-31.875,Buy,0 days,0.0%,Rise by 0%,569.26%,
2009-09-30,35.74,2009-09-30,35.74,1999-03-31-2003-03-31,13.34-22.5,Sell,0 days,-0.0%,Fall by 0%,569.26%,
2010-06-30,29.32,2010-12-31,34.77,2003-03-31-2008-06-30,10.92-44.29,Sell,132 days,-18.59%,Fall by 3.39%,550.67%,
2011-03-31,34.32,2011-03-31,34.32,1990-12-31-2008-06-30,8.1875-44.29,Buy,0 days,0.0%,Rise by 0%,550.67%,
2015-09-30,96.48,2016-09-30,88.99,2008-12-31-2015-09-30,23.19-113.65,Sell,262 days,7.76%,Fall by 18.53%,558.44%,
2017-06-30,80.46,2023-03-31,74.31,2008-12-31-2015-09-30,23.19-113.65,Buy,1500 days,-7.64%,Rise by 7.33%,550.79%,
2019-12-31,74.29,2019-12-31,74.29,2001-12-31-2015-09-30,11.445-113.65,Buy,0 days,0.0%,Rise by 0%,550.79%,
2025-06-30,68.98,2025-11-03,78.15,2015-09-30-2019-06-30,57.75-81.37,Sell,90 days,-13.29%,Fall by 0.0%,537.5%,
