Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2008-07-31,40.4,2008-08-31,37.76,2007-01-31-2008-07-31,22.3-46.63,Sell,21 days,6.53%,Fall by 46.37%,6.53%,
2010-07-31,22.89,2010-07-31,22.89,2009-03-31-2010-01-31,17.94-25.73,Buy,0 days,0.0%,Rise by 0%,6.53%,
2011-06-30,28.96,2011-09-30,25.75,2009-03-31-2011-05-31,17.94-32.02,Sell,66 days,11.08%,Fall by 1.98%,17.62%,
2011-12-31,26.84,2011-12-31,26.84,2010-05-31-2011-05-31,20.84-32.02,Buy,0 days,0.0%,Rise by 0%,17.62%,
2013-07-31,25.93,2013-08-31,26.66,2011-05-31-2012-06-30,25.87-28.26,Sell,22 days,-2.82%,Fall by 6.68%,14.8%,
2014-11-30,20.42,2014-11-30,20.42,2010-05-31-2011-05-31,20.84-32.02,Sell,0 days,-0.0%,Fall by 0%,14.8%,
2017-08-31,15.1,2019-01-31,15.52,2016-01-31-2017-01-31,11.7-16.08,Buy,370 days,2.78%,Rise by 2.77%,17.59%,
2018-11-30,15.29,2018-12-31,14.49,2017-06-30-2018-10-31,13.69-18.65,Sell,21 days,5.23%,Fall by -2.35%,22.82%,
2019-03-31,15.9,2019-05-31,15.13,2016-01-31-2018-10-31,11.7-18.65,Sell,44 days,4.84%,Fall by 10.05%,27.66%,
2019-09-30,15.04,2020-01-31,14.58,2011-05-31-2016-01-31,13.51-28.26,Sell,89 days,3.06%,Fall by 15.57%,30.72%,
2019-10-31,15.33,2022-09-30,23.91,2017-06-30-2018-10-31,13.69-18.65,Buy,761 days,55.97%,Rise by 4.39%,86.69%,
2020-03-31,11.25,2020-04-30,10.9,2016-01-31-2017-01-31,11.7-16.08,Sell,22 days,3.11%,Fall by -119.36%,89.8%,
2022-07-31,26.11,2022-09-30,23.91,2020-03-31-2022-06-30,10.41-30.64,Sell,44 days,8.43%,Fall by 7.78%,98.22%,
2022-09-30,23.91,2023-05-31,22.05,2017-06-30-2022-06-30,13.69-30.64,Sell,173 days,7.78%,Fall by 0.27%,106.0%,
2022-11-30,25.49,2022-11-30,25.49,2010-01-31-2020-03-31,14.12-22.66,Sell,0 days,-0.0%,Fall by 0%,106.0%,
2023-07-31,24.68,2023-07-31,24.68,2017-06-30-2022-06-30,13.69-30.64,Buy,0 days,0.0%,Rise by 0%,106.0%,
2024-02-29,21.99,2024-03-31,22.97,2022-06-30-2023-05-31,23.55-26.58,Sell,21 days,-4.46%,Fall by 3.74%,101.55%,
2024-03-31,22.97,2024-03-31,22.97,2016-01-31-2022-06-30,11.7-30.64,Buy,0 days,0.0%,Rise by 0%,101.55%,
2024-11-30,22.14,2024-11-30,22.14,2020-03-31-2022-06-30,10.41-30.64,Buy,0 days,0.0%,Rise by 0%,101.55%,
2025-03-31,22.5,2025-04-30,20.57,2011-05-31-2020-03-31,14.12-28.26,Sell,22 days,8.58%,Fall by -11.23%,110.12%,
