Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
1970-06-30,0.6031,1970-12-31,0.7264,1966-09-30-1970-03-31,0.1047-0.8118,Sell,132 days,-20.44%,Fall by -164.54%,-20.44%,
1971-03-31,1.0379,1973-12-31,0.9711,1966-09-30-1970-03-31,0.1047-0.8118,Buy,718 days,-6.44%,Rise by -54.24%,-26.88%,
1973-03-31,1.9216,1973-06-30,1.5774,1966-09-30-1973-03-31,0.1047-2.5382,Sell,64 days,17.91%,Fall by 36.15%,-8.97%,
1976-06-30,1.1638,1976-09-30,0.9839,1974-12-31-1976-03-31,0.3417-1.2948,Sell,66 days,15.46%,Fall by 22.97%,6.49%,
1978-12-31,0.8247,1981-09-30,0.9608,1962-03-31-1970-03-31,0.091-0.8118,Buy,717 days,16.5%,Rise by 63.37%,22.99%,
1979-03-31,0.8067,1979-06-30,0.6936,1978-06-30-1978-09-30,0.6474-0.9685,Sell,64 days,14.02%,Fall by -38.52%,37.01%,
1981-09-30,0.9608,1981-12-31,1.0738,1978-06-30-1981-06-30,0.6474-1.3796,Sell,66 days,-11.76%,Fall by -27.99%,25.25%,
1983-06-30,1.3924,1983-09-30,1.2742,1974-12-31-1983-06-30,0.3417-1.7418,Sell,66 days,8.49%,Fall by 23.58%,33.74%,
1983-09-30,1.2742,1983-12-31,1.0841,1978-06-30-1983-06-30,0.6474-1.7418,Sell,65 days,14.92%,Fall by -184.36%,48.66%,
1985-03-31,1.6185,1985-03-31,1.6185,1978-06-30-1981-06-30,0.6474-1.3796,Buy,0 days,0.0%,Rise by 0%,48.66%,
1987-12-31,4.8708,1988-12-31,5.4052,1984-09-30-1987-09-30,0.93-6.7822,Sell,261 days,-10.97%,Fall by -80.99%,37.69%,
1988-03-31,4.8606,1988-06-30,5.1791,1966-09-30-1987-09-30,0.1047-6.7822,Sell,65 days,-6.55%,Fall by -43.85%,31.14%,
1993-09-30,12.4135,1993-12-31,14.0165,1990-12-31-1993-03-31,7.0699-15.7429,Sell,66 days,-12.91%,Fall by 9.09%,18.22%,
1994-03-31,13.811,1994-09-30,12.7423,1990-12-31-1994-03-31,7.0699-15.9895,Sell,131 days,7.74%,Fall by -80.0%,25.96%,
1995-06-30,18.2502,1995-06-30,18.2502,1990-12-31-1994-03-31,7.0699-15.9895,Buy,0 days,0.0%,Rise by 0%,25.96%,
1998-09-30,25.0324,1998-12-31,29.595,1990-12-31-1998-06-30,7.0699-42.214,Sell,66 days,-18.23%,Fall by 13.33%,7.73%,
2000-06-30,38.2885,2000-12-31,28.5468,1998-12-31-2000-06-30,22.1963-43.2827,Sell,130 days,25.44%,Fall by 35.65%,33.18%,
2000-12-31,28.5468,2001-09-30,18.3686,1984-09-30-2000-06-30,0.93-43.2827,Sell,194 days,35.65%,Fall by 18.69%,68.83%,
2001-06-30,28.5,2011-12-31,37.5,1990-12-31-2000-06-30,7.0699-43.2827,Buy,2739 days,31.58%,Rise by 113.52%,100.41%,
2001-09-30,18.3686,2001-12-31,20.4403,1990-12-31-2000-06-30,7.0699-43.2827,Sell,65 days,-11.28%,Fall by 26.93%,89.13%,
2005-03-31,28.3421,2005-03-31,28.3421,2002-09-30-2004-03-31,13.298-28.0265,Buy,0 days,0.0%,Rise by 0%,89.13%,
2005-06-30,24.8401,2005-09-30,23.8042,2002-09-30-2005-03-31,13.298-29.5851,Sell,66 days,4.17%,Fall by -35.61%,93.3%,
2006-06-30,29.595,2022-06-30,94.4,1984-09-30-2000-06-30,0.93-43.2827,Buy,4174 days,218.97%,Rise by 6.07%,312.27%,
2008-03-31,31.38,2008-12-31,22.69,2002-09-30-2007-06-30,13.298-36.2933,Sell,197 days,27.69%,Fall by -89.91%,339.97%,
2008-09-30,30.69,2008-09-30,30.69,1998-06-30-2002-09-30,19.73-34.3631,Sell,0 days,-0.0%,Fall by 0%,339.97%,
2011-06-30,39.04,2011-09-30,30.16,1998-12-31-2011-03-31,22.1963-44.34,Sell,66 days,22.75%,Fall by -153.32%,362.71%,
2011-09-30,30.16,2011-12-31,37.5,1990-12-31-2011-03-31,7.0699-44.34,Sell,65 days,-24.34%,Fall by -113.52%,338.38%,
2012-06-30,48.5,2012-06-30,48.5,2002-09-30-2011-03-31,13.298-44.34,Buy,0 days,0.0%,Rise by 0%,338.38%,
2020-03-31,96.6,2020-06-30,111.51,2011-12-31-2019-12-31,28.19-153.41,Sell,65 days,-15.43%,Fall by 15.41%,322.94%,
2021-06-30,175.77,2021-09-30,169.17,2020-03-31-2021-03-31,79.07-203.02,Sell,66 days,3.75%,Fall by 44.2%,326.7%,
2021-12-31,154.89,2022-03-31,137.16,2011-12-31-2021-03-31,28.19-203.02,Sell,64 days,11.45%,Fall by 36.66%,338.14%,
2022-06-30,94.4,2022-12-31,86.88,1990-12-31-2019-12-31,7.0699-153.41,Sell,131 days,7.97%,Fall by 6.71%,346.11%,
2023-06-30,89.28,2023-06-30,89.28,2009-03-31-2019-12-31,15.14-153.41,Buy,0 days,0.0%,Rise by 0%,346.11%,
2024-06-30,99.29,2024-09-30,96.19,2023-12-31-2024-03-31,78.73-123.74,Sell,65 days,3.12%,Fall by -17.08%,349.23%,
2025-11-03,112.62,2025-11-03,112.62,1990-12-31-2021-03-31,7.0699-203.02,Buy,0 days,0.0%,Rise by 0%,349.23%,
