Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2021-03-30,52.24,2021-04-16,57.63,2020-12-09-2021-02-25,47.45-53.53,Sell,13 days,-10.32%,Fall by 8.07%,-10.32%
2021-05-14,53.03,2022-04-13,73.5,2021-02-25-2021-04-21,46.56-58.53,Buy,238 days,38.6%,Rise by -10.31%,28.28%
2021-06-29,57.0,2021-07-05,56.76,2021-04-21-2021-05-31,52.91-57.59,Sell,4 days,0.42%,Fall by 2.43%,28.7%
2021-08-30,57.8,2022-04-13,73.5,2021-02-25-2021-08-20,46.56-60.87,Buy,162 days,27.16%,Rise by -10.31%,55.87%
2021-09-08,57.5,2022-08-22,81.48,2021-05-31-2021-08-20,52.22-60.87,Buy,248 days,41.7%,Rise by 2.58%,97.57%
2021-09-30,54.94,2021-10-06,54.5,2021-08-20-2021-09-13,55.89-59.22,Sell,4 days,0.8%,Fall by -2.06%,98.37%
2021-11-19,57.48,2021-11-30,55.18,2021-08-20-2021-10-04,54.77-59.22,Sell,7 days,4.0%,Fall by -11.47%,102.37%
2022-02-16,64.81,2022-02-18,64.29,2021-11-12-2021-12-01,56.04-58.18,Sell,2 days,0.8%,Fall by -5.04%,103.18%
2022-03-24,67.9,2022-03-30,71.19,2021-12-29-2022-01-24,61.83-63.19,Sell,4 days,-4.85%,Fall by 7.4%,98.33%
2022-04-14,73.12,2022-04-19,75.14,2022-02-09-2022-02-24,64.89-67.48,Sell,3 days,-2.76%,Fall by 12.27%,95.57%
2022-05-04,71.99,2022-07-14,76.65,2021-10-04-2022-04-21,53.39-76.8,Buy,51 days,6.47%,Rise by 7.28%,102.04%
2022-05-11,68.12,2022-05-18,65.92,2021-02-25-2022-04-21,46.56-76.8,Sell,5 days,3.23%,Fall by -15.31%,105.27%
2022-07-15,76.2,2022-07-22,77.0,2022-04-21-2022-05-18,70.16-75.26,Sell,5 days,-1.05%,Fall by 1.01%,104.22%
2022-09-06,80.09,2022-09-14,76.7,2022-05-18-2022-08-17,64.79-83.44,Buy,6 days,-4.23%,Rise by 8.97%,99.99%
2022-09-20,78.5,2022-12-14,81.07,2021-10-04-2022-08-17,53.39-83.44,Buy,61 days,3.27%,Rise by 5.07%,103.26%
2022-10-17,80.04,2022-12-14,81.07,2022-05-18-2022-10-05,64.79-83.95,Buy,42 days,1.29%,Rise by 5.07%,104.55%
2022-10-24,80.88,2024-07-18,126.3,2022-09-16-2022-10-05,75.03-83.95,Buy,453 days,56.16%,Rise by 8.53%,160.71%
2022-11-18,77.7,2024-10-18,144.74,2021-10-04-2022-10-05,53.39-83.95,Buy,500 days,86.28%,Rise by 4.32%,246.99%
2022-12-15,80.4,2022-12-16,81.0,2022-08-17-2022-09-16,77.01-81.65,Sell,1 days,-0.75%,Fall by 3.59%,246.24%
2022-12-16,81.0,2023-11-20,98.57,2022-05-18-2022-12-08,64.79-85.88,Buy,241 days,21.69%,Rise by 1.89%,267.93%
