Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2021-02-24,28.07,2021-03-29,29.4,2021-01-07-2021-02-01,28.82-28.8,Sell,23 days,-4.74%,Fall by 1.56%,-4.74%
2021-03-09,28.75,2021-04-27,28.94,2020-11-04-2021-02-17,25.48-30.0,Buy,35 days,0.66%,Rise by 17.14%,-4.08%
2021-03-15,28.72,2021-03-29,29.4,2021-01-07-2021-02-22,29.1-28.8,Sell,10 days,-2.37%,Fall by 1.56%,-6.44%
2021-06-14,33.9,2021-06-14,33.9,2021-02-22-2021-06-01,27.51-34.2,Buy,0 days,0.0%,Rise by 0%,-6.44%
2021-09-09,34.2,2021-09-14,34.7,2021-06-01-2021-07-30,31.7-33.06,Sell,3 days,-1.46%,Fall by 2.31%,-7.91%
2021-10-15,34.35,2022-01-10,39.85,2021-07-30-2021-10-01,30.8-36.44,Buy,61 days,16.01%,Rise by 3.39%,8.1%
2022-01-12,40.09,2022-01-21,38.15,2021-11-16-2021-12-06,36.05-35.72,Sell,7 days,4.84%,Fall by 0.34%,12.94%
2022-01-26,38.85,2022-01-26,38.85,2021-07-30-2022-01-05,30.8-43.13,Buy,0 days,0.0%,Rise by 0%,12.94%
2022-02-15,38.02,2022-02-17,41.0,2022-01-05-2022-01-24,39.76-41.08,Sell,2 days,-7.84%,Fall by 9.73%,5.11%
2022-03-03,39.2,2022-04-28,42.5,2020-11-04-2022-01-05,25.48-43.13,Buy,40 days,8.42%,Rise by -3.65%,13.52%
2022-04-14,42.0,2022-04-29,42.4,2022-02-22-2022-03-08,37.05-40.49,Sell,11 days,-0.95%,Fall by 7.78%,12.57%
2022-05-16,39.45,2022-05-19,39.5,2021-02-22-2022-04-22,27.51-44.3,Sell,3 days,-0.13%,Fall by 4.28%,12.45%
2022-05-17,39.3,2022-06-16,39.1,2021-02-22-2022-01-05,27.51-43.13,Sell,22 days,0.51%,Fall by 3.3%,12.95%
2022-05-19,39.5,2022-05-19,39.5,2022-03-08-2022-04-22,36.11-44.3,Buy,0 days,0.0%,Rise by 0%,12.95%
2022-06-09,40.95,2022-06-14,39.43,2022-04-22-2022-05-17,39.47-41.65,Sell,3 days,3.71%,Fall by 4.11%,16.67%
2022-06-21,40.25,2022-06-21,40.25,2020-11-04-2022-04-22,25.48-44.3,Buy,0 days,0.0%,Rise by 0%,16.67%
2022-07-01,37.81,2022-08-12,38.99,2020-11-04-2022-01-05,25.48-43.13,Sell,30 days,-3.12%,Fall by 8.57%,13.54%
2022-07-05,38.01,2022-07-29,39.41,2022-04-22-2022-06-17,39.14-41.65,Sell,18 days,-3.68%,Fall by 3.53%,9.86%
2022-10-10,36.2,2022-10-12,36.47,2022-03-08-2022-04-22,36.11-44.3,Sell,2 days,-0.75%,Fall by -10.2%,9.12%
