Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2004-04-30,17.5889,2004-07-31,17.3056,2003-04-30-2004-04-30,11.1444-20.2667,Sell,65 days,1.61%,Fall by -119.91%,1.61%
2008-01-31,45.63,2008-05-31,50.4333,2003-04-30-2007-10-31,11.1444-55.8267,Sell,86 days,-10.53%,Fall by 49.58%,-8.92%
2008-10-31,25.43,2008-11-30,22.95,2003-04-30-2006-05-31,11.1444-37.0833,Sell,20 days,9.75%,Fall by -62.61%,0.84%
2009-01-31,22.65,2009-12-31,41.5,2003-04-30-2004-04-30,11.1444-20.2667,Buy,238 days,83.22%,Rise by -10.07%,84.06%
2011-05-31,48.53,2011-05-31,48.53,2003-04-30-2007-10-31,11.1444-55.8267,Buy,0 days,0.0%,Rise by 0%,84.06%
2011-12-31,37.94,2012-01-31,42.11,2008-11-30-2011-05-31,18.22-50.43,Sell,21 days,-10.99%,Fall by 9.71%,73.07%
2013-08-31,38.02,2018-08-31,43.17,2011-10-31-2013-01-31,33.42-45.33,Buy,1304 days,13.55%,Rise by 1.76%,86.61%
2015-02-28,40.74,2021-10-31,50.92,2008-11-30-2011-05-31,18.22-50.43,Buy,1739 days,24.99%,Rise by -11.33%,111.6%
2015-07-31,37.12,2015-08-31,33.84,2013-06-30-2014-09-30,36.16-45.85,Sell,21 days,8.84%,Fall by 10.4%,120.44%
2015-08-31,33.84,2015-08-31,33.84,2011-10-31-2014-09-30,33.42-45.85,Sell,0 days,-0.0%,Fall by 0%,120.44%
2016-03-31,34.25,2017-01-31,37.34,2003-04-30-2006-05-31,11.1444-37.0833,Buy,218 days,9.02%,Rise by 36.66%,129.46%
2018-02-28,48.02,2018-05-31,45.69,2016-01-31-2018-01-31,27.61-52.08,Sell,66 days,4.85%,Fall by 14.29%,134.31%
2018-06-30,43.33,2018-06-30,43.33,2013-01-31-2016-01-31,31.5-43.71,Sell,0 days,-0.0%,Fall by 0%,134.31%
2018-08-31,43.17,2018-10-31,39.16,2013-06-30-2018-01-31,36.16-52.08,Sell,43 days,9.29%,Fall by -2.63%,143.6%
2018-12-31,39.06,2018-12-31,39.06,2016-01-31-2018-01-31,27.61-52.08,Buy,0 days,0.0%,Rise by 0%,143.6%
2019-08-31,40.19,2019-12-31,44.87,2011-10-31-2018-01-31,33.42-52.08,Sell,86 days,-11.64%,Fall by 15.91%,131.96%
2019-10-31,42.58,2021-05-31,54.87,2008-11-30-2018-01-31,18.22-52.08,Buy,412 days,28.86%,Rise by -10.99%,160.82%
2020-03-31,34.13,2020-05-31,37.73,2018-10-31-2020-01-31,37.58-46.32,Sell,43 days,-10.55%,Fall by -29.45%,150.27%
2021-03-31,53.34,2021-07-31,51.6,2013-06-30-2021-02-28,36.16-58.29,Sell,87 days,3.26%,Fall by 12.5%,153.53%
2021-07-31,51.6,2021-10-31,50.92,2020-03-31-2021-02-28,30.1-58.29,Sell,64 days,1.32%,Fall by 11.33%,154.85%
2021-09-30,50.38,2021-11-30,48.84,2016-01-31-2021-02-28,27.61-58.29,Sell,43 days,3.06%,Fall by 13.23%,157.91%
2021-10-31,50.92,2021-10-31,50.92,2018-10-31-2021-02-28,37.58-58.29,Buy,0 days,0.0%,Rise by 0%,157.91%
2021-12-31,48.85,2022-02-28,46.73,2011-10-31-2021-02-28,33.42-58.29,Sell,41 days,4.34%,Fall by 14.49%,162.25%
2022-01-31,48.84,2022-02-28,46.73,2018-10-31-2021-02-28,37.58-58.29,Sell,20 days,4.32%,Fall by 14.49%,166.57%
2022-02-28,46.73,2022-03-31,45.15,2003-05-31-2021-02-28,11.6667-58.29,Sell,23 days,3.38%,Fall by 12.67%,169.95%
2022-12-31,37.9,2022-12-31,37.9,2020-03-31-2021-02-28,30.1-58.29,Buy,0 days,0.0%,Rise by 0%,169.95%
2024-10-31,44.45,2025-09-30,53.4,2018-10-31-2020-01-31,37.58-46.32,Buy,238 days,20.13%,Rise by 3.56%,190.08%
2025-03-31,43.7,2025-03-31,43.7,2021-02-28-2022-10-31,36.76-53.39,Sell,0 days,-0.0%,Fall by 0%,190.08%
2025-06-30,48.24,2025-06-30,48.24,2022-10-31-2024-10-31,33.49-47.44,Buy,0 days,0.0%,Rise by 0%,190.08%
