Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return
2008-02-29,71.6,2008-03-31,71.9,2003-03-31-2007-10-31,28.5433-86.5,Sell,21 days,-0.42%,Fall by 11.59%,-0.42%
2009-01-31,38.7,2009-01-31,38.7,2003-03-31-2007-10-31,28.5433-86.5,Buy,0 days,0.0%,Rise by 0%,-0.42%
2011-08-31,53.57,2011-09-30,47.78,2009-03-31-2011-05-31,31.56-64.35,Sell,22 days,10.81%,Fall by 0.04%,10.39%
2013-08-31,59.17,2014-09-30,64.12,2009-03-31-2011-05-31,31.56-64.35,Buy,281 days,8.37%,Rise by 3.93%,18.76%
2014-12-31,60.84,2015-09-30,57.32,2009-03-31-2014-06-30,31.56-70.79,Sell,195 days,5.79%,Fall by 6.44%,24.54%
2015-08-31,59.97,2015-09-30,57.32,2015-01-31-2015-05-31,58.29-68.52,Sell,22 days,4.42%,Fall by 6.44%,28.96%
2015-11-30,60.65,2018-04-30,70.74,2009-03-31-2014-06-30,31.56-70.79,Buy,630 days,16.64%,Rise by -11.7%,45.6%
2018-04-30,70.74,2019-03-31,64.86,2015-01-31-2015-05-31,58.29-68.52,Buy,239 days,-8.31%,Rise by 7.06%,37.28%
2018-06-30,66.97,2018-06-30,66.97,2014-06-30-2016-02-29,55.58-67.67,Sell,0 days,-0.0%,Fall by 0%,37.28%
2018-10-31,62.46,2018-12-31,58.78,2009-03-31-2018-01-31,31.56-75.27,Sell,43 days,5.89%,Fall by -7.54%,43.18%
2018-12-31,58.78,2019-02-28,64.27,2015-01-31-2018-01-31,58.29-75.27,Sell,43 days,-9.34%,Fall by 1.65%,33.84%
2019-02-28,64.27,2025-01-31,79.24,2016-02-29-2018-01-31,50.94-75.27,Buy,1546 days,23.29%,Rise by 19.25%,57.13%
2019-10-31,67.42,2022-02-28,73.22,2015-01-31-2018-01-31,58.29-75.27,Buy,607 days,8.6%,Rise by -10.24%,65.73%
2020-03-31,53.46,2020-05-31,59.64,2018-12-31-2020-01-31,56.77-70.42,Sell,43 days,-11.56%,Fall by 0.55%,54.17%
2020-06-30,60.87,2020-11-30,70.15,2018-01-31-2018-12-31,63.75-70.42,Sell,109 days,-15.25%,Fall by 10.92%,38.93%
2022-02-28,73.22,2022-02-28,73.22,2014-06-30-2020-03-31,64.47-67.67,Sell,0 days,-0.0%,Fall by 0%,38.93%
2022-04-30,68.64,2022-06-30,62.49,2009-03-31-2021-09-30,31.56-82.29,Sell,43 days,8.96%,Fall by -7.09%,47.89%
2022-06-30,62.49,2022-09-30,56.01,2016-02-29-2021-09-30,50.94-82.29,Sell,66 days,10.37%,Fall by -19.48%,58.25%
2022-09-30,56.01,2022-11-30,67.12,2018-12-31-2021-09-30,56.77-82.29,Sell,43 days,-19.84%,Fall by 0.3%,38.42%
2022-12-31,65.64,2022-12-31,65.64,2020-03-31-2021-09-30,45.73-82.29,Buy,0 days,0.0%,Rise by 0%,38.42%
2023-12-31,75.35,2025-01-31,79.24,2018-12-31-2020-01-31,56.77-70.42,Buy,284 days,5.16%,Rise by 19.25%,43.58%
2024-10-31,79.22,2025-09-30,93.37,2015-01-31-2021-09-30,58.29-82.29,Buy,238 days,17.86%,Rise by 1.2%,61.44%
2025-02-28,81.58,2025-02-28,81.58,2007-10-31-2022-10-31,60.25-81.31,Sell,0 days,-0.0%,Fall by 0%,61.44%
