Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2008-06-30,68.67,2008-09-30,56.3,2003-03-31-2007-12-31,28.5433-86.5,Sell,66 days,18.01%,Fall by 18.63%,18.01%,
2011-09-30,47.78,2012-03-31,54.89,2009-03-31-2011-06-30,31.56-64.35,Sell,130 days,-14.88%,Fall by -24.56%,3.13%,
2014-12-31,60.84,2015-09-30,57.32,2009-03-31-2014-06-30,31.56-70.79,Sell,195 days,5.79%,Fall by 2.62%,8.92%,
2016-09-30,59.13,2016-09-30,59.13,2011-12-31-2014-06-30,45.45-70.79,Buy,0 days,0.0%,Rise by 0%,8.92%,
2018-06-30,66.97,2018-12-31,58.78,2011-12-31-2018-03-31,45.45-75.27,Sell,130 days,12.23%,Fall by 9.05%,21.15%,
2018-12-31,58.78,2019-03-31,64.86,2009-03-31-2018-03-31,31.56-75.27,Sell,64 days,-10.34%,Fall by 17.58%,10.8%,
2019-06-30,65.73,2019-06-30,65.73,2016-03-31-2018-03-31,50.94-75.27,Buy,0 days,0.0%,Rise by 0%,10.8%,
2020-03-31,53.46,2020-06-30,60.87,2016-03-31-2018-03-31,50.94-75.27,Sell,65 days,-13.86%,Fall by 7.98%,-3.06%,
2022-03-31,73.6,2022-06-30,62.49,2020-03-31-2021-09-30,45.73-82.29,Sell,65 days,15.1%,Fall by -33.83%,12.04%,
2022-06-30,62.49,2022-09-30,56.01,2016-03-31-2021-09-30,50.94-82.29,Sell,66 days,10.37%,Fall by -34.99%,22.41%,
2023-06-30,72.5,2023-06-30,72.5,2020-03-31-2021-09-30,45.73-82.29,Buy,0 days,0.0%,Rise by 0%,22.41%,
