Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2006-07-02,65.39,2006-07-02,65.39,2005-11-13-2006-05-14,56.6-70.65,Buy,0 days,0.0%,Rise by 0%,0.0%,
2008-02-10,68.34,2008-04-06,74.8,2007-08-19-2007-11-04,67.5-86.5,Sell,39 days,-9.45%,Fall by 10.05%,-9.45%,
2008-04-06,74.8,2008-04-06,74.8,2005-11-13-2007-11-04,56.6-86.5,Buy,0 days,0.0%,Rise by 0%,-9.45%,
2008-06-29,68.26,2008-06-29,68.26,2007-07-15-2008-01-27,72.78-81.61,Sell,0 days,-0.0%,Fall by 0%,-9.45%,
2008-07-13,65.7,2008-08-03,65.4,2005-11-13-2007-11-04,56.6-86.5,Sell,14 days,0.46%,Fall by 18.61%,-9.0%,
2008-10-05,53.23,2008-10-12,42.36,2005-11-13-2006-05-14,56.6-70.65,Sell,4 days,20.42%,Fall by 15.27%,11.42%,
2009-07-19,46.82,2009-08-23,52.35,2008-05-25-2009-03-15,35.14-76.5,Sell,24 days,-11.81%,Fall by 1.66%,-0.39%,
2010-01-10,57.25,2010-01-24,53.87,2007-07-15-2009-03-15,35.14-81.61,Sell,9 days,5.9%,Fall by 10.3%,5.52%,
2010-05-16,49.99,2010-05-30,48.32,2009-03-15-2010-04-18,31.56-58.09,Sell,9 days,3.34%,Fall by -14.59%,8.86%,
2010-06-13,48.91,2011-03-13,59.34,2009-03-15-2010-04-18,31.56-58.09,Buy,194 days,21.32%,Rise by 6.94%,30.18%,
2010-12-12,57.63,2011-04-03,60.65,2010-01-17-2010-05-30,49.3-56.6,Sell,79 days,-5.24%,Fall by 5.85%,24.94%,
2011-03-27,59.38,2011-06-26,57.1,2006-05-14-2009-03-15,35.14-68.61,Sell,64 days,3.84%,Fall by 12.14%,28.78%,
2011-07-10,59.83,2011-07-10,59.83,2009-03-15-2011-05-08,31.56-64.35,Buy,0 days,0.0%,Rise by 0%,28.78%,
2011-08-21,50.17,2011-09-25,47.19,2009-03-15-2011-05-08,31.56-64.35,Sell,24 days,5.94%,Fall by 1.57%,34.72%,
2011-08-28,51.69,2014-02-16,66.49,2010-05-30-2011-05-08,45.85-64.35,Buy,644 days,28.63%,Rise by 6.11%,63.35%,
2011-09-25,47.19,2011-10-16,52.12,2010-05-30-2011-05-08,45.85-64.35,Sell,14 days,-10.45%,Fall by 10.69%,52.91%,
2012-01-15,49.6,2012-01-15,49.6,2010-01-17-2011-10-09,49.83-56.6,Sell,0 days,-0.0%,Fall by 0%,52.91%,
2012-04-29,54.06,2012-05-06,52.27,2011-05-08-2011-10-09,49.83-61.26,Sell,4 days,3.31%,Fall by 0.34%,56.22%,
2012-06-17,49.5,2013-04-07,58.77,2011-10-09-2012-03-25,45.45-55.91,Buy,209 days,18.73%,Rise by 5.22%,74.95%,
2012-07-29,50.37,2012-12-02,55.07,2012-03-25-2012-06-03,48.94-54.06,Sell,89 days,-9.33%,Fall by -4.05%,65.61%,
2014-10-19,60.64,2015-04-26,67.4,2009-03-15-2014-06-22,31.56-70.79,Sell,134 days,-11.15%,Fall by 11.1%,54.47%,
2014-11-02,63.95,2014-11-02,63.95,2012-06-03-2014-06-22,46.53-70.79,Buy,0 days,0.0%,Rise by 0%,54.47%,
2015-01-04,60.58,2015-01-25,61.36,2014-06-22-2014-10-19,61.2-69.39,Sell,14 days,-1.29%,Fall by 6.36%,53.18%,
2015-06-28,65.74,2015-07-26,63.89,2014-06-22-2015-01-11,60.14-69.39,Sell,19 days,2.81%,Fall by 10.06%,55.99%,
2015-07-05,63.98,2015-07-26,63.89,2012-06-03-2014-06-22,46.53-70.79,Sell,14 days,0.14%,Fall by 10.06%,56.13%,
2015-07-26,63.89,2015-07-26,63.89,2015-01-11-2015-05-24,58.29-68.52,Buy,0 days,0.0%,Rise by 0%,56.13%,
2015-08-16,64.0,2015-08-23,59.92,2011-10-09-2014-06-22,45.45-70.79,Sell,4 days,6.37%,Fall by 11.11%,62.51%,
2015-09-06,57.61,2015-09-13,59.44,2015-01-11-2015-05-24,58.29-68.52,Sell,4 days,-3.18%,Fall by 10.4%,59.33%,
2015-11-29,60.7,2015-11-29,60.7,2013-05-26-2015-10-04,58.49-60.99,Sell,0 days,-0.0%,Fall by 0%,59.33%,
2016-05-29,58.66,2016-06-19,56.46,2015-05-24-2016-02-14,52.96-67.8,Sell,14 days,3.75%,Fall by -1.82%,63.08%,
2016-10-30,57.79,2016-10-30,57.79,2013-05-26-2016-02-14,52.96-60.99,Sell,0 days,-0.0%,Fall by 0%,63.08%,
2017-07-09,64.84,2017-07-23,66.55,2016-04-24-2016-07-03,56.0-58.17,Sell,9 days,-2.64%,Fall by -3.07%,60.45%,
2017-12-03,69.83,2017-12-03,69.83,2007-08-19-2007-11-04,67.5-86.5,Buy,0 days,0.0%,Rise by 0%,60.45%,
2018-07-01,66.97,2018-09-02,67.34,2012-06-03-2018-01-28,46.53-75.27,Sell,44 days,-0.55%,Fall by 8.78%,59.89%,
2018-07-22,68.07,2018-07-22,68.07,2016-02-14-2018-01-28,50.94-75.27,Buy,0 days,0.0%,Rise by 0%,59.89%,
2018-08-05,68.12,2018-09-02,67.34,2016-02-14-2018-01-28,50.94-75.27,Sell,19 days,1.15%,Fall by 8.78%,61.04%,
2018-09-02,67.34,2018-09-02,67.34,2012-06-03-2018-01-28,46.53-75.27,Buy,0 days,0.0%,Rise by 0%,61.04%,
2018-10-14,63.85,2018-10-28,61.43,2009-03-15-2018-01-28,31.56-75.27,Sell,9 days,3.79%,Fall by 6.3%,64.83%,
2018-12-23,57.56,2019-01-13,61.03,2015-01-11-2018-01-28,58.29-75.27,Sell,14 days,-6.03%,Fall by -3.88%,58.8%,
2019-06-09,65.56,2019-06-09,65.56,2018-01-28-2018-12-30,58.99-74.15,Sell,0 days,-0.0%,Fall by 0%,58.8%,
2019-09-01,63.21,2020-02-16,69.2,2018-12-30-2019-05-05,56.77-66.99,Buy,119 days,9.48%,Rise by -26.45%,68.28%,
2020-02-23,68.26,2020-03-01,62.24,2019-05-05-2019-08-18,63.2-66.11,Sell,4 days,8.82%,Fall by 10.44%,77.1%,
2020-03-01,62.24,2020-03-15,52.91,2019-08-18-2020-01-19,61.26-70.42,Sell,9 days,14.99%,Fall by -19.22%,92.09%,
2020-03-15,52.91,2020-03-15,52.91,2018-12-30-2020-01-19,56.77-70.42,Sell,0 days,-0.0%,Fall by 0%,92.09%,
2020-07-19,63.51,2020-07-19,63.51,2018-01-28-2020-03-22,49.9-74.15,Sell,0 days,-0.0%,Fall by 0%,92.09%,
2020-09-20,65.13,2020-09-20,65.13,2018-12-30-2020-01-19,56.77-70.42,Buy,0 days,0.0%,Rise by 0%,92.09%,
2020-10-11,65.68,2021-10-03,78.2,2019-08-18-2020-01-19,61.26-70.42,Buy,254 days,19.06%,Rise by -11.73%,111.15%,
2021-03-28,76.6,2021-12-19,76.65,2019-05-05-2020-03-22,49.9-66.11,Sell,189 days,-0.07%,Fall by 10.44%,111.08%,
2022-02-13,75.68,2025-04-13,78.97,2019-08-18-2021-09-12,61.26-82.29,Buy,824 days,4.35%,Rise by 13.64%,115.43%,
2022-03-06,69.03,2022-03-27,73.76,2016-02-14-2021-09-12,50.94-82.29,Sell,14 days,-6.85%,Fall by 12.3%,108.58%,
