Entry Date,Entry Price,Exit Date,Exit Price,Retracement Upmove Date,Retracement Upmove Price,Signal,Holding Period,Return,Actual Rise/Fall wrt Entry,Cum-Return,Signal Open Price
2021-03-02,12.56,2021-03-10,13.82,2020-12-29-2021-01-29,12.15-13.17,Sell,6 days,-10.03%,Fall by 3.04%,-10.03%,
2021-06-14,13.68,2022-12-07,19.3,2021-01-29-2021-05-11,11.72-15.28,Buy,387 days,41.08%,Rise by 1.14%,31.05%,
2021-08-18,13.86,2021-08-23,13.9,2021-07-05-2021-07-19,13.95-14.72,Sell,3 days,-0.29%,Fall by 9.71%,30.76%,
2021-09-20,13.13,2021-09-22,13.43,2021-05-12-2021-07-05,13.19-15.12,Sell,2 days,-2.28%,Fall by 8.27%,28.48%,
2021-10-28,13.53,2021-10-28,13.53,2021-07-05-2021-09-28,12.68-14.72,Sell,0 days,-0.0%,Fall by 0%,28.48%,
2021-11-03,13.78,2022-11-18,18.55,2021-05-12-2021-07-05,13.19-15.12,Buy,272 days,34.62%,Rise by 5.23%,63.09%,
2021-11-30,12.32,2022-01-26,12.93,2021-09-28-2021-11-08,12.52-14.0,Sell,41 days,-4.95%,Fall by 7.66%,58.14%,
2021-12-17,12.55,2021-12-17,12.55,2021-07-05-2021-11-11,13.37-14.72,Sell,0 days,-0.0%,Fall by 0%,58.14%,
2022-01-26,12.93,2022-01-26,12.93,2021-11-11-2022-01-05,11.99-13.59,Buy,0 days,0.0%,Rise by 0%,58.14%,
2022-02-16,13.05,2022-02-17,12.55,2022-01-05-2022-01-24,12.73-13.15,Sell,1 days,3.83%,Fall by 4.38%,61.97%,
2022-03-08,12.01,2022-03-25,12.09,2021-11-11-2022-01-05,11.99-13.59,Sell,13 days,-0.67%,Fall by 9.02%,61.31%,
2022-03-10,12.36,2022-03-25,12.09,2021-07-05-2022-02-24,12.21-14.72,Sell,11 days,2.18%,Fall by 9.02%,63.49%,
2022-03-24,12.0,2022-03-24,12.0,2021-05-11-2022-02-24,12.21-14.48,Sell,0 days,-0.0%,Fall by 0%,63.49%,
